,FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,0,27698,488500401,분지봉, , ,1.9,쉬움,34,23, , , , , ,2016-12-31,2817990400
1,1,27699,488500401,분지봉, , ,2.34,쉬움,41,29, , , , , ,2016-12-31,2817990400
2,2,27700,488500401,분지봉,흥룡리구간, ,4.39,쉬움,77,54, , , , , ,2016-12-31,2817990400
3,3,27701,488500401,분지봉, , ,0.42,쉬움,7,5, , , , , ,2016-12-31,2817990400
4,4,27702,488500401,분지봉,읍내리구간, ,0.34,쉬움,6,4, , , , , ,2016-12-31,2817990400
5,5,27703,488500401,분지봉, , ,3.22,쉬움,57,40, , , , , ,2016-12-31,2817990400
6,6,27704,488500401,분지봉, , ,1.92,쉬움,34,24, , , , , ,2016-12-31,2817990400
7,7,27705,488500401,분지봉, , ,0.45,쉬움,8,6, , , , , ,2016-12-31,2817990400
8,8,27706,488500401,분지봉, , ,0.48,쉬움,8,6, , , , , ,2016-12-31,2817990400
9,9,27707,488500401,분지봉,비파리구간, ,0.64,쉬움,11,8, , , , , ,2016-12-31,2817990400
10,10,27708,488500401,분지봉, , ,1.25,쉬움,22,15, , , , , ,2016-12-31,2817990400
11,11,27709,488500401,분지봉,두곡리구간, ,0.3,쉬움,5,4, , , , , ,2016-12-31,2817990400
12,12,27710,488500401,분지봉,동산리구간, ,0.65,쉬움,11,8, , , , , ,2016-12-31,2817990400
13,13,27711,488500401,분지봉,읍내리구간, ,0.83,쉬움,15,10, , , , , ,2016-12-31,2817990400
14,14,27712,488500401,분지봉,읍내리구간, ,0.33,쉬움,6,4, , , , , ,2016-12-31,2817990400
15,15,27713,488500401,분지봉,읍내리구간, ,0.08,쉬움,1,1, , , , , ,2016-12-31,2817990400
16,16,27714,488500401,분지봉, , ,4.37,쉬움,77,54, , , , , ,2016-12-31,2817990400
17,17,27715,488500401,분지봉, , ,0.25,쉬움,4,3, , , , , ,2016-12-31,2817990400
18,18,27716,488500401,분지봉, , ,1.39,쉬움,25,17, , , , , ,2016-12-31,2817990400
19,19,27717,488500401,분지봉, , ,0.6,쉬움,11,7, , , , , ,2016-12-31,2817990400
20,20,27718,488500401,분지봉, , ,0.64,쉬움,11,8, , , , , ,2016-12-31,2817990400
