,FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,0,27892,267101901,불광산,예림리구간, ,1.98,쉬움,50,35, , , , , ,2016-12-31,267101901
1,1,27893,267101901,불광산,예림리구간, ,3.2,쉬움,56,40, , , , , ,2016-12-31,267101901
2,2,27894,267101901,불광산,예림리구간, ,0.72,쉬움,13,9, , , , , ,2016-12-31,267101901
3,3,27895,267101901,불광산,좌천리구간, ,0.04,쉬움,1,0, , , , , ,2016-12-31,267101901
4,4,27896,267101901,불광산,예림리구간, ,0.04,쉬움,1,0, , , , , ,2016-12-31,267101901
5,5,27897,267101901,불광산,예림리구간, ,0.1,쉬움,2,1, , , , , ,2016-12-31,267101901
6,6,27898,267101901,불광산,예림리구간, ,0.07,쉬움,1,1, , , , , ,2016-12-31,267101901
7,7,27899,267101901,불광산,예림리구간, ,1.78,쉬움,31,22, , , , , ,2016-12-31,267101901
8,8,27900,267101901,불광산,예림리구간, ,1.08,쉬움,23,16, , , , , ,2016-12-31,267101901
9,9,27901,267101901,불광산,좌천리구간, ,0.7,쉬움,12,9, , , , , ,2016-12-31,267101901
10,10,27902,267101901,불광산,예림리구간, ,0.79,쉬움,14,10, , , , , ,2016-12-31,267101901
11,11,27903,267101901,불광산,예림리구간, ,0.63,쉬움,11,8, , , , , ,2016-12-31,267101901
12,12,27904,267101901,불광산,덕선리구간, ,0.12,쉬움,2,1, , , , , ,2016-12-31,267101901
13,13,27905,267101901,불광산,예림리구간, ,0.53,쉬움,9,7, , , , , ,2016-12-31,267101901
14,14,27906,267101901,불광산,장안리구간, ,1.47,쉬움,26,18, , , , , ,2016-12-31,267101901
15,15,27907,267101901,불광산,장안리구간, ,0.61,쉬움,11,8, , , , , ,2016-12-31,267101901
16,16,27908,267101901,불광산,장안리구간, ,1.1,쉬움,19,14, , , , , ,2016-12-31,267101901
17,17,27909,267101901,불광산,장안리구간, ,0.42,쉬움,7,5, , , , , ,2016-12-31,267101901
