FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,141,483100101,가라산,학동리구간, ,1.38,쉬움,41,29, , , , , ,2016-12-31,2801080100
1,142,483100101,가라산,학동리구간, ,1.43,쉬움,25,18, , , , , ,2016-12-31,2801080100
2,143,483100101,가라산,학동리구간, ,1.4,쉬움,53,37, , , , , ,2016-12-31,2801080100
3,144,483100101,가라산, , ,3.16,쉬움,56,39, , , , , ,2016-12-31,2801080100
4,145,483100101,가라산, , ,2.08,쉬움,37,26, , , , , ,2016-12-31,2801080100
5,146,483100101,가라산,다포리구간, ,3.15,쉬움,56,39, , , , , ,2016-12-31,2801080100
6,147,483100101,가라산,탑포리구간, ,0.93,중간,35,24, , , , , ,2016-12-31,2801080100
7,148,483100101,가라산,다대리구간, ,0.31,쉬움,5,4, , , , , ,2016-12-31,2801080100
8,149,483100101,가라산, , ,1.02,쉬움,18,13, , , , , ,2016-12-31,2801080100
9,150,483100101,가라산, , ,0.26,쉬움,5,3, , , , , ,2016-12-31,2801080100
10,151,483100101,가라산, , ,0.24,중간,5,3, , , , , ,2016-12-31,2801080100
11,152,483100101,가라산, , ,0.58,쉬움,10,7, , , , , ,2016-12-31,2801080100
12,153,483100101,가라산, , ,1.08,쉬움,19,13, , , , , ,2016-12-31,2801080100
13,154,483100101,가라산, , ,0.21,쉬움,4,3, , , , , ,2016-12-31,2801080100
14,155,483100101,가라산, , ,0.19,쉬움,3,2, , , , , ,2016-12-31,2801080100
15,156,483100101,가라산, , ,0.1,쉬움,2,1, , , , , ,2016-12-31,2801080100
16,157,483100101,가라산, , ,0.08,쉬움,1,1, , , , , ,2016-12-31,2801080100
