FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,690,282600101,가현산, , ,0.1,쉬움,2,1, , , , , ,2016-12-31,2110070100
1,691,282600101,가현산, , ,0.03,쉬움,1,0, , , , , ,2016-12-31,2110070100
2,692,282600101,가현산,대곡동구간, ,0.33,쉬움,6,4, , , , , ,2016-12-31,2110070100
3,693,282600101,가현산,마전동구간, ,0.68,쉬움,13,9, , , , , ,2016-12-31,2110070100
4,694,282600101,가현산, , ,0.16,쉬움,3,2, , , , , ,2016-12-31,2110070100
5,695,282600101,가현산, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,2110070100
6,696,282600101,가현산, , ,0.11,쉬움,2,1, , , , , ,2016-12-31,2110070100
7,697,282600101,가현산, , ,0.8,쉬움,14,10, , , , , ,2016-12-31,2110070100
8,698,282600101,가현산, , ,0.2,쉬움,4,2, , , , , ,2016-12-31,2110070100
9,699,282600101,가현산, , ,0.12,쉬움,2,1, , , , , ,2016-12-31,2110070100
10,700,282600101,가현산, , ,0.35,쉬움,6,4, , , , , ,2016-12-31,2110070100
11,701,282600101,가현산,금곡동구간, ,0.31,쉬움,5,4, , , , , ,2016-12-31,2110070100
12,702,282600101,가현산, , ,0.79,쉬움,14,10, , , , , ,2016-12-31,2110070100
13,703,282600101,가현산,구래리구간, ,0.37,쉬움,7,5, , , , , ,2016-12-31,2110070100
14,704,282600101,가현산,마전동구간, ,0.31,쉬움,5,4, , , , , ,2016-12-31,2110070100
15,705,282600101,가현산, , ,0.02,쉬움,1,0, , , , , ,2016-12-31,2110070100
16,706,282600101,가현산,구래리구간, ,0.11,쉬움,2,1, , , , , ,2016-12-31,2110070100
17,707,282600101,가현산,금곡동구간, ,1.17,쉬움,21,14, , , , , ,2016-12-31,2110070100
18,708,282600101,가현산, , ,0.45,쉬움,8,6, , , , , ,2016-12-31,2110070100
19,709,282600101,가현산, , ,0.15,쉬움,3,2, , , , , ,2016-12-31,2110070100
20,710,282600101,가현산,금곡동구간, ,1.05,쉬움,19,13, , , , , ,2016-12-31,2110070100
21,711,282600101,가현산, , ,0.18,쉬움,3,2, , , , , ,2016-12-31,2110070100
22,712,282600101,가현산,구래리구간, ,0.2,쉬움,4,2, , , , , ,2016-12-31,2110070100
23,713,282600101,가현산, , ,0.11,쉬움,2,1, , , , , ,2016-12-31,2110070100
24,714,282600101,가현산, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,2110070100
25,715,282600101,가현산, , ,0.05,쉬움,1,1, , , , , ,2016-12-31,2110070100
26,716,282600101,가현산, , ,0.26,쉬움,5,3, , , , , ,2016-12-31,2110070100
27,717,282600101,가현산, , ,0.03,쉬움,1,0, , , , , ,2016-12-31,2110070100
28,718,282600101,가현산, , ,0.23,쉬움,4,3, , , , , ,2016-12-31,2110070100
29,719,282600101,가현산, , ,0.25,쉬움,4,3, , , , , ,2016-12-31,2110070100
30,720,282600101,가현산, , ,0.11,쉬움,2,1, , , , , ,2016-12-31,2110070100
31,721,282600101,가현산, , ,0.31,쉬움,5,4, , , , , ,2016-12-31,2110070100
32,722,282600101,가현산, , ,0.29,쉬움,5,4, , , , , ,2016-12-31,2110070100
33,723,282600101,가현산, , ,0.05,쉬움,1,1, , , , , ,2016-12-31,2110070100
34,724,282600101,가현산, , ,0.11,쉬움,2,1, , , , , ,2016-12-31,2110070100
35,725,282600101,가현산, , ,0.15,쉬움,3,2, , , , , ,2016-12-31,2110070100
36,726,282600101,가현산, , ,0.08,쉬움,1,1, , , , , ,2016-12-31,2110070100
37,727,282600101,가현산, , ,0.12,쉬움,2,1, , , , , ,2016-12-31,2110070100
38,728,282600101,가현산,마산동구간, ,0.33,쉬움,6,4, , , , , ,2016-12-31,2110070100
39,729,282600101,가현산, , ,0.08,쉬움,1,1, , , , , ,2016-12-31,2110070100
40,730,282600101,가현산, , ,0.63,쉬움,11,8, , , , , ,2016-12-31,2110070100
41,731,282600101,가현산, , ,0.39,쉬움,7,5, , , , , ,2016-12-31,2110070100
42,732,282600101,가현산, , ,0.18,쉬움,3,2, , , , , ,2016-12-31,2110070100
43,733,282600101,가현산, , ,0.14,쉬움,2,2, , , , , ,2016-12-31,2110070100
44,734,282600101,가현산,마전동구간, ,0.5,쉬움,9,6, , , , , ,2016-12-31,2110070100
45,735,282600101,가현산,마전동구간, ,0.31,쉬움,5,4, , , , , ,2016-12-31,2110070100
46,736,282600101,가현산, , ,0.09,쉬움,2,1, , , , , ,2016-12-31,2110070100
47,737,282600101,가현산,대포리구간, ,1.18,쉬움,21,15, , , , , ,2016-12-31,2110070100
48,738,282600101,가현산, , ,0.01,쉬움,1,0, , , , , ,2016-12-31,2110070100
