FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,1436,412801301,개명산,1-2등산로분기점-추모공원입구구간, ,0.2,쉬움,4,2,토사, , , , ,2016-12-31,412801301
1,1437,412801301,개명산,1-2등산로분기점-벽제배수지구간, ,0.23,쉬움,4,3,토사, , , , ,2016-12-31,412801301
2,1438,412801301,개명산,산능성-벽제배수지구간, ,0.19,쉬움,3,2,토사, , , , ,2016-12-31,412801301
3,1439,412801301,개명산,1-2등산로분기점-벽제배수지구간,벽제배수지,0.28,쉬움,5,3,토사, , , , ,2016-12-31,412801301
4,1440,412801301,개명산,1-2등산로분기점-추모공원입구구간,하늘문추모공원,0.66,쉬움,12,8,토사, , , , ,2016-12-31,412801301
5,1441,412801301,개명산,39번국도목암미술관우측-앵무봉구간, ,2.98,쉬움,53,37,토사, , ,형제봉에서 앵무봉 가는 길에 군부대가 있어서 더 이상의 등산이 불가능하다, ,2016-12-31,412801301
6,1442,412801301,개명산,1-2등산로분기점-벽제배수지구간, ,0.15,쉬움,3,2,토사, , , , ,2016-12-31,412801301
7,1443,412801301,개명산,1등산로분기점-벽제배수지구간,벽제배수지,0.2,쉬움,4,2,토사, , , , ,2016-12-31,412801301
8,1444,412801301,개명산,1등산로분기점-벽제배수지구간, ,0.2,쉬움,4,2,토사, , , , ,2016-12-31,412801301
9,1445,412801301,개명산,1등산로분기점-벽제배수지구간, ,0.49,쉬움,9,6,토사, , , , ,2016-12-31,412801301
10,1446,412801301,개명산,1등산로분기점-벽제배수지구간, ,1.14,쉬움,20,14,토사, , ,경사가 심해 로프를 이용하여 등반, ,2016-12-31,412801301
11,1447,412801301,개명산,1등산로분기점-벽제배수지구간, ,0.07,쉬움,1,1,토사, , , , ,2016-12-31,412801301
12,1448,412801301,개명산,1-2등산로분기점-벽제배수지구간, ,0.16,쉬움,3,2,토사, , , , ,2016-12-31,412801301
13,1449,412801301,개명산,1-2등산로분기점-벽제배수지구간, ,0.07,쉬움,1,1,토사, , , , ,2016-12-31,412801301
14,1450,412801301,개명산,1-2등산로분기점-상곡3로구간, ,0.63,쉬움,11,8,토사, , , , ,2016-12-31,412801301
15,1451,412801301,개명산,1-2등산로분기점-상곡3로구간, ,0.65,쉬움,11,8,토사, , , , ,2016-12-31,412801301
16,1452,412801301,개명산,1-2등산로분기점-벽제배수지구간, ,0.14,쉬움,2,2,토사, , , , ,2016-12-31,412801301
17,1453,412801301,개명산,39번국도목암미술관우측-앵무봉구간, ,1.51,쉬움,27,19,토사, , ,형제봉에서 앵무봉 가는 길에 군부대가 있어서 더 이상의 등산이 불가능하다, ,2016-12-31,412801301
18,1454,412801301,개명산,1-2등산로분기점-추모공원입구구간, ,0.21,쉬움,4,3,토사, , , , ,2016-12-31,412801301
19,1455,412801301,개명산,1-2등산로분기점-벽제배수지구간, ,0.23,쉬움,4,3,토사, , , , ,2016-12-31,412801301
