FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,1467,267100201,개좌산,반송동구간, ,1.67,쉬움,63,44, , , , , ,2016-12-31,1203990200
1,1468,267100201,개좌산, , ,0.41,쉬움,7,5, , , , , ,2016-12-31,1203990200
2,1469,267100201,개좌산, , ,0.25,쉬움,4,3, , , , , ,2016-12-31,1203990200
3,1470,267100201,개좌산,고촌리구간, ,0.52,쉬움,9,6, , , , , ,2016-12-31,1203990200
4,1471,267100201,개좌산, , ,0.46,쉬움,8,6, , , , , ,2016-12-31,1203990200
5,1472,267100201,개좌산, , ,1.09,쉬움,19,13, , , , , ,2016-12-31,1203990200
6,1473,267100201,개좌산, , ,1.61,쉬움,28,20, , , , , ,2016-12-31,1203990200
7,1474,267100201,개좌산, , ,0.31,쉬움,5,4, , , , , ,2016-12-31,1203990200
8,1475,267100201,개좌산, , ,0.16,쉬움,3,2, , , , , ,2016-12-31,1203990200
9,1476,267100201,개좌산, , ,1.0,쉬움,18,12, , , , , ,2016-12-31,1203990200
10,1477,267100201,개좌산,반송동구간, ,0.19,쉬움,3,2, , , , , ,2016-12-31,1203990200
11,1478,267100201,개좌산, , ,0.38,쉬움,7,5, , , , , ,2016-12-31,1203990200
12,1479,267100201,개좌산,반송동구간, ,0.4,쉬움,7,5, , , , , ,2016-12-31,1203990200
13,1480,267100201,개좌산, , ,0.19,쉬움,3,2, , , , , ,2016-12-31,1203990200
14,1481,267100201,개좌산, , ,0.21,쉬움,4,3, , , , , ,2016-12-31,1203990200
15,1482,267100201,개좌산,반송동구간, ,0.8,쉬움,14,10, , , , , ,2016-12-31,1203990200
16,1483,267100201,개좌산,석대동구간, ,1.99,쉬움,37,26, , , , , ,2016-12-31,1203990200
17,1484,267100201,개좌산,회동동구간, ,0.93,쉬움,16,11, , , , , ,2016-12-31,1203990200
18,1485,267100201,개좌산, , ,0.38,쉬움,7,5, , , , , ,2016-12-31,1203990200
19,1486,267100201,개좌산,반송동구간, ,0.61,쉬움,11,8, , , , , ,2016-12-31,1203990200
20,1487,267100201,개좌산,석대동구간, ,0.93,쉬움,17,12, , , , , ,2016-12-31,1203990200
21,1488,267100201,개좌산,석대동구간, ,0.92,쉬움,16,11, , , , , ,2016-12-31,1203990200
22,1489,267100201,개좌산, , ,0.19,쉬움,3,2, , , , , ,2016-12-31,1203990200
23,1490,267100201,개좌산, , ,0.26,쉬움,5,3, , , , , ,2016-12-31,1203990200
24,1491,267100201,개좌산, , ,0.3,쉬움,5,4, , , , , ,2016-12-31,1203990200
25,1492,267100201,개좌산, , ,0.63,쉬움,11,8, , , , , ,2016-12-31,1203990200
26,1493,267100201,개좌산,반송동구간, ,0.06,쉬움,1,1, , , , , ,2016-12-31,1203990200
27,1494,267100201,개좌산,반송동구간, ,0.26,쉬움,5,3, , , , , ,2016-12-31,1203990200
28,1495,267100201,개좌산, , ,0.31,쉬움,5,4, , , , , ,2016-12-31,1203990200
29,1496,267100201,개좌산,반송동구간, ,0.69,쉬움,12,9, , , , , ,2016-12-31,1203990200
30,1497,267100201,개좌산, , ,0.34,쉬움,6,4, , , , , ,2016-12-31,1203990200
31,1498,267100201,개좌산, , ,0.24,쉬움,4,3, , , , , ,2016-12-31,1203990200
32,1499,267100201,개좌산, , ,0.5,쉬움,9,6, , , , , ,2016-12-31,1203990200
33,1500,267100201,개좌산, , ,0.35,쉬움,6,4, , , , , ,2016-12-31,1203990200
34,1501,267100201,개좌산, , ,0.28,쉬움,5,3, , , , , ,2016-12-31,1203990200
35,1502,267100201,개좌산,반송동구간, ,0.06,쉬움,1,1, , , , , ,2016-12-31,1203990200
36,1503,267100201,개좌산, , ,0.33,쉬움,6,4, , , , , ,2016-12-31,1203990200
37,1504,267100201,개좌산,반송동구간, ,0.25,쉬움,4,3, , , , , ,2016-12-31,1203990200
38,1505,267100201,개좌산,반송동구간, ,0.06,쉬움,1,1, , , , , ,2016-12-31,1203990200
39,1506,267100201,개좌산, , ,0.01,쉬움,1,0, , , , , ,2016-12-31,1203990200
