FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,2244,414500201,검단산,창우동구간, ,0.04,쉬움,1,0, , , , , ,2016-12-31,2143160200
1,2245,414500201,검단산,창우동구간, ,3.38,쉬움,127,89, , , , , ,2016-12-31,2143160200
2,2246,414500201,검단산, , ,0.44,쉬움,8,5, , , , , ,2016-12-31,2143160200
3,2247,414500201,검단산, , ,0.08,쉬움,1,1, , , , , ,2016-12-31,2143160200
4,2248,414500201,검단산, , ,1.94,쉬움,34,24, , , , , ,2016-12-31,2143160200
5,2249,414500201,검단산, , ,0.03,쉬움,1,0, , , , , ,2016-12-31,2143160200
6,2250,414500201,검단산,창우동구간, ,0.8,쉬움,14,10, , , , , ,2016-12-31,2143160200
7,2251,414500201,검단산,창우동구간, ,0.91,쉬움,16,11, , , , , ,2016-12-31,2143160200
8,2252,414500201,검단산,배알미동구간, ,2.53,쉬움,45,31, , , , , ,2016-12-31,2143160200
9,2253,414500201,검단산,배알미동구간, ,3.88,쉬움,146,102, , , , , ,2016-12-31,2143160200
10,2254,414500201,검단산,창우동구간, ,1.11,쉬움,20,14, , , , , ,2016-12-31,2143160200
11,2255,414500201,검단산,하산곡동구간, ,2.38,쉬움,89,62, , , , , ,2016-12-31,2143160200
