FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,3252,491300101,고근산, , ,0.26,쉬움,5,3, , , , , ,2016-12-31,2901139016
1,3253,491300101,고근산, , ,0.22,쉬움,4,3, , , , , ,2016-12-31,2901139016
2,3254,491300101,고근산,서호동구간, ,0.12,쉬움,2,1, , , , , ,2016-12-31,2901139016
3,3255,491300101,고근산, , ,0.11,쉬움,2,1, , , , , ,2016-12-31,2901139016
4,3256,491300101,고근산, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,2901139016
5,3257,491300101,고근산, , ,0.02,쉬움,1,0, , , , , ,2016-12-31,2901139016
6,3258,491300101,고근산,서호동구간, ,0.13,쉬움,2,2, , , , , ,2016-12-31,2901139016
7,3259,491300101,고근산, , ,0.03,쉬움,1,0, , , , , ,2016-12-31,2901139016
8,3260,491300101,고근산, , ,0.02,쉬움,1,0, , , , , ,2016-12-31,2901139016
9,3261,491300101,고근산, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,2901139016
10,3262,491300101,고근산, , ,0.09,쉬움,2,1, , , , , ,2016-12-31,2901139016
11,3263,491300101,고근산, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,2901139016
12,3264,491300101,고근산, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,2901139016
13,3265,491300101,고근산, , ,0.48,쉬움,8,6, , , , , ,2016-12-31,2901139016
