FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,3516,461300201,고락산, , ,1.05,쉬움,19,13, , , , , ,2016-12-31,2613580200
1,3517,461300201,고락산, , ,0.52,쉬움,9,6, , , , , ,2016-12-31,2613580200
2,3518,461300201,고락산, , ,0.37,쉬움,7,5, , , , , ,2016-12-31,2613580200
3,3519,461300201,고락산,문수동구간, ,0.46,쉬움,8,6, , , , , ,2016-12-31,2613580200
4,3520,461300201,고락산, , ,0.72,쉬움,13,9, , , , , ,2016-12-31,2613580200
5,3521,461300201,고락산, , ,0.3,쉬움,5,4, , , , , ,2016-12-31,2613580200
6,3522,461300201,고락산, , ,0.25,쉬움,4,3, , , , , ,2016-12-31,2613580200
7,3523,461300201,고락산,둔덕동구간, ,0.31,중간,6,4, , , , , ,2016-12-31,2613580200
8,3524,461300201,고락산, , ,0.14,쉬움,2,2, , , , , ,2016-12-31,2613580200
9,3525,461300201,고락산, , ,0.26,쉬움,5,3, , , , , ,2016-12-31,2613580200
10,3526,461300201,고락산, , ,0.3,쉬움,5,4, , , , , ,2016-12-31,2613580200
11,3527,461300201,고락산, , ,0.1,쉬움,2,1, , , , , ,2016-12-31,2613580200
12,3528,461300201,고락산, , ,0.09,쉬움,2,1, , , , , ,2016-12-31,2613580200
13,3529,461300201,고락산, , ,0.2,쉬움,4,2, , , , , ,2016-12-31,2613580200
14,3530,461300201,고락산, , ,0.21,쉬움,4,3, , , , , ,2016-12-31,2613580200
15,3531,461300201,고락산, , ,0.26,쉬움,5,3, , , , , ,2016-12-31,2613580200
16,3532,461300201,고락산,문수동구간, ,0.48,쉬움,8,6, , , , , ,2016-12-31,2613580200
17,3533,461300201,고락산,문수동구간, ,0.16,쉬움,3,2, , , , , ,2016-12-31,2613580200
18,3534,461300201,고락산,신기동구간,제일모직사택뒤 ∼정상,0.61,쉬움,11,8, , , , , ,2016-12-31,2613580200
19,3535,461300201,고락산,시전동구간, ,0.4,쉬움,7,5, , , , , ,2016-12-31,2613580200
20,3536,461300201,고락산, , ,0.24,쉬움,4,3, , , , , ,2016-12-31,2613580200
21,3537,461300201,고락산, , ,0.22,쉬움,4,3, , , , , ,2016-12-31,2613580200
22,3538,461300201,고락산,둔덕동구간,하이츠아파트 ～정상,0.26,쉬움,5,3, , , , , ,2016-12-31,2613580200
23,3539,461300201,고락산,문수동구간, ,0.23,쉬움,4,3, , , , , ,2016-12-31,2613580200
24,3540,461300201,고락산,둔덕동구간,둔덕주공아파트 ～정상,0.25,쉬움,4,3, , , , , ,2016-12-31,2613580200
25,3541,461300201,고락산,문수동구간, ,0.25,쉬움,4,3, , , , , ,2016-12-31,2613580200
26,3542,461300201,고락산, , ,0.17,쉬움,3,2, , , , , ,2016-12-31,2613580200
27,3543,461300201,고락산,시전동구간, ,0.15,쉬움,3,2, , , , , ,2016-12-31,2613580200
28,3544,461300201,고락산,은파교회구간,은파교회 ～정상,0.12,쉬움,2,1, , , , , ,2016-12-31,2613580200
29,3545,461300201,고락산,문수동구간, ,0.1,쉬움,2,1, , , , , ,2016-12-31,2613580200
30,3546,461300201,고락산, , ,0.05,쉬움,1,1, , , , , ,2016-12-31,2613580200
31,3547,461300201,고락산, , ,0.18,쉬움,3,2, , , , , ,2016-12-31,2613580200
32,3548,461300201,고락산,시전동구간, ,0.16,쉬움,3,2, , , , , ,2016-12-31,2613580200
33,3549,461300201,고락산, , ,0.74,쉬움,13,9, , , , , ,2016-12-31,2613580200
34,3550,461300201,고락산, , ,0.29,쉬움,5,4, , , , , ,2016-12-31,2613580200
35,3551,461300201,고락산, , ,0.1,쉬움,2,1, , , , , ,2016-12-31,2613580200
36,3552,461300201,고락산, , ,0.12,쉬움,2,1, , , , , ,2016-12-31,2613580200
37,3553,461300201,고락산, , ,0.25,쉬움,4,3, , , , , ,2016-12-31,2613580200
38,3554,461300201,고락산, , ,0.19,쉬움,3,2, , , , , ,2016-12-31,2613580200
39,3555,461300201,고락산, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,2613580200
40,3556,461300201,고락산, , ,0.27,쉬움,5,3, , , , , ,2016-12-31,2613580200
41,3557,461300201,고락산, , ,0.17,쉬움,3,2, , , , , ,2016-12-31,2613580200
42,3558,461300201,고락산, , ,0.16,쉬움,3,2, , , , , ,2016-12-31,2613580200
43,3559,461300201,고락산,둔덕동구간,한려아파트 ～정상,0.08,쉬움,1,1, , , , , ,2016-12-31,2613580200
44,3560,461300201,고락산, , ,0.17,쉬움,3,2, , , , , ,2016-12-31,2613580200
45,3561,461300201,고락산, , ,0.08,쉬움,1,1, , , , , ,2016-12-31,2613580200
46,3562,461300201,고락산, , ,0.14,쉬움,2,2, , , , , ,2016-12-31,2613580200
47,3563,461300201,고락산, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,2613580200
48,3564,461300201,고락산, , ,0.2,쉬움,4,2, , , , , ,2016-12-31,2613580200
49,3565,461300201,고락산,둔덕동구간, ,0.08,쉬움,1,1, , , , , ,2016-12-31,2613580200
50,3566,461300201,고락산, , ,0.16,쉬움,3,2, , , , , ,2016-12-31,2613580200
51,3567,461300201,고락산, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,2613580200
52,3568,461300201,고락산, , ,0.22,쉬움,4,3, , , , , ,2016-12-31,2613580200
53,3569,461300201,고락산, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,2613580200
54,3570,461300201,고락산, , ,0.03,쉬움,1,0, , , , , ,2016-12-31,2613580200
55,3571,461300201,고락산, , ,0.03,쉬움,1,0, , , , , ,2016-12-31,2613580200
56,3572,461300201,고락산, , ,0.01,쉬움,1,0, , , , , ,2016-12-31,2613580200
57,3573,461300201,고락산, , ,0.01,쉬움,1,0, , , , , ,2016-12-31,2613580200
58,3574,461300201,고락산, , ,0.05,쉬움,1,1, , , , , ,2016-12-31,2613580200
59,3575,461300201,고락산, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,2613580200
60,3576,461300201,고락산, , ,0.15,쉬움,3,2, , , , , ,2016-12-31,2613580200
61,3577,461300201,고락산, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,2613580200
62,3578,461300201,고락산, , ,0.0,쉬움,1,0, , , , , ,2016-12-31,2613580200
63,3579,461300201,고락산, , ,0.02,쉬움,1,0, , , , , ,2016-12-31,2613580200
64,3580,461300201,고락산, , ,0.02,쉬움,1,0, , , , , ,2016-12-31,2613580200
65,3581,461300201,고락산, , ,0.08,쉬움,1,1, , , , , ,2016-12-31,2613580200
66,3582,461300201,고락산, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,2613580200
67,3583,461300201,고락산, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,2613580200
68,3584,461300201,고락산, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,2613580200
69,3585,461300201,고락산, , ,0.33,쉬움,6,4, , , , , ,2016-12-31,2613580200
70,3586,461300201,고락산, , ,0.12,쉬움,2,1, , , , , ,2016-12-31,2613580200
71,3587,461300201,고락산, , ,0.14,쉬움,2,2, , , , , ,2016-12-31,2613580200
72,3588,461300201,고락산,문수동구간, ,0.25,쉬움,4,3, , , , , ,2016-12-31,2613580200
73,3589,461300201,고락산,문수동구간, ,0.36,쉬움,6,4, , , , , ,2016-12-31,2613580200
74,3590,461300201,고락산, , ,0.24,쉬움,4,3, , , , , ,2016-12-31,2613580200
75,3591,461300201,고락산, , ,0.23,쉬움,4,3, , , , , ,2016-12-31,2613580200
76,3592,461300201,고락산, , ,0.27,쉬움,5,3, , , , , ,2016-12-31,2613580200
77,3593,461300201,고락산, , ,0.12,쉬움,2,1, , , , , ,2016-12-31,2613580200
78,3594,461300201,고락산, , ,0.16,쉬움,3,2, , , , , ,2016-12-31,2613580200
79,3595,461300201,고락산, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,2613580200
80,3596,461300201,고락산, , ,0.19,쉬움,3,2, , , , , ,2016-12-31,2613580200
81,3597,461300201,고락산, , ,0.11,쉬움,2,1, , , , , ,2016-12-31,2613580200
82,3598,461300201,고락산, , ,0.03,쉬움,1,0, , , , , ,2016-12-31,2613580200
83,3599,461300201,고락산, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,2613580200
84,3600,461300201,고락산, , ,0.08,쉬움,1,1, , , , , ,2016-12-31,2613580200
85,3601,461300201,고락산,문수동구간, ,0.08,쉬움,1,1, , , , , ,2016-12-31,2613580200
86,3602,461300201,고락산,문수동구간, ,0.07,쉬움,1,1, , , , , ,2016-12-31,2613580200
87,3603,461300201,고락산, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,2613580200
88,3604,461300201,고락산,문수동구간, ,0.05,쉬움,1,1, , , , , ,2016-12-31,2613580200
89,3605,461300201,고락산,문수동구간, ,0.03,쉬움,1,0, , , , , ,2016-12-31,2613580200
90,3606,461300201,고락산,문수동구간, ,0.02,쉬움,1,0, , , , , ,2016-12-31,2613580200
91,3607,461300201,고락산,문수동구간, ,0.03,쉬움,1,0, , , , , ,2016-12-31,2613580200
92,3608,461300201,고락산,문수동구간, ,0.48,쉬움,8,6, , , , , ,2016-12-31,2613580200
93,3609,461300201,고락산,신기동구간, ,0.07,쉬움,1,1, , , , , ,2016-12-31,2613580200
94,3610,461300201,고락산,여수MBC방송국구간,MBC방송국 ～정상,0.39,쉬움,7,5, , , , , ,2016-12-31,2613580200
95,3611,461300201,고락산, , ,0.17,쉬움,3,2, , , , , ,2016-12-31,2613580200
96,3612,461300201,고락산, , ,0.31,쉬움,5,4, , , , , ,2016-12-31,2613580200
