FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,3811,272601501,고산,매호동구간, ,0.58,쉬움,10,7, , , ,개소구간, ,2016-12-31,272601501
1,3812,272601501,고산,성동구간, ,0.01,쉬움,1,0, , , ,개소구간, ,2016-12-31,272601501
2,3813,272601501,고산,성동구간, ,0.05,쉬움,1,1, , , ,개소구간, ,2016-12-31,272601501
3,3814,272601501,고산,성동구간, ,0.08,쉬움,1,1, , , ,개소구간, ,2016-12-31,272601501
4,3815,272601501,고산,성동구간, ,0.07,쉬움,1,1, , , ,개소구간, ,2016-12-31,272601501
5,3816,272601501,고산,성동구간, ,0.21,쉬움,4,3, , , ,개소구간, ,2016-12-31,272601501
6,3817,272601501,고산,성동구간,고산지,0.11,쉬움,2,1, , , ,개소구간, ,2016-12-31,272601501
7,3818,272601501,고산,성동구간,고산지,0.19,쉬움,3,2, , , ,개소구간, ,2016-12-31,272601501
8,3819,272601501,고산,성동구간, ,0.29,쉬움,5,4, , , ,개소구간, ,2016-12-31,272601501
9,3820,272601501,고산,매호동구간, ,0.34,쉬움,6,4, , , ,개소구간, ,2016-12-31,272601501
10,3821,272601501,고산,매호동구간, ,0.06,쉬움,1,1, , , ,개소구간, ,2016-12-31,272601501
11,3822,272601501,고산,매호동구간, ,0.3,쉬움,5,4, , , ,개소구간, ,2016-12-31,272601501
12,3823,272601501,고산,성동구간, ,0.38,쉬움,7,5, , , ,개소구간, ,2016-12-31,272601501
13,3824,272601501,고산,성동구간,고산서당,0.51,쉬움,9,6, , , ,개소구간, ,2016-12-31,272601501
14,3825,272601501,고산,성동구간, ,0.1,쉬움,2,1, , , ,개소구간, ,2016-12-31,272601501
15,3826,272601501,고산,성동구간, ,0.22,쉬움,4,3, , , ,개소구간, ,2016-12-31,272601501
16,3827,272601501,고산,성동구간, ,0.17,쉬움,3,2, , , ,개소구간, ,2016-12-31,272601501
17,3828,272601501,고산,성동구간, ,0.13,쉬움,2,2, , , ,개소구간, ,2016-12-31,272601501
18,3829,272601501,고산,성동구간, ,0.19,쉬움,3,2, , , ,개소구간, ,2016-12-31,272601501
19,3830,272601501,고산,성동구간, ,0.22,쉬움,4,3, , , ,개소구간, ,2016-12-31,272601501
20,3831,272601501,고산,성동구간, ,0.1,쉬움,2,1, , , ,개소구간, ,2016-12-31,272601501
21,3832,272601501,고산,성동구간, ,0.08,쉬움,1,1, , , ,개소구간, ,2016-12-31,272601501
22,3833,272601501,고산,성동구간, ,0.12,쉬움,2,1, , , ,개소구간, ,2016-12-31,272601501
23,3834,272601501,고산,성동구간, ,0.09,쉬움,2,1, , , ,개소구간, ,2016-12-31,272601501
24,3835,272601501,고산,성동구간, ,0.22,쉬움,4,3, , , ,개소구간, ,2016-12-31,272601501
25,3836,272601501,고산,매호동구간, ,0.03,쉬움,1,0, , , ,개소구간, ,2016-12-31,272601501
26,3837,272601501,고산,성동구간, ,0.03,쉬움,1,0, , , ,개소구간, ,2016-12-31,272601501
27,3838,272601501,고산,성동구간, ,0.43,쉬움,8,5, , , ,개소구간, ,2016-12-31,272601501
28,3839,272601501,고산,성동구간, ,0.16,쉬움,3,2, , , ,개소구간, ,2016-12-31,272601501
29,3840,272601501,고산,성동구간, ,0.16,쉬움,3,2, , , ,개소구간, ,2016-12-31,272601501
30,3841,272601501,고산,성동구간, ,0.14,쉬움,2,2, , , ,개소구간, ,2016-12-31,272601501
31,3842,272601501,고산,성동구간, ,0.29,쉬움,5,4, , , ,개소구간, ,2016-12-31,272601501
32,3843,272601501,고산,성동구간, ,0.17,쉬움,3,2, , , ,개소구간, ,2016-12-31,272601501
33,3844,272601501,고산,성동구간, ,0.16,쉬움,3,2, , , ,개소구간, ,2016-12-31,272601501
34,3845,272601501,고산,매호동구간, ,0.18,쉬움,3,2, , , ,개소구간, ,2016-12-31,272601501
35,3846,272601501,고산,성동구간, ,0.09,쉬움,2,1, , , ,개소구간, ,2016-12-31,272601501
