FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,3852,415500201,고성산,덕봉리구간, ,1.09,쉬움,19,13, , , , , ,2016-12-31,415500201
1,3853,415500201,고성산, , ,0.51,쉬움,9,6, , , , , ,2016-12-31,415500201
2,3854,415500201,고성산,칠곡리구간, ,1.56,쉬움,28,19, , , , , ,2016-12-31,415500201
3,3855,415500201,고성산, , ,0.37,쉬움,7,5, , , , , ,2016-12-31,415500201
4,3856,415500201,고성산, , ,0.01,쉬움,1,0, , , , , ,2016-12-31,415500201
5,3857,415500201,고성산, , ,0.08,쉬움,1,1, , , , , ,2016-12-31,415500201
6,3858,415500201,고성산, , ,0.71,쉬움,13,9, , , , , ,2016-12-31,415500201
7,3859,415500201,고성산, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,415500201
8,3860,415500201,고성산, , ,1.05,쉬움,19,13, , , , , ,2016-12-31,415500201
9,3861,415500201,고성산,동항리구간, ,2.0,쉬움,35,25, , , , , ,2016-12-31,415500201
10,3862,415500201,고성산,동항리구간, ,0.81,쉬움,14,10, , , , , ,2016-12-31,415500201
