FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,3887,427200301,고양산,수하리구간, ,2.42,쉬움,43,30, , ,Y, , ,2016-12-31,2216080200
1,3888,427200301,고양산, , ,2.24,쉬움,40,28, , , , , ,2016-12-31,2216080200
2,3889,427200301,고양산,수하리구간, ,1.98,쉬움,50,35, , ,Y, , ,2016-12-31,2216080200
3,3890,427200301,고양산,어론리구간, ,0.89,쉬움,16,11, , ,Y, , ,2016-12-31,2216080200
4,3891,427200301,고양산,수하리구간, ,0.42,쉬움,7,5, , ,Y, , ,2016-12-31,2216080200
5,3892,427200301,고양산, , ,0.82,쉬움,14,10, , , , , ,2016-12-31,2216080200
6,3893,427200301,고양산, , ,0.21,쉬움,4,3, , , , , ,2016-12-31,2216080200
7,3894,427200301,고양산, , ,0.21,쉬움,4,3, , , , , ,2016-12-31,2216080200
8,3895,427200301,고양산, , ,0.46,쉬움,8,6, , , , , ,2016-12-31,2216080200
9,3896,427200301,고양산, , ,1.06,쉬움,19,13, , , , , ,2016-12-31,2216080200
10,3897,427200301,고양산, , ,0.36,쉬움,6,4, , , , , ,2016-12-31,2216080200
11,3898,427200301,고양산, , ,0.15,쉬움,3,2, , , , , ,2016-12-31,2216080200
12,3899,427200301,고양산,어론리구간, ,0.21,쉬움,4,3, , , , , ,2016-12-31,2216080200
13,3900,427200301,고양산,어론리구간, ,1.69,쉬움,30,21, , ,Y, , ,2016-12-31,2216080200
14,3901,427200301,고양산, , ,0.19,쉬움,3,2, , , , , ,2016-12-31,2216080200
15,3902,427200301,고양산, , ,0.86,쉬움,15,11, , ,Y, , ,2016-12-31,2216080200
16,3903,427200301,고양산,풍암리구간, ,0.55,쉬움,10,7, , , , , ,2016-12-31,2216080200
17,3904,427200301,고양산,어론리구간, ,0.03,쉬움,1,0, , ,Y, , ,2016-12-31,2216080200
