FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,4587,411170201,광교산,조원동구간, ,3.95,쉬움,70,49, , , , , ,2016-12-31,411110201
1,4588,411170201,광교산,하광교동구간, ,1.09,쉬움,19,13, , , , , ,2016-12-31,411110201
2,4589,411170201,광교산,하광교동구간, ,1.87,쉬움,33,23, , , , , ,2016-12-31,411110201
3,4590,411170201,광교산,파장동구간, ,0.26,쉬움,5,3, , , , , ,2016-12-31,411110201
4,4591,411170201,광교산,파장동구간, ,1.06,쉬움,19,13, , , , , ,2016-12-31,411110201
5,4592,411170201,광교산, , ,1.15,쉬움,20,14, , , , , ,2016-12-31,411110201
6,4593,411170201,광교산,하광교동구간, ,0.23,쉬움,4,3, , , , , ,2016-12-31,411110201
7,4594,411170201,광교산,파장동구간, ,1.67,쉬움,31,22, , , , , ,2016-12-31,411110201
8,4595,411170201,광교산,상광교동구간, ,0.09,쉬움,2,1, , , , , ,2016-12-31,411110201
9,4596,411170201,광교산, , ,0.34,쉬움,6,4, , , , , ,2016-12-31,411110201
10,4597,411170201,광교산, , ,1.58,쉬움,28,20, , , , , ,2016-12-31,411110201
11,4598,411170201,광교산, , ,0.08,쉬움,1,1, , , , , ,2016-12-31,411110201
12,4599,411170201,광교산, , ,0.01,쉬움,1,0, , , , , ,2016-12-31,411110201
13,4600,411170201,광교산,상광교동구간, ,1.28,쉬움,32,22, , , , , ,2016-12-31,411110201
14,4601,411170201,광교산,상광교동구간, ,0.79,쉬움,14,10, , , , , ,2016-12-31,411110201
15,4602,411170201,광교산,상광교동구간, ,0.48,쉬움,8,6, , , , , ,2016-12-31,411110201
16,4603,411170201,광교산,상광교동구간, ,1.08,쉬움,19,13, , , , , ,2016-12-31,411110201
17,4604,411170201,광교산,이의동구간, ,0.62,쉬움,11,8, , , , , ,2016-12-31,411170201
18,4605,411170201,광교산,성복동구간, ,0.31,쉬움,5,4, , , , , ,2016-12-31,414650101
19,4606,411170201,광교산,성복동구간, ,0.27,쉬움,5,3, , , , , ,2016-12-31,414650101
20,4607,411170201,광교산, , ,0.75,쉬움,13,9, , , , , ,2016-12-31,414650101
21,4608,411170201,광교산, , ,0.36,쉬움,6,4, , , , , ,2016-12-31,414650101
22,4609,411170201,광교산, , ,0.08,쉬움,1,1, , , , , ,2016-12-31,414650101
23,4610,411170201,광교산, , ,0.37,쉬움,7,5, , , , , ,2016-12-31,414650101
24,4611,411170201,광교산, , ,0.12,쉬움,2,1, , , , , ,2016-12-31,414650101
25,4612,411170201,광교산, , ,0.08,쉬움,1,1, , , , , ,2016-12-31,414650101
26,4613,411170201,광교산, , ,0.08,쉬움,1,1, , , , , ,2016-12-31,414650101
27,4614,411170201,광교산,성복동구간, ,0.24,쉬움,4,3, , , , , ,2016-12-31,414650101
28,4615,411170201,광교산, , ,0.1,쉬움,2,1, , , , , ,2016-12-31,414650101
29,4616,411170201,광교산, , ,0.15,쉬움,3,2, , , , , ,2016-12-31,414650101
30,4617,411170201,광교산, , ,0.23,쉬움,4,3, , , , , ,2016-12-31,414650101
31,4618,411170201,광교산, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,414650101
32,4619,411170201,광교산, , ,0.21,쉬움,4,3, , , , , ,2016-12-31,414650101
33,4620,411170201,광교산,신봉동구간, ,0.13,쉬움,2,2, , , , , ,2016-12-31,414650101
34,4621,411170201,광교산,성복동구간, ,0.18,쉬움,3,2, , , , , ,2016-12-31,414650101
35,4622,411170201,광교산,신봉동구간, ,0.08,쉬움,1,1, , , , , ,2016-12-31,414650101
36,4623,411170201,광교산, , ,0.26,쉬움,5,3, , , , , ,2016-12-31,414650101
37,4624,411170201,광교산,풍덕천동구간, ,0.14,쉬움,2,2, , , , , ,2016-12-31,414650101
38,4625,411170201,광교산,신봉동구간, ,0.07,쉬움,1,1, , , , , ,2016-12-31,414650101
39,4626,411170201,광교산,신봉동구간, ,0.15,쉬움,3,2, , , , , ,2016-12-31,414650101
40,4627,411170201,광교산,성복동구간, ,0.15,쉬움,3,2, , , , , ,2016-12-31,414650101
41,4628,411170201,광교산, , ,0.42,쉬움,7,5, , , , , ,2016-12-31,414650101
42,4629,411170201,광교산, , ,0.03,쉬움,1,0, , , , , ,2016-12-31,414650101
43,4630,411170201,광교산, , ,0.02,쉬움,1,0, , , , , ,2016-12-31,414650101
44,4631,411170201,광교산,신봉동구간, ,0.18,쉬움,3,2, , , , , ,2016-12-31,414650101
45,4632,411170201,광교산, , ,0.29,쉬움,5,4, , , , , ,2016-12-31,414650101
46,4633,411170201,광교산,풍덕천동구간, ,0.14,쉬움,2,2, , , , , ,2016-12-31,414650101
47,4634,411170201,광교산,성복동구간, ,0.12,쉬움,2,1, , , , , ,2016-12-31,414650101
48,4635,411170201,광교산, , ,0.1,쉬움,2,1, , , , , ,2016-12-31,414650101
49,4636,411170201,광교산, , ,0.09,쉬움,2,1, , , , , ,2016-12-31,414650101
50,4637,411170201,광교산, , ,0.17,쉬움,3,2, , , , , ,2016-12-31,414650101
51,4638,411170201,광교산, , ,0.16,쉬움,3,2, , , , , ,2016-12-31,414650101
52,4639,411170201,광교산, , ,0.66,쉬움,12,8, , , , , ,2016-12-31,414650101
53,4640,411170201,광교산,성복동구간, ,0.2,쉬움,4,2, , , , , ,2016-12-31,414650101
54,4641,411170201,광교산, , ,0.09,쉬움,2,1, , , , , ,2016-12-31,414650101
55,4642,411170201,광교산, , ,0.15,쉬움,3,2, , , , , ,2016-12-31,414650101
56,4643,411170201,광교산,풍덕천동구간, ,0.15,쉬움,3,2, , , , , ,2016-12-31,414650101
57,4644,411170201,광교산,성복동구간, ,0.04,쉬움,1,0, , , , , ,2016-12-31,414650101
58,4645,411170201,광교산,풍덕천동구간, ,0.09,쉬움,2,1, , , , , ,2016-12-31,414650101
59,4646,411170201,광교산, , ,0.01,쉬움,1,0, , , , , ,2016-12-31,414650101
60,4647,411170201,광교산, , ,0.59,쉬움,10,7, , , , , ,2016-12-31,414650101
61,4648,411170201,광교산,성복동구간, ,0.26,쉬움,5,3, , , , , ,2016-12-31,414650101
62,4649,411170201,광교산, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,414650101
63,4650,411170201,광교산, , ,0.18,쉬움,3,2, , , , , ,2016-12-31,414650101
64,4651,411170201,광교산, , ,0.01,쉬움,1,0, , , , , ,2016-12-31,414650101
65,4652,411170201,광교산,성복동구간, ,0.04,쉬움,1,0, , , , , ,2016-12-31,414650101
66,4653,411170201,광교산,신봉동구간, ,0.04,쉬움,1,0, , , , , ,2016-12-31,414650101
67,4654,411170201,광교산,성복동구간, ,0.05,쉬움,1,1, , , , , ,2016-12-31,414650101
68,4655,411170201,광교산, , ,0.21,쉬움,4,3, , , , , ,2016-12-31,414650101
69,4656,411170201,광교산,신봉동구간, ,0.14,쉬움,2,2, , , , , ,2016-12-31,414650101
70,4657,411170201,광교산, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,414650101
71,4658,411170201,광교산, , ,0.19,쉬움,3,2, , , , , ,2016-12-31,414650101
72,4659,411170201,광교산, , ,1.11,쉬움,20,14, , , , , ,2016-12-31,414650101
73,4660,411170201,광교산, , ,0.34,쉬움,6,4, , , , , ,2016-12-31,414650101
74,4661,411170201,광교산, , ,0.13,쉬움,2,2, , , , , ,2016-12-31,414650101
75,4662,411170201,광교산,풍덕천동구간, ,0.19,쉬움,3,2, , , , , ,2016-12-31,414650101
76,4663,411170201,광교산,풍덕천동구간, ,0.14,쉬움,2,2, , , , , ,2016-12-31,414650101
77,4664,411170201,광교산, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,414650101
78,4665,411170201,광교산, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,414650101
79,4666,411170201,광교산, , ,0.18,쉬움,3,2, , , , , ,2016-12-31,414650101
80,4667,411170201,광교산, , ,0.33,쉬움,6,4, , , , , ,2016-12-31,414650101
81,4668,411170201,광교산, , ,0.2,쉬움,4,2, , , , , ,2016-12-31,414650101
82,4669,411170201,광교산,풍덕천동구간, ,0.48,쉬움,8,6, , , , , ,2016-12-31,414650101
83,4670,411170201,광교산,풍덕천동구간, ,0.27,쉬움,5,3, , , , , ,2016-12-31,414650101
84,4671,411170201,광교산,신봉동구간, ,0.26,쉬움,5,3, , , , , ,2016-12-31,414650101
85,4672,411170201,광교산, , ,0.43,쉬움,8,5, , , , , ,2016-12-31,414650101
86,4673,411170201,광교산, , ,0.15,쉬움,3,2, , , , , ,2016-12-31,414650101
87,4674,411170201,광교산, , ,0.36,쉬움,6,4, , , , , ,2016-12-31,414650101
88,4675,411170201,광교산,신봉동구간, ,0.72,쉬움,13,9, , , , , ,2016-12-31,414650101
89,4676,411170201,광교산,풍덕천동구간, ,0.12,쉬움,2,1, , , , , ,2016-12-31,414650101
90,4677,411170201,광교산,신봉동구간, ,1.04,쉬움,22,16, , , , , ,2016-12-31,414650101
91,4678,411170201,광교산, , ,0.31,쉬움,5,4, , , , , ,2016-12-31,414650101
92,4679,411170201,광교산,풍덕천동구간, ,0.06,쉬움,1,1, , , , , ,2016-12-31,414650101
93,4680,411170201,광교산, , ,0.23,쉬움,4,3, , , , , ,2016-12-31,414650101
94,4681,411170201,광교산,신봉동구간, ,0.34,쉬움,6,4, , , , , ,2016-12-31,414650101
95,4682,411170201,광교산,풍덕천동구간, ,0.06,쉬움,1,1, , , , , ,2016-12-31,414650101
96,4683,411170201,광교산, , ,0.15,쉬움,3,2, , , , , ,2016-12-31,414650101
97,4684,411170201,광교산,신봉동구간, ,0.17,쉬움,3,2, , , , , ,2016-12-31,414650101
98,4685,411170201,광교산,신봉동구간, ,0.12,쉬움,2,1, , , , , ,2016-12-31,414650101
99,4686,411170201,광교산,풍덕천동구간, ,0.42,쉬움,7,5, , , , , ,2016-12-31,414650101
100,4687,411170201,광교산, , ,0.02,쉬움,1,0, , , , , ,2016-12-31,414650101
101,4688,411170201,광교산, , ,0.16,쉬움,3,2, , , , , ,2016-12-31,414650101
102,4689,411170201,광교산,신봉동구간, ,0.01,쉬움,1,0, , , , , ,2016-12-31,414650101
103,4690,411170201,광교산, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,414650101
104,4691,411170201,광교산, , ,0.08,쉬움,1,1, , , , , ,2016-12-31,414650101
105,4692,411170201,광교산, , ,0.05,쉬움,1,1, , , , , ,2016-12-31,414650101
106,4693,411170201,광교산, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,414650101
107,4694,411170201,광교산, , ,0.12,쉬움,2,1, , , , , ,2016-12-31,414650101
