FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,5220,447300201,괴화산,석삼리마을내버스승강장-석교리금석교버스승강장구간, ,2.03,쉬움,38,27,토사/사력층, , ,숲길시설이 전혀 없고 경작지 통과 지역이 많음, ,2016-12-31,447300201
1,5221,447300201,괴화산,석삼리마을내버스승강장-석교리금석교버스승강장구간, ,0.85,쉬움,15,11,토사/사력층, , ,숲길시설이 전혀 없고 경작지 통과 지역이 많음, ,2016-12-31,447300201
2,5222,447300201,괴화산,능선 내 갈림길- 석삼1리느티나무갈림길구간, ,0.4,쉬움,7,5,토사/사력층, , ,숲길시설이 전혀 없고 경작지 통과 지역이 많음, ,2016-12-31,447300201
3,5223,447300201,괴화산,마을내경작지-석삼리농로갈림길 구간, ,0.1,쉬움,2,1,토사/사력층, , ,숲길시설이 전혀 없고 경작지 통과 지역이 많음, ,2016-12-31,447300201
4,5224,447300201,괴화산,숲길내갈림길-반곡리들판내숲길끝단구간, ,0.06,쉬움,1,1,토사/사력층, , ,숲길시설이 전혀 없고 경작지 통과 지역이 많음, ,2016-12-31,447300201
5,5225,447300201,괴화산,석삼리마을입구-장재리버스승강장구간, ,1.02,쉬움,18,13,토사/사력층, , ,숲길시설이 전혀 없고 경작지 통과 지역이 많음, ,2016-12-31,447300201
6,5226,447300201,괴화산,석삼리마을입구-장재리버스승강장구간, ,0.19,쉬움,3,2,토사/사력층, , ,숲길시설이 전혀 없고 경작지 통과 지역이 많음, ,2016-12-31,447300201
7,5227,447300201,괴화산,석삼리마을입구-장재리버스승강장구간, ,0.18,쉬움,3,2,토사/사력층, , ,숲길시설이 전혀 없고 경작지 통과 지역이 많음, ,2016-12-31,447300201
8,5228,447300201,괴화산,"장재리,석삼리갈림길-장재리,석삼리연결농로구간", ,0.23,쉬움,4,3,토사/사력층, , ,숲길시설이 전혀 없고 경작지 통과 지역이 많음, ,2016-12-31,447300201
9,5229,447300201,괴화산,석삼리마을내버스승강장-석교리금석교버스승강장구간, ,0.19,쉬움,3,2,토사/사력층, , ,숲길시설이 전혀 없고 경작지 통과 지역이 많음, ,2016-12-31,447300201
10,5230,447300201,괴화산,석삼리마을내버스승강장-석교리금석교버스승강장구간, ,0.81,쉬움,15,11,토사/사력층, , ,숲길시설이 전혀 없고 경작지 통과 지역이 많음, ,2016-12-31,447300201
11,5231,447300201,괴화산,능선 내 갈림길- 능선내 산길 끝구간, ,0.59,쉬움,10,7,토사/사력층, , ,숲길시설이 전혀 없고 경작지 통과 지역이 많음, ,2016-12-31,447300201
12,5232,447300201,괴화산,"장재리,석삼리갈림길-장재리,석삼리연결농로구간", ,0.25,쉬움,4,3,토사/사력층, , ,숲길시설이 전혀 없고 경작지 통과 지역이 많음, ,2016-12-31,447300201
