FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,5641,437200301,구룡산,하석리구간, ,0.44,쉬움,8,5, , , , , ,2016-12-31,2303110300
1,5642,437200301,구룡산, , ,0.16,쉬움,3,2, , , , , ,2016-12-31,2303110300
2,5643,437200301,구룡산,하석리구간, ,0.95,쉬움,17,12, , , , , ,2016-12-31,2303110300
3,5644,437200301,구룡산,하석리구간, ,3.23,쉬움,57,40, , , , , ,2016-12-31,2303110300
4,5645,437200301,구룡산,하석리구간, ,0.51,쉬움,10,7, , , , , ,2016-12-31,2303110300
5,5646,437200301,구룡산,덕유리구간, ,3.82,쉬움,82,57, , , , , ,2016-12-31,2303110300
6,5647,437200301,구룡산,하석리구간, ,0.54,쉬움,10,7, , , , , ,2016-12-31,2303110300
7,5648,437200301,구룡산, , ,0.18,쉬움,3,2, , , , , ,2016-12-31,2303110300
8,5649,437200301,구룡산, , ,0.38,쉬움,7,5, , , , , ,2016-12-31,2303110300
9,5650,437200301,구룡산, , ,0.25,쉬움,4,3, , , , , ,2016-12-31,2303110300
10,5651,437200301,구룡산, , ,0.12,쉬움,2,1, , , , , ,2016-12-31,2303110300
11,5652,437200301,구룡산, , ,0.67,쉬움,12,8, , , , , ,2016-12-31,2303110300
