FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,5700,412100201,구름산, , ,0.65,쉬움,11,8, , , , , ,2016-12-31,412100201
1,5701,412100201,구름산,소하동구간, ,0.04,쉬움,1,0, , , , , ,2016-12-31,412100201
2,5702,412100201,구름산, , ,0.05,쉬움,1,1, , , , , ,2016-12-31,412100201
3,5703,412100201,구름산,소하동구간, ,0.18,쉬움,3,2, , , , , ,2016-12-31,412100201
4,5704,412100201,구름산, , ,0.02,쉬움,1,0, , , , , ,2016-12-31,412100201
5,5705,412100201,구름산, , ,0.02,쉬움,1,0, , , , , ,2016-12-31,412100201
6,5706,412100201,구름산, , ,0.19,쉬움,3,2, , , , , ,2016-12-31,412100201
7,5707,412100201,구름산,노온사동구간, ,0.22,쉬움,4,3, , , , , ,2016-12-31,412100201
8,5708,412100201,구름산, , ,0.58,쉬움,10,7, , , , , ,2016-12-31,412100201
9,5709,412100201,구름산, , ,0.76,쉬움,13,9, , ,Y, , ,2016-12-31,412100201
10,5710,412100201,구름산, , ,0.06,쉬움,1,1, , ,Y, , ,2016-12-31,412100201
11,5711,412100201,구름산, , ,0.04,쉬움,1,0, , ,Y, , ,2016-12-31,412100201
12,5712,412100201,구름산, , ,0.03,쉬움,1,0, , , , , ,2016-12-31,412100201
13,5713,412100201,구름산, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,412100201
14,5714,412100201,구름산, , ,0.14,쉬움,2,2, , , , , ,2016-12-31,412100201
15,5715,412100201,구름산, , ,0.21,쉬움,4,3, , , , , ,2016-12-31,412100201
16,5716,412100201,구름산, , ,0.22,쉬움,4,3, , , , , ,2016-12-31,412100201
17,5717,412100201,구름산,노온사동구간, ,0.24,쉬움,4,3, , , , , ,2016-12-31,412100201
18,5718,412100201,구름산,소하동구간, ,0.27,쉬움,5,3, , , , , ,2016-12-31,412100201
19,5719,412100201,구름산,소하동구간, ,0.07,쉬움,1,1, , , , , ,2016-12-31,412100201
20,5720,412100201,구름산,노온사동구간, ,0.33,쉬움,6,4, , ,Y, , ,2016-12-31,412100201
21,5721,412100201,구름산, , ,0.02,쉬움,1,0, , , , , ,2016-12-31,412100201
22,5722,412100201,구름산, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,412100201
23,5723,412100201,구름산, , ,0.03,쉬움,1,0, , , , , ,2016-12-31,412100201
24,5724,412100201,구름산, , ,0.01,쉬움,1,0, , , , , ,2016-12-31,412100201
25,5725,412100201,구름산, , ,0.03,쉬움,1,0, , , , , ,2016-12-31,412100201
26,5726,412100201,구름산, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,412100201
27,5727,412100201,구름산, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,412100201
28,5728,412100201,구름산,노온사동구간, ,0.55,쉬움,10,7, , , , , ,2016-12-31,412100201
29,5729,412100201,구름산, , ,0.01,쉬움,1,0, , , , , ,2016-12-31,412100201
30,5730,412100201,구름산, , ,0.11,쉬움,2,1, , , , , ,2016-12-31,412100201
31,5731,412100201,구름산, , ,0.09,쉬움,2,1, , , , , ,2016-12-31,412100201
32,5732,412100201,구름산, , ,0.12,쉬움,2,1, , , , , ,2016-12-31,412100201
33,5733,412100201,구름산, , ,0.09,쉬움,2,1, , , , , ,2016-12-31,412100201
34,5734,412100201,구름산, , ,0.14,쉬움,2,2, , , , , ,2016-12-31,412100201
35,5735,412100201,구름산, , ,0.14,쉬움,2,2, , , , , ,2016-12-31,412100201
36,5736,412100201,구름산, , ,0.02,쉬움,1,0, , , , , ,2016-12-31,412100201
37,5737,412100201,구름산, , ,0.01,쉬움,1,0, , , , , ,2016-12-31,412100201
38,5738,412100201,구름산, , ,0.02,쉬움,1,0, , , , , ,2016-12-31,412100201
39,5739,412100201,구름산, , ,0.1,쉬움,2,1, , , , , ,2016-12-31,412100201
40,5740,412100201,구름산, , ,0.08,쉬움,1,1, , , , , ,2016-12-31,412100201
41,5741,412100201,구름산, , ,0.05,쉬움,1,1, , , , , ,2016-12-31,412100201
42,5742,412100201,구름산, , ,0.11,쉬움,2,1, , , , , ,2016-12-31,412100201
43,5743,412100201,구름산, , ,0.0,쉬움,1,0, , , , , ,2016-12-31,412100201
44,5744,412100201,구름산, , ,0.17,쉬움,3,2, , , , , ,2016-12-31,412100201
45,5745,412100201,구름산, , ,0.17,쉬움,3,2, , , , , ,2016-12-31,412100201
46,5746,412100201,구름산,노온사동구간, ,0.05,쉬움,1,1, , , , , ,2016-12-31,412100201
47,5747,412100201,구름산, , ,0.25,쉬움,4,3, , , , , ,2016-12-31,412100201
48,5748,412100201,구름산, , ,0.01,쉬움,1,0, , , , , ,2016-12-31,412100201
49,5749,412100201,구름산, , ,0.28,쉬움,5,3, , , , , ,2016-12-31,412100201
50,5750,412100201,구름산, , ,0.03,쉬움,1,0, , , , , ,2016-12-31,412100201
51,5751,412100201,구름산, , ,0.02,쉬움,1,0, , , , , ,2016-12-31,412100201
52,5752,412100201,구름산, , ,0.02,쉬움,1,0, , , , , ,2016-12-31,412100201
53,5753,412100201,구름산, , ,0.03,쉬움,1,0, , , , , ,2016-12-31,412100201
