FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,6807,114100601,궁동산,연희동구간, ,0.07,쉬움,1,1,토사, , , , ,2016-12-31,114100601
1,6808,114100601,궁동산,서대문구밤고개길-서대문구연희2동구간, ,0.06,쉬움,1,1,토사/아스팔트/시멘트, , , , ,2016-12-31,114100601
2,6809,114100601,궁동산,서대문구홍연길구간, ,0.08,쉬움,1,1,토사, , , , ,2016-12-31,114100601
3,6810,114100601,궁동산,연희동구간, ,0.07,쉬움,1,1,토사, , , , ,2016-12-31,114100601
4,6811,114100601,궁동산,연희동구간, ,0.08,쉬움,1,1,토사, , , , ,2016-12-31,114100601
5,6812,114100601,궁동산,연희동구간, ,0.07,쉬움,1,1,토사, , , , ,2016-12-31,114100601
6,6813,114100601,궁동산,연희동구간, ,0.53,쉬움,9,7, , , , , ,2016-12-31,114100601
7,6814,114100601,궁동산,서대문구연희고지길구간, ,0.0,쉬움,1,0,토사, , , , ,2016-12-31,114100601
8,6815,114100601,궁동산,연희동구간, ,0.04,쉬움,1,0,토사, , , , ,2016-12-31,114100601
9,6816,114100601,궁동산,연희동구간, ,0.09,쉬움,2,1, , , , , ,2016-12-31,114100601
10,6817,114100601,궁동산,연희동구간, ,0.13,쉬움,2,2, , , , , ,2016-12-31,114100601
11,6818,114100601,궁동산,연희동구간, ,0.05,쉬움,1,1, , , , , ,2016-12-31,114100601
12,6819,114100601,궁동산,연희동구간, ,0.03,쉬움,1,0, , , , , ,2016-12-31,114100601
13,6820,114100601,궁동산,연희동구간, ,0.15,쉬움,3,2, , , , , ,2016-12-31,114100601
14,6821,114100601,궁동산,연희동구간, ,0.02,쉬움,1,0,토사, , , , ,2016-12-31,114100601
15,6822,114100601,궁동산,연희동구간, ,0.01,쉬움,1,0,토사, , , , ,2016-12-31,114100601
16,6823,114100601,궁동산,연희동구간, ,0.01,쉬움,1,0, , , , , ,2016-12-31,114100601
17,6824,114100601,궁동산,연희동구간, ,0.31,쉬움,5,4,토사, , , , ,2016-12-31,114100601
18,6825,114100601,궁동산,연희동구간, ,0.01,쉬움,1,0,토사, , , , ,2016-12-31,114100601
19,6826,114100601,궁동산,연희동구간, ,0.02,쉬움,1,0,토사, , , , ,2016-12-31,114100601
20,6827,114100601,궁동산,연희동구간, ,0.09,쉬움,2,1, , , , , ,2016-12-31,114100601
21,6828,114100601,궁동산,연희동구간, ,0.13,쉬움,2,2,토사, , , , ,2016-12-31,114100601
22,6829,114100601,궁동산,연희동구간, ,0.41,쉬움,7,5,토사, , , , ,2016-12-31,114100601
23,6830,114100601,궁동산,연희동구간, ,0.02,쉬움,1,0,토사, , , , ,2016-12-31,114100601
24,6831,114100601,궁동산,연희동구간, ,0.01,쉬움,1,0,토사, , , , ,2016-12-31,114100601
25,6832,114100601,궁동산,연희동구간, ,0.04,쉬움,1,0, , , , , ,2016-12-31,114100601
26,6833,114100601,궁동산,연희동구간, ,0.05,쉬움,1,1, , , , , ,2016-12-31,114100601
27,6834,114100601,궁동산,연희동구간, ,0.07,쉬움,1,1,토사, , , , ,2016-12-31,114100601
28,6835,114100601,궁동산,연희동구간, ,0.01,쉬움,1,0,토사, , , , ,2016-12-31,114100601
29,6836,114100601,궁동산,연희동구간, ,0.04,쉬움,1,0,토사, , , , ,2016-12-31,114100601
30,6837,114100601,궁동산,연희동구간, ,0.04,쉬움,1,0,토사, , , , ,2016-12-31,114100601
31,6838,114100601,궁동산,연희동구간, ,0.0,쉬움,1,0, , , , , ,2016-12-31,114100601
32,6839,114100601,궁동산,연희동구간, ,0.03,쉬움,1,0,토사, , , , ,2016-12-31,114100601
33,6840,114100601,궁동산,연희동구간, ,0.14,쉬움,2,2,토사, , , , ,2016-12-31,114100601
34,6841,114100601,궁동산,연희동구간, ,0.04,쉬움,1,0,토사, , , , ,2016-12-31,114100601
35,6842,114100601,궁동산,연희동구간, ,0.04,쉬움,1,0, , , , , ,2016-12-31,114100601
36,6843,114100601,궁동산,연희동구간, ,0.03,쉬움,1,0,토사, , , , ,2016-12-31,114100601
