FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,7294,302000301,금병산, , ,0.41,쉬움,7,5, , , , , ,2016-12-31,1604540300
1,7295,302000301,금병산,추목동구간, ,0.87,쉬움,15,11, , , , , ,2016-12-31,1604540300
2,7296,302000301,금병산,구룡동구간, ,0.25,쉬움,4,3, , , , , ,2016-12-31,1604540300
3,7297,302000301,금병산,덕진동구간, ,0.21,쉬움,4,3, , , , , ,2016-12-31,1604540300
4,7298,302000301,금병산,추목동구간, ,1.14,쉬움,29,20, , , , , ,2016-12-31,1604540300
5,7299,302000301,금병산, , ,0.7,쉬움,12,9, , , , , ,2016-12-31,1604540300
6,7300,302000301,금병산,덕진동구간, ,0.31,쉬움,5,4, , , , , ,2016-12-31,1604540300
7,7301,302000301,금병산,추목동구간, ,0.53,쉬움,9,7, , , , , ,2016-12-31,1604540300
8,7302,302000301,금병산, , ,0.65,쉬움,11,8, , , , , ,2016-12-31,1604540300
9,7303,302000301,금병산, , ,0.56,쉬움,10,7, , , , , ,2016-12-31,1604540300
10,7304,302000301,금병산, , ,0.22,쉬움,4,3, , , , , ,2016-12-31,1604540300
11,7305,302000301,금병산, , ,0.19,쉬움,3,2, , , , , ,2016-12-31,1604540300
12,7306,302000301,금병산, , ,1.25,쉬움,22,15, , , , , ,2016-12-31,1604540300
13,7307,302000301,금병산,추목동구간, ,0.34,쉬움,6,4, , , , , ,2016-12-31,1604540300
14,7308,302000301,금병산, , ,2.56,쉬움,45,32, , , , , ,2016-12-31,1604540300
15,7309,302000301,금병산,추목동구간, ,0.94,쉬움,17,12, , , , , ,2016-12-31,1604540300
16,7310,302000301,금병산,추목동구간, ,1.03,쉬움,18,13, , , , , ,2016-12-31,1604540300
17,7311,302000301,금병산,추목동구간, ,0.77,쉬움,14,10, , , , , ,2016-12-31,1604540300
18,7312,302000301,금병산,추목동구간, ,0.03,쉬움,1,0, , , , , ,2016-12-31,1604540300
19,7313,302000301,금병산, , ,0.38,쉬움,7,5, , , , , ,2016-12-31,1604540300
20,7314,302000301,금병산, , ,0.48,쉬움,8,6, , , , , ,2016-12-31,1604540300
21,7315,302000301,금병산, , ,0.19,쉬움,3,2, , , , , ,2016-12-31,1604540300
22,7316,302000301,금병산, , ,0.4,쉬움,7,5, , , , , ,2016-12-31,1604540300
