FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,7735,471900101,금오산,남통동구간, ,0.32,쉬움,6,4, , , , , ,2016-12-31,471900101
1,7736,471900101,금오산, , ,0.12,쉬움,2,1, , , , , ,2016-12-31,471900101
2,7737,471900101,금오산,남통동구간, ,0.25,쉬움,4,3, , , , , ,2016-12-31,471900101
3,7738,471900101,금오산,남통동구간, ,0.12,쉬움,2,1, , , , , ,2016-12-31,471900101
4,7739,471900101,금오산, , ,0.15,쉬움,3,2, , , , , ,2016-12-31,471900101
5,7740,471900101,금오산, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,471900101
6,7741,471900101,금오산, , ,0.3,쉬움,5,4, , , , , ,2016-12-31,471900101
7,7742,471900101,금오산, , ,0.49,쉬움,9,6, , , , , ,2016-12-31,471900101
8,7743,471900101,금오산, , ,0.41,쉬움,7,5, , , , , ,2016-12-31,471900101
9,7744,471900101,금오산, , ,0.36,쉬움,6,4, , , , , ,2016-12-31,471900101
10,7745,471900101,금오산, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,471900101
11,7746,471900101,금오산, , ,1.09,쉬움,19,13, , , , , ,2016-12-31,471900101
12,7747,471900101,금오산, , ,0.52,쉬움,9,6, , , , , ,2016-12-31,471900101
13,7748,471900101,금오산,남통동구간, ,0.22,중간,4,3, , , , , ,2016-12-31,471900101
14,7749,471900101,금오산, , ,0.26,쉬움,5,3, , , , , ,2016-12-31,471900101
15,7750,471900101,금오산, , ,0.16,쉬움,3,2, , , , , ,2016-12-31,471900101
16,7751,471900101,금오산, , ,0.03,쉬움,1,0, , , , , ,2016-12-31,471900101
17,7752,471900101,금오산, , ,0.46,쉬움,8,6, , , , , ,2016-12-31,471900101
18,7753,471900101,금오산, , ,0.74,쉬움,13,9, , , , , ,2016-12-31,471900101
19,7754,471900101,금오산, , ,0.64,쉬움,11,8, , , , , ,2016-12-31,471900101
20,7755,471900101,금오산, , ,0.1,쉬움,2,1, , , , , ,2016-12-31,471900101
21,7756,471900101,금오산, , ,1.46,쉬움,26,18, , , , , ,2016-12-31,471900101
22,7757,471900101,금오산, , ,0.29,쉬움,5,4, , , , , ,2016-12-31,471900101
23,7758,471900101,금오산,남통동구간, ,0.35,쉬움,6,4, , , , , ,2016-12-31,471900101
24,7759,471900101,금오산,남통동구간, ,0.36,쉬움,6,4, , , , , ,2016-12-31,471900101
25,7760,471900101,금오산, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,471900101
26,7761,471900101,금오산,남통동구간, ,0.35,쉬움,6,4, , , , , ,2016-12-31,471900101
27,7762,471900101,금오산,남통동구간, ,0.59,쉬움,11,8, , , , , ,2016-12-31,471900101
28,7763,471900101,금오산,남통동구간, ,1.32,쉬움,23,16, , , , , ,2016-12-31,471900101
29,7764,471900101,금오산,남통동구간, ,0.99,쉬움,17,12, , , , , ,2016-12-31,471900101
30,7765,471900101,금오산,숭오리구간, ,0.7,쉬움,12,9, , , , , ,2016-12-31,478500601
31,7766,471900101,금오산,숭오리구간, ,0.79,쉬움,14,10, , , , , ,2016-12-31,478500601
32,7767,471900101,금오산,숭오리구간, ,0.38,쉬움,7,5, , , , , ,2016-12-31,478500601
33,7768,471900101,금오산,숭오리구간, ,0.16,쉬움,3,2, , , , , ,2016-12-31,478500601
34,7769,471900101,금오산, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,2704390100
35,7770,471900101,금오산,인평리구간, ,2.55,쉬움,45,32, , , , , ,2016-12-31,2704390100
36,7771,471900101,금오산,숭오리구간, ,0.06,중간,1,1, , , , , ,2016-12-31,2704390100
37,7772,471900101,금오산, , ,1.24,쉬움,22,15, , , , , ,2016-12-31,2704390100
38,7773,471900101,금오산, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,2704390100
39,7774,471900101,금오산, , ,0.36,쉬움,6,4, , , , , ,2016-12-31,2704390100
40,7775,471900101,금오산,숭오리구간, ,0.09,쉬움,2,1, , , , , ,2016-12-31,2704390100
41,7776,471900101,금오산, , ,1.39,쉬움,25,17, , , , , ,2016-12-31,2704390100
42,7777,471900101,금오산, , ,0.25,쉬움,4,3, , , , , ,2016-12-31,2704390100
43,7778,471900101,금오산,숭오리구간, ,0.88,쉬움,16,11, , , , , ,2016-12-31,2704390100
44,7779,471900101,금오산,남통동구간, ,0.08,쉬움,1,1, , , , , ,2016-12-31,2704390100
45,7780,471900101,금오산, , ,1.54,쉬움,27,19, , , , , ,2016-12-31,2704390100
46,7781,471900101,금오산, , ,0.22,쉬움,4,3, , , , , ,2016-12-31,2704390100
47,7782,471900101,금오산, , ,0.5,쉬움,9,6, , , , , ,2016-12-31,2704390100
48,7783,471900101,금오산, , ,0.76,쉬움,13,9, , , , , ,2016-12-31,2704390100
49,7784,471900101,금오산,숭오리구간, ,0.18,쉬움,3,2, , , , , ,2016-12-31,2704390100
50,7785,471900101,금오산, , ,0.18,쉬움,3,2, , , , , ,2016-12-31,2704390100
51,7786,471900101,금오산, , ,0.2,쉬움,4,2, , , , , ,2016-12-31,2704390100
52,7787,471900101,금오산,숭오리구간, ,0.93,쉬움,16,11, , , , , ,2016-12-31,2704390100
53,7788,471900101,금오산, , ,0.05,쉬움,1,1, , , , , ,2016-12-31,2704390100
54,7789,471900101,금오산, , ,0.53,쉬움,9,7, , , , , ,2016-12-31,2704390100
55,7790,471900101,금오산, , ,0.34,쉬움,6,4, , , , , ,2016-12-31,2704390100
56,7791,471900101,금오산,숭오리구간, ,0.29,쉬움,5,4, , , , , ,2016-12-31,2704390100
57,7792,471900101,금오산, , ,0.28,쉬움,5,3, , , , , ,2016-12-31,2704390100
58,7793,471900101,금오산, , ,2.72,쉬움,48,34, , , , , ,2016-12-31,2704390100
59,7794,471900101,금오산,숭오리구간, ,0.46,쉬움,8,6, , , , , ,2016-12-31,2704390100
60,7795,471900101,금오산, , ,0.22,쉬움,4,3, , , , , ,2016-12-31,2704390100
61,7796,471900101,금오산, , ,0.08,쉬움,1,1, , , , , ,2016-12-31,2704390100
