FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,9125,427201001,나산, , ,1.14,쉬움,20,14, , ,Y, , ,2016-12-31,2216070700
1,9126,427201001,나산, , ,2.35,쉬움,41,29, , ,Y, , ,2016-12-31,2216070700
2,9127,427201001,나산,위곡리구간, ,1.44,쉬움,36,25, , ,Y, , ,2016-12-31,2216070700
3,9128,427201001,나산, , ,0.81,쉬움,14,10, , ,Y, , ,2016-12-31,2216070700
4,9129,427201001,나산,동막리구간, ,4.02,쉬움,71,50, , ,Y, , ,2016-12-31,2216070700
5,9130,427201001,나산, , ,1.7,쉬움,30,21, , ,Y, , ,2016-12-31,2216070700
6,9131,427201001,나산, , ,1.29,쉬움,23,16, , ,Y, , ,2016-12-31,2216070700
7,9132,427201001,나산, , ,0.73,쉬움,13,9, , ,Y, , ,2016-12-31,2216070700
8,9133,427201001,나산,위곡리구간, ,0.42,쉬움,7,5, , ,Y, , ,2016-12-31,2216070700
9,9134,427201001,나산, , ,0.1,쉬움,2,1, , ,Y, , ,2016-12-31,2216070700
10,9135,427201001,나산, , ,0.47,쉬움,8,6, , ,Y, , ,2016-12-31,2216070700
11,9136,427201001,나산, , ,0.12,쉬움,2,1, , ,Y, , ,2016-12-31,2216070700
12,9137,427201001,나산, , ,0.37,쉬움,7,5, , ,Y, , ,2016-12-31,2216070700
13,9138,427201001,나산, , ,2.1,쉬움,37,26, , , , , ,2016-12-31,2216070700
14,9139,427201001,나산,위곡리구간, ,0.36,쉬움,6,4, , , , , ,2016-12-31,2216070700
