FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,9835,427605504,남산산림욕장, , ,2.23,쉬움,39,28, , , , , ,2016-12-31,427600701
1,9836,427605504,남산산림욕장,종부리구간, ,0.15,쉬움,3,2, , , , , ,2016-12-31,427600701
2,9837,427605504,남산산림욕장, , ,0.09,쉬움,2,1, , , , , ,2016-12-31,427600701
3,9838,427605504,남산산림욕장, , ,0.22,쉬움,4,3, , , , , ,2016-12-31,427600701
4,9839,427605504,남산산림욕장, , ,0.15,쉬움,3,2, , , , , ,2016-12-31,427600701
5,9840,427605504,남산산림욕장, , ,0.57,쉬움,10,7, , , , , ,2016-12-31,427600701
6,9841,427605504,남산산림욕장, , ,0.52,쉬움,9,6, , , , , ,2016-12-31,427600701
7,9842,427605504,남산산림욕장, , ,0.1,쉬움,2,1, , , , , ,2016-12-31,427600701
8,9843,427605504,남산산림욕장, , ,0.3,쉬움,5,4, , , , , ,2016-12-31,427600701
9,9844,427605504,남산산림욕장,종부리구간, ,0.09,쉬움,2,1, , , , , ,2016-12-31,427600701
