FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,9858,451904104,남원중뒷산,산곡동구간, ,0.16,쉬움,3,2, , , , , ,2016-12-31,451904104
1,9859,451904104,남원중뒷산,산곡동구간, ,0.22,쉬움,4,3, , , , , ,2016-12-31,451904104
2,9860,451904104,남원중뒷산,산곡동구간, ,0.18,쉬움,3,2, , , , , ,2016-12-31,451904104
3,9861,451904104,남원중뒷산,산곡동구간, ,0.01,쉬움,1,0, , , , , ,2016-12-31,451904104
4,9862,451904104,남원중뒷산,산곡동구간, ,0.45,쉬움,8,6, , , , , ,2016-12-31,451904104
5,9863,451904104,남원중뒷산,용정동구간, ,0.18,쉬움,3,2, , , , , ,2016-12-31,451904104
6,9864,451904104,남원중뒷산,용정동구간, ,0.13,쉬움,2,2, , , , , ,2016-12-31,451904104
7,9865,451904104,남원중뒷산,산곡동구간, ,0.25,쉬움,4,3, , , , , ,2016-12-31,451904104
8,9866,451904104,남원중뒷산,용정동구간, ,0.25,쉬움,4,3, , , , , ,2016-12-31,451904104
9,9867,451904104,남원중뒷산,산곡동구간, ,0.21,쉬움,4,3, , , , , ,2016-12-31,451904104
10,9868,451904104,남원중뒷산,향교동구간, ,0.18,쉬움,3,2, , , , , ,2016-12-31,451904104
11,9869,451904104,남원중뒷산,향교동구간, ,0.02,쉬움,1,0, , , , , ,2016-12-31,451904104
12,9870,451904104,남원중뒷산,향교동구간, ,0.23,쉬움,4,3, , , , , ,2016-12-31,451904104
13,9871,451904104,남원중뒷산,향교동구간, ,0.2,쉬움,4,2, , , , , ,2016-12-31,451904104
14,9872,451904104,남원중뒷산,향교동구간, ,0.29,쉬움,5,4, , , , , ,2016-12-31,451904104
15,9873,451904104,남원중뒷산,향교동구간, ,0.22,쉬움,4,3, , , , , ,2016-12-31,451904104
16,9874,451904104,남원중뒷산,향교동구간, ,0.17,쉬움,3,2, , , , , ,2016-12-31,451904104
17,9875,451904104,남원중뒷산,향교동구간, ,0.11,쉬움,2,1, , , , , ,2016-12-31,451904104
18,9876,451904104,남원중뒷산,향교동구간, ,0.15,쉬움,3,2, , , , , ,2016-12-31,451904104
19,9877,451904104,남원중뒷산,향교동구간, ,0.1,쉬움,2,1, , , , , ,2016-12-31,451904104
20,9878,451904104,남원중뒷산,향교동구간, ,0.39,쉬움,7,5, , , , , ,2016-12-31,451904104
21,9879,451904104,남원중뒷산,용정동구간, ,0.18,쉬움,3,2, , , , , ,2016-12-31,451904104
22,9880,451904104,남원중뒷산,용정동구간, ,0.41,쉬움,7,5, , , , , ,2016-12-31,451904104
23,9881,451904104,남원중뒷산,용정동구간, ,0.04,쉬움,1,0, , , , , ,2016-12-31,451904104
24,9882,451904104,남원중뒷산,향교동구간, ,0.81,쉬움,14,10, , , , , ,2016-12-31,451904104
25,9883,451904104,남원중뒷산,향교동구간, ,0.94,쉬움,17,12, , , , , ,2016-12-31,451904104
26,9884,451904104,남원중뒷산,용정동구간, ,0.28,쉬움,5,3, , , , , ,2016-12-31,451904104
27,9885,451904104,남원중뒷산,향교동구간, ,0.09,쉬움,2,1, , , , , ,2016-12-31,451904104
28,9886,451904104,남원중뒷산,향교동구간, ,0.19,쉬움,3,2, , , , , ,2016-12-31,451904104
29,9887,451904104,남원중뒷산,향교동구간, ,0.05,쉬움,1,1, , , , , ,2016-12-31,451904104
30,9888,451904104,남원중뒷산,향교동구간, ,0.07,쉬움,1,1, , , , , ,2016-12-31,451904104
31,9889,451904104,남원중뒷산,향교동구간, ,0.08,쉬움,1,1, , , , , ,2016-12-31,451904104
32,9890,451904104,남원중뒷산,향교동구간, ,0.12,쉬움,2,1, , , , , ,2016-12-31,451904104
33,9891,451904104,남원중뒷산,향교동구간, ,0.54,쉬움,10,7, , , , , ,2016-12-31,451904104
34,9892,451904104,남원중뒷산,향교동구간, ,0.08,쉬움,1,1, , , , , ,2016-12-31,451904104
