FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,10162,412800301,노고산,지축동구간, ,0.58,쉬움,10,7, , , , , ,2016-12-31,412810201
1,10163,412800301,노고산,오금동구간, ,0.58,쉬움,10,7, , , , , ,2016-12-31,412810201
2,10164,412800301,노고산,오금동구간, ,0.73,쉬움,13,9, , , , , ,2016-12-31,412810201
3,10165,412800301,노고산,지축동구간, ,3.19,쉬움,56,39, , , , , ,2016-12-31,412810201
4,10166,412800301,노고산, , ,2.84,쉬움,50,35, , , , , ,2016-12-31,2102320200
5,10167,412800301,노고산,삼하리구간, ,0.68,쉬움,12,8, , , , , ,2016-12-31,2102320200
6,10168,412800301,노고산, , ,0.73,쉬움,13,9, , , , , ,2016-12-31,2102320200
7,10169,412800301,노고산,삼하리구간, ,0.59,쉬움,10,7, , , , , ,2016-12-31,2102320200
8,10170,412800301,노고산, , ,0.65,쉬움,11,8, , , , , ,2016-12-31,2102320200
9,10171,412800301,노고산, , ,0.69,쉬움,12,9, , , , , ,2016-12-31,2102320200
10,10172,412800301,노고산,삼하리구간, ,0.27,쉬움,5,3, , , , , ,2016-12-31,2102320200
