FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,10935,421508604,대공산성,보광리구간, ,1.53,쉬움,27,19, , , , , ,2016-12-31,421508604
1,10936,421508604,대공산성,사기막리구간, ,1.29,쉬움,23,16, , , , , ,2016-12-31,421508604
2,10937,421508604,대공산성,사기막리구간, ,0.31,쉬움,5,4, , , , , ,2016-12-31,421508604
3,10938,421508604,대공산성,사기막리구간, ,2.58,쉬움,46,32, , , , , ,2016-12-31,421508604
4,10939,421508604,대공산성,사기막리구간, ,1.89,쉬움,33,23, , , , , ,2016-12-31,421508604
5,10940,421508604,대공산성,보광리구간, ,0.73,쉬움,13,9, , , , , ,2016-12-31,421508604
6,10941,421508604,대공산성,보광리구간, ,2.0,쉬움,38,26, , , , , ,2016-12-31,421508604
7,10942,421508604,대공산성,보광리구간, ,0.58,쉬움,10,7, , , , , ,2016-12-31,421508604
8,10943,421508604,대공산성,보광리구간, ,0.55,쉬움,10,7, , , , , ,2016-12-31,421508604
9,10944,421508604,대공산성,보광리구간, ,0.16,쉬움,3,2, , , , , ,2016-12-31,421508604
10,10945,421508604,대공산성,보광리구간, ,0.38,쉬움,7,5, , , , , ,2016-12-31,421508604
11,10946,421508604,대공산성,보광리구간, ,2.04,쉬움,36,25, , , , , ,2016-12-31,421508604
12,10947,421508604,대공산성,보광리구간, ,1.44,쉬움,25,18, , , , , ,2016-12-31,421508604
13,10948,421508604,대공산성,보광리구간, ,0.2,쉬움,4,2, , , , , ,2016-12-31,421508604
