FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,11270,442300901,대명산,안천리구간, ,0.29,쉬움,5,4, , , , , ,2016-12-31,2404130900
1,11271,442300901,대명산,안천리구간, ,0.52,쉬움,9,6, , , , , ,2016-12-31,2404130900
2,11272,442300901,대명산,감곡리구간, ,0.85,쉬움,16,11, , , , , ,2016-12-31,2404130900
3,11273,442300901,대명산,안천리구간, ,0.56,쉬움,10,7, , , , , ,2016-12-31,2404130900
4,11274,442300901,대명산, , ,0.19,쉬움,3,2, , , , , ,2016-12-31,2404130900
5,11275,442300901,대명산, , ,0.17,쉬움,3,2, , , , , ,2016-12-31,2404130900
6,11276,442300901,대명산, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,2404130900
7,11277,442300901,대명산, , ,0.19,쉬움,3,2, , , , , ,2016-12-31,2404130900
8,11278,442300901,대명산, , ,0.0,쉬움,1,0, , , , , ,2016-12-31,2404130900
9,11279,442300901,대명산,딸기농원구간, ,0.64,쉬움,11,8, , , , , ,2016-12-31,2404130900
10,11280,442300901,대명산,안천리구간, ,0.28,쉬움,5,3, , , , , ,2016-12-31,2404130900
