FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,11415,301103901,대별동산,대별동구간, ,0.45,쉬움,8,6, , , , , ,2016-12-31,301103901
1,11416,301103901,대별동산,대별동구간, ,0.1,쉬움,2,1, , , , , ,2016-12-31,301103901
2,11417,301103901,대별동산,대별동구간, ,0.31,쉬움,5,4, , , , , ,2016-12-31,301103901
3,11418,301103901,대별동산,대별동구간, ,0.15,쉬움,3,2, , , , , ,2016-12-31,301103901
4,11419,301103901,대별동산,대별동구간, ,0.15,쉬움,3,2, , , , , ,2016-12-31,301103901
5,11420,301103901,대별동산,대별동구간, ,0.25,쉬움,4,3, , , , , ,2016-12-31,301103901
6,11421,301103901,대별동산,대별동구간, ,0.04,쉬움,1,0, , , , , ,2016-12-31,301103901
7,11422,301103901,대별동산,대별동구간, ,0.19,쉬움,3,2, , , , , ,2016-12-31,301103901
8,11423,301103901,대별동산,대별동구간, ,0.19,쉬움,3,2, , , , , ,2016-12-31,301103901
9,11424,301103901,대별동산,대별동구간, ,0.18,쉬움,3,2, , , , , ,2016-12-31,301103901
