FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,11952,412801401,대자산,대자안말길입구-등산로구간, ,0.8,쉬움,14,10,토사, , , , ,2016-12-31,412801401
1,11953,412801401,대자산,통일로휴게소통일옥입구-부로농원입구구간, ,0.38,쉬움,7,5,토사, , , , ,2016-12-31,412801401
2,11954,412801401,대자산,대자안말길입구-등산로구간, ,0.29,쉬움,5,4,토사, , , , ,2016-12-31,412801401
3,11955,412801401,대자산,대자안말길입구-등산로구간, ,0.11,쉬움,2,1,토사, , , , ,2016-12-31,412801401
4,11956,412801401,대자산,대자동구간, ,0.03,쉬움,1,0,토사, , , , ,2016-12-31,412801401
5,11957,412801401,대자산,통일로휴게소통일옥입구-부로농원입구구간, ,0.34,쉬움,6,4,토사, , , , ,2016-12-31,412801401
6,11958,412801401,대자산,통일로휴게소통일옥입구-부로농원입구구간, ,0.08,쉬움,1,1,토사, , , , ,2016-12-31,412801401
7,11959,412801401,대자산,대자동구간, ,0.47,쉬움,8,6,토사, , , , ,2016-12-31,412801401
8,11960,412801401,대자산,통일로휴게소통일옥입구-부로농원입구구간, ,0.42,쉬움,7,5,토사, , , , ,2016-12-31,412801401
9,11961,412801401,대자산,대자동구간, ,0.23,쉬움,4,3,토사, , , , ,2016-12-31,412801401
10,11962,412801401,대자산,대자동구간, ,0.12,쉬움,2,1,토사, , , , ,2016-12-31,412801401
11,11963,412801401,대자산,통일로휴게소통일옥입구-부로농원입구구간, ,0.3,쉬움,5,4,토사, , , , ,2016-12-31,412801401
12,11964,412801401,대자산,어수정낚시터입구구간, ,0.44,쉬움,8,5,토사, , , , ,2016-12-31,412801401
13,11965,412801401,대자산,대자동구간, ,0.2,쉬움,4,2,토사, , , , ,2016-12-31,412801401
14,11966,412801401,대자산,통일로휴게소통일옥입구-부로농원입구구간, ,0.15,쉬움,3,2,토사, , , , ,2016-12-31,412801401
15,11967,412801401,대자산,성암좌측길-대자조절지분기점구간, ,0.23,쉬움,4,3,토사, , , , ,2016-12-31,412801401
16,11968,412801401,대자산,대자동구간, ,0.08,쉬움,1,1,토사, , , , ,2016-12-31,412801401
17,11969,412801401,대자산,한성농축원입구구간, ,0.56,쉬움,10,7,토사, , , , ,2016-12-31,412801401
18,11970,412801401,대자산,칠성암좌측길-대자조절지분기점구간, ,0.04,중간,1,0,토사, , , , ,2016-12-31,412801401
19,11971,412801401,대자산,대자동길 도로입구구간, ,0.9,쉬움,16,11,토사, , , , ,2016-12-31,412801401
20,11972,412801401,대자산,대자안말길입구-등산로구간, ,1.28,쉬움,23,16,토사, , , , ,2016-12-31,412801401
21,11973,412801401,대자산,대자동구간, ,0.21,쉬움,4,3,토사, , , , ,2016-12-31,412801401
22,11974,412801401,대자산,통일로휴게소통일옥입구-부로농원입구구간, ,0.48,쉬움,8,6,토사, , , , ,2016-12-31,412801401
23,11975,412801401,대자산,대자동구간, ,0.23,쉬움,4,3,토사, , , , ,2016-12-31,412801401
24,11976,412801401,대자산,통일로휴게소통일옥입구-부로농원입구구간, ,0.12,쉬움,2,1,토사, , , , ,2016-12-31,412801401
25,11977,412801401,대자산,통일로휴게소통일옥입구-부로농원입구구간, ,0.89,쉬움,16,11,토사, , , , ,2016-12-31,412801401
