FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,12204,468100501,덕룡산, , ,0.48,쉬움,8,6, , , , , ,2016-12-31,2601040500
1,12205,468100501,덕룡산, , ,1.86,쉬움,33,23, , , , , ,2016-12-31,2601040500
2,12206,468100501,덕룡산, , ,0.73,쉬움,13,9, , , , , ,2016-12-31,2601040500
3,12207,468100501,덕룡산, , ,1.9,쉬움,34,23, , , , , ,2016-12-31,2601040500
4,12208,468100501,덕룡산,석문리구간, ,0.72,쉬움,13,9, , , , , ,2016-12-31,2601040500
5,12209,468100501,덕룡산,수양리구간, ,1.53,쉬움,27,19, , , , , ,2016-12-31,2601040500
6,12210,468100501,덕룡산, , ,0.28,쉬움,5,3, , , , , ,2016-12-31,2601040500
7,12211,468100501,덕룡산,석문리구간, ,2.4,쉬움,90,63, , , , , ,2016-12-31,2601040500
8,12212,468100501,덕룡산,수양리구간, ,1.37,쉬움,41,29, , , , , ,2016-12-31,2601040500
9,12213,468100501,덕룡산, , ,0.67,쉬움,12,8, , , , , ,2016-12-31,2601040500
10,12214,468100501,덕룡산,수양리구간, ,1.03,쉬움,18,13, , , , , ,2016-12-31,2601040500
11,12215,468100501,덕룡산, , ,0.21,쉬움,4,3, , , , , ,2016-12-31,2601040500
12,12216,468100501,덕룡산,수양리구간, ,1.23,쉬움,22,15, , , , , ,2016-12-31,2601040500
13,12217,468100501,덕룡산, , ,0.38,쉬움,7,5, , , , , ,2016-12-31,2601040500
14,12218,468100501,덕룡산, , ,0.19,쉬움,3,2, , , , , ,2016-12-31,2601040500
15,12219,468100501,덕룡산,수양리구간, ,1.7,쉬움,36,26, , , , , ,2016-12-31,2601040500
16,12220,468100501,덕룡산, , ,0.52,쉬움,9,6, , , , , ,2016-12-31,2601040500
17,12221,468100501,덕룡산,운전리구간, ,4.38,쉬움,110,77, , , , , ,2016-12-31,2601040500
18,12222,468100501,덕룡산,수양리구간, ,2.34,쉬움,41,29, , , , , ,2016-12-31,2601040500
