FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,12234,448100201,덕봉산,수철리구간, ,0.06,쉬움,1,1,사양토, , ,하산시 급경사 주의, ,2016-12-31,448100201
1,12235,448100201,덕봉산,간양리구간, ,2.32,쉬움,41,29,사양토, , ,하산시 급경사 주의, ,2016-12-31,448100201
2,12236,448100201,덕봉산,간양리구간, ,1.12,쉬움,20,14,사양토, , ,하산시 급경사 주의, ,2016-12-31,448100201
3,12237,448100201,덕봉산,간양리구간, ,0.45,쉬움,8,6,사양토, , ,하산시 급경사 주의, ,2016-12-31,448100201
4,12238,448100201,덕봉산,수철리구간, ,0.14,쉬움,2,2,사양토, , ,하산시 급경사 주의, ,2016-12-31,448100201
5,12239,448100201,덕봉산,수철리구간, ,0.09,쉬움,2,1,사양토, , ,하산시 급경사 주의, ,2016-12-31,448100201
6,12240,448100201,덕봉산,수철리구간, ,0.62,쉬움,11,8,사양토, , ,하산시 급경사 주의, ,2016-12-31,448100201
7,12241,448100201,덕봉산,간양리구간, ,2.49,쉬움,44,31,사양토, , ,하산시 급경사 주의, ,2016-12-31,448100201
8,12242,448100201,덕봉산,수철리구간, ,0.81,쉬움,14,10,사양토, , ,하산시 급경사 주의, ,2016-12-31,448100201
9,12243,448100201,덕봉산,간양리구간, ,0.15,쉬움,3,2,사양토, , ,하산시 급경사 주의, ,2016-12-31,448100201
10,12244,448100201,덕봉산,간양리구간, ,0.71,쉬움,13,9,사양토, , ,하산시 급경사 주의, ,2016-12-31,448100201
11,12245,448100201,덕봉산,간양리구간, ,0.09,쉬움,2,1,사양토, , ,하산시 급경사 주의, ,2016-12-31,448100201
12,12246,448100201,덕봉산,수철리구간, ,0.07,중간,1,1,사양토, , ,하산시 급경사 주의, ,2016-12-31,448100201
