FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,12502,412200501,덕지산,어소리구간, ,0.32,쉬움,6,4, , , , , ,2016-12-31,2141280400
1,12503,412200501,덕지산,어소리구간, ,0.27,쉬움,5,3, , , , , ,2016-12-31,2141280400
2,12504,412200501,덕지산, , ,0.24,쉬움,4,3, , , , , ,2016-12-31,2141280400
3,12505,412200501,덕지산,요당리구간, ,0.36,쉬움,6,4, , , , , ,2016-12-31,2141280400
4,12506,412200501,덕지산,어소리구간, ,0.11,쉬움,2,1, , , , , ,2016-12-31,2141280400
5,12507,412200501,덕지산, , ,0.75,쉬움,13,9, , , , , ,2016-12-31,2141280400
6,12508,412200501,덕지산, , ,0.15,쉬움,3,2, , , , , ,2016-12-31,2141280400
7,12509,412200501,덕지산, , ,0.21,쉬움,4,3, , , , , ,2016-12-31,2141280400
8,12510,412200501,덕지산, , ,0.24,쉬움,4,3, , , , , ,2016-12-31,2141280400
9,12511,412200501,덕지산,고렴리구간, ,0.29,쉬움,5,4, , , , , ,2016-12-31,2141280400
10,12512,412200501,덕지산, , ,0.19,쉬움,3,2, , , , , ,2016-12-31,2141280400
11,12513,412200501,덕지산, , ,0.33,쉬움,6,4, , , , , ,2016-12-31,2141280400
12,12514,412200501,덕지산, , ,0.53,쉬움,9,7, , , , , ,2016-12-31,2141280400
13,12515,412200501,덕지산, , ,0.12,쉬움,2,1, , , , , ,2016-12-31,2141280400
14,12516,412200501,덕지산,고렴리구간, ,0.51,쉬움,9,6, , , , , ,2016-12-31,2141280400
15,12517,412200501,덕지산, , ,0.44,쉬움,8,5, , , , , ,2016-12-31,2141280400
16,12518,412200501,덕지산,현곡리구간, ,2.59,쉬움,46,32, , , , , ,2016-12-31,2141280400
17,12519,412200501,덕지산, , ,0.23,쉬움,4,3, , , , , ,2016-12-31,2141280400
18,12520,412200501,덕지산, , ,0.68,쉬움,12,8, , , , , ,2016-12-31,2141280400
19,12521,412200501,덕지산, , ,1.06,쉬움,19,13, , , , , ,2016-12-31,2141280400
20,12522,412200501,덕지산,어소리구간, ,0.7,쉬움,12,9, , , , , ,2016-12-31,2141280400
