FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,12626,412100301,도덕산,노온사동구간, ,0.41,쉬움,7,5, , , , , ,2016-12-31,412100301
1,12627,412100301,도덕산,하안동구간, ,0.17,쉬움,3,2, , , , , ,2016-12-31,412100301
2,12628,412100301,도덕산, , ,0.12,쉬움,2,1, , , , , ,2016-12-31,412100301
3,12629,412100301,도덕산, , ,0.03,쉬움,1,0, , , , , ,2016-12-31,412100301
4,12630,412100301,도덕산,노온사동구간, ,0.42,쉬움,7,5, , , , , ,2016-12-31,412100301
5,12631,412100301,도덕산, , ,0.17,쉬움,3,2, , , , , ,2016-12-31,412100301
6,12632,412100301,도덕산, , ,0.01,쉬움,1,0, , , , , ,2016-12-31,412100301
7,12633,412100301,도덕산, , ,0.1,쉬움,2,1, , , , , ,2016-12-31,412100301
8,12634,412100301,도덕산, , ,0.09,쉬움,2,1, , , , , ,2016-12-31,412100301
9,12635,412100301,도덕산,하안동구간, ,0.09,쉬움,2,1, , , , , ,2016-12-31,412100301
10,12636,412100301,도덕산,하안동구간, ,0.06,쉬움,1,1, , , , , ,2016-12-31,412100301
11,12637,412100301,도덕산, , ,0.11,쉬움,2,1, , , , , ,2016-12-31,412100301
12,12638,412100301,도덕산, , ,0.13,쉬움,2,2, , , , , ,2016-12-31,412100301
13,12639,412100301,도덕산, , ,0.21,쉬움,4,3, , , , , ,2016-12-31,412100301
14,12640,412100301,도덕산, , ,0.11,쉬움,2,1, , , , , ,2016-12-31,412100301
15,12641,412100301,도덕산, , ,0.21,쉬움,4,3, , , , , ,2016-12-31,412100301
16,12642,412100301,도덕산, , ,0.23,쉬움,4,3, , , , , ,2016-12-31,412100301
17,12643,412100301,도덕산,광명동구간, ,0.33,쉬움,6,4, , , , , ,2016-12-31,412100301
18,12644,412100301,도덕산,하안동구간, ,0.22,쉬움,4,3, , , , , ,2016-12-31,412100301
19,12645,412100301,도덕산, , ,0.01,쉬움,1,0, , , , , ,2016-12-31,412100301
20,12646,412100301,도덕산, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,412100301
21,12647,412100301,도덕산, , ,0.01,쉬움,1,0, , , , , ,2016-12-31,412100301
22,12648,412100301,도덕산, , ,0.05,쉬움,1,1, , , , , ,2016-12-31,412100301
23,12649,412100301,도덕산, , ,0.17,쉬움,3,2, , , , , ,2016-12-31,412100301
24,12650,412100301,도덕산, , ,0.1,쉬움,2,1, , , , , ,2016-12-31,412100301
25,12651,412100301,도덕산, , ,0.1,쉬움,2,1, , , , , ,2016-12-31,412100301
26,12652,412100301,도덕산, , ,0.12,쉬움,2,1, , , , , ,2016-12-31,412100301
27,12653,412100301,도덕산, , ,0.12,쉬움,2,1, , , , , ,2016-12-31,412100301
28,12654,412100301,도덕산, , ,0.24,쉬움,4,3, , , , , ,2016-12-31,412100301
29,12655,412100301,도덕산, , ,0.17,쉬움,3,2, , , , , ,2016-12-31,412100301
30,12656,412100301,도덕산, , ,0.13,쉬움,2,2, , , , , ,2016-12-31,412100301
31,12657,412100301,도덕산, , ,0.15,쉬움,3,2, , , , , ,2016-12-31,412100301
