FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,13726,477701201,동대산, , ,0.48,쉬움,8,6, , , , , ,2016-12-31,471130401
1,13727,477701201,동대산,하옥리구간, ,0.72,쉬움,13,9, , , , , ,2016-12-31,471130401
2,13728,477701201,동대산, , ,0.71,쉬움,13,9, , , , , ,2016-12-31,471130401
3,13729,477701201,동대산, , ,0.7,쉬움,12,9, , , , , ,2016-12-31,471130401
4,13730,477701201,동대산, , ,1.06,쉬움,19,13, , , , , ,2016-12-31,471130401
5,13731,477701201,동대산, , ,0.09,쉬움,2,1, , , , , ,2016-12-31,471130401
6,13732,477701201,동대산, , ,0.21,쉬움,4,3, , , , , ,2016-12-31,471130401
7,13733,477701201,동대산,하옥리구간, ,1.33,쉬움,23,16, , , , , ,2016-12-31,471130401
8,13734,477701201,동대산, , ,0.74,쉬움,13,9, , , , , ,2016-12-31,471130401
9,13735,477701201,동대산, , ,0.17,쉬움,3,2, , , , , ,2016-12-31,471130401
10,13736,477701201,동대산,하옥리구간, ,0.07,쉬움,1,1, , , , , ,2016-12-31,471130401
11,13737,477701201,동대산, , ,1.12,쉬움,20,14, , , , , ,2016-12-31,471130401
12,13738,477701201,동대산, , ,1.18,쉬움,21,15, , , , , ,2016-12-31,471130401
13,13739,477701201,동대산, , ,0.03,쉬움,1,0, , , , , ,2016-12-31,471130401
14,13740,477701201,동대산, , ,0.15,쉬움,3,2, , , , , ,2016-12-31,471130401
15,13741,477701201,동대산, , ,2.27,쉬움,40,28, , , , , ,2016-12-31,471130401
16,13742,477701201,동대산, , ,0.21,쉬움,4,3, , , , , ,2016-12-31,471130401
17,13743,477701201,동대산, , ,0.43,쉬움,8,5, , , , , ,2016-12-31,471130401
18,13744,477701201,동대산, , ,0.93,쉬움,16,11, , , , , ,2016-12-31,471130401
19,13745,477701201,동대산, , ,0.6,쉬움,11,7, , , , , ,2016-12-31,471130401
20,13746,477701201,동대산, , ,0.76,쉬움,13,9, , , , , ,2016-12-31,471130401
21,13747,477701201,동대산, , ,1.09,쉬움,19,13, , , , , ,2016-12-31,471130401
22,13748,477701201,동대산, , ,1.2,쉬움,21,15, , , , , ,2016-12-31,471130401
23,13749,477701201,동대산, , ,0.4,쉬움,7,5, , , , , ,2016-12-31,471130401
24,13750,477701201,동대산, , ,0.8,쉬움,14,10, , , , , ,2016-12-31,471130401
25,13751,477701201,동대산, , ,0.47,쉬움,8,6, , , , , ,2016-12-31,471130401
26,13752,477701201,동대산, , ,0.52,쉬움,9,6, , , , , ,2016-12-31,471130401
27,13753,477701201,동대산,하옥리구간, ,2.11,쉬움,40,28, , , , , ,2016-12-31,471130401
28,13754,477701201,동대산, , ,0.38,쉬움,7,5, , , , , ,2016-12-31,471130401
29,13755,477701201,동대산, , ,1.13,쉬움,20,14, , , , , ,2016-12-31,471130401
30,13756,477701201,동대산,하옥리구간, ,1.38,중간,52,36, , , , , ,2016-12-31,471130401
31,13757,477701201,동대산,하옥리구간, ,2.31,쉬움,87,61, , , , , ,2016-12-31,471130401
32,13758,477701201,동대산, , ,0.37,쉬움,7,5, , , , , ,2016-12-31,471130401
33,13759,477701201,동대산, , ,0.11,쉬움,2,1, , , , , ,2016-12-31,471130401
34,13760,477701201,동대산, , ,0.22,쉬움,4,3, , , , , ,2016-12-31,471130401
35,13761,477701201,동대산, , ,0.15,쉬움,3,2, , , , , ,2016-12-31,471130401
36,13762,477701201,동대산, , ,0.88,쉬움,16,11, , , , , ,2016-12-31,471130401
37,13763,477701201,동대산, , ,1.22,쉬움,22,15, , , , , ,2016-12-31,471130401
38,13764,477701201,동대산, , ,0.05,쉬움,1,1, , , , , ,2016-12-31,471130401
39,13765,477701201,동대산,하옥리구간, ,1.6,쉬움,28,20, , , , , ,2016-12-31,471130401
40,13766,477701201,동대산, , ,0.12,쉬움,2,1, , , , , ,2016-12-31,471130401
41,13767,477701201,동대산, , ,0.91,쉬움,16,11, , , , , ,2016-12-31,471130401
42,13768,477701201,동대산, , ,1.69,쉬움,30,21, , , , , ,2016-12-31,471130401
43,13769,477701201,동대산, , ,0.25,쉬움,4,3, , , , , ,2016-12-31,471130401
44,13770,477701201,동대산, , ,1.21,쉬움,21,15, , , , , ,2016-12-31,471130401
45,13771,477701201,동대산,회리구간, ,0.23,쉬움,4,3, , , , , ,2016-12-31,477701201
46,13772,477701201,동대산,회리구간, ,0.1,쉬움,2,1, , , , , ,2016-12-31,477701201
47,13773,477701201,동대산, , ,0.42,쉬움,7,5, , , , , ,2016-12-31,477701201
48,13774,477701201,동대산, , ,0.69,쉬움,12,9, , , , , ,2016-12-31,477701201
49,13775,477701201,동대산, , ,0.28,쉬움,5,3, , , , , ,2016-12-31,477701201
50,13776,477701201,동대산, , ,1.66,쉬움,29,21, , , , , ,2016-12-31,477701201
51,13777,477701201,동대산, , ,0.52,쉬움,9,6, , , , , ,2016-12-31,477701201
52,13778,477701201,동대산, , ,0.01,쉬움,1,0, , , , , ,2016-12-31,477701201
53,13779,477701201,동대산, , ,0.26,쉬움,5,3, , , , , ,2016-12-31,477701201
54,13780,477701201,동대산, , ,0.3,쉬움,5,4, , , , , ,2016-12-31,477701201
55,13781,477701201,동대산, , ,0.17,쉬움,3,2, , , , , ,2016-12-31,477701201
56,13782,477701201,동대산,회리구간, ,0.04,쉬움,1,0, , , , , ,2016-12-31,477701201
57,13783,477701201,동대산,회리구간, ,0.13,쉬움,2,2, , , , , ,2016-12-31,477701201
58,13784,477701201,동대산, , ,0.7,쉬움,12,9, , , , , ,2016-12-31,477701201
59,13785,477701201,동대산, , ,0.89,쉬움,16,11, , , , , ,2016-12-31,477701201
60,13786,477701201,동대산, , ,0.74,쉬움,13,9, , , , , ,2016-12-31,477701201
61,13787,477701201,동대산, , ,0.46,쉬움,8,6, , , , , ,2016-12-31,477701201
62,13788,477701201,동대산, , ,0.19,쉬움,3,2, , , , , ,2016-12-31,477701201
63,13789,477701201,동대산,양성리구간, ,0.61,쉬움,11,8, , , , , ,2016-12-31,477701201
64,13790,477701201,동대산, , ,1.17,쉬움,21,14, , , , , ,2016-12-31,477701201
65,13791,477701201,동대산, , ,1.46,쉬움,26,18, , , , , ,2016-12-31,477701201
66,13792,477701201,동대산, , ,0.5,쉬움,9,6, , , , , ,2016-12-31,477701201
67,13793,477701201,동대산, , ,0.36,쉬움,6,4, , , , , ,2016-12-31,477701201
68,13794,477701201,동대산, , ,0.39,쉬움,7,5, , , , , ,2016-12-31,477701201
69,13795,477701201,동대산,양성리구간, ,1.46,쉬움,44,31, , , , , ,2016-12-31,477701201
70,13796,477701201,동대산, , ,0.39,쉬움,7,5, , , , , ,2016-12-31,477701201
71,13797,477701201,동대산, , ,1.22,쉬움,22,15, , , , , ,2016-12-31,477701201
72,13798,477701201,동대산, , ,0.33,쉬움,6,4, , , , , ,2016-12-31,477701201
73,13799,477701201,동대산, , ,0.84,쉬움,15,10, , , , , ,2016-12-31,477701201
74,13800,477701201,동대산, , ,0.3,쉬움,5,4, , , , , ,2016-12-31,477701201
75,13801,477701201,동대산,쟁암리구간, ,1.19,쉬움,21,15, , , , , ,2016-12-31,477701201
76,13802,477701201,동대산, , ,0.95,쉬움,17,12, , , , , ,2016-12-31,477701201
77,13803,477701201,동대산, , ,1.22,쉬움,22,15, , , , , ,2016-12-31,477701201
78,13804,477701201,동대산, , ,0.09,쉬움,2,1, , , , , ,2016-12-31,477701201
79,13805,477701201,동대산, , ,0.11,쉬움,2,1, , , , , ,2016-12-31,477701201
80,13806,477701201,동대산, , ,0.38,쉬움,7,5, , , , , ,2016-12-31,477701201
81,13807,477701201,동대산,쟁암리구간, ,0.45,쉬움,8,6, , , , , ,2016-12-31,477701201
82,13808,477701201,동대산, , ,0.22,쉬움,4,3, , , , , ,2016-12-31,477701201
83,13809,477701201,동대산, , ,0.69,쉬움,12,9, , , , , ,2016-12-31,477701201
84,13810,477701201,동대산, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,477701201
85,13811,477701201,동대산, , ,0.54,쉬움,10,7, , , , , ,2016-12-31,477701201
86,13812,477701201,동대산,쟁암리구간, ,0.83,중간,25,17, , , , , ,2016-12-31,477701201
87,13813,477701201,동대산, , ,0.17,쉬움,3,2, , , , , ,2016-12-31,477701201
88,13814,477701201,동대산,쟁암리구간, ,0.23,쉬움,4,3, , , , , ,2016-12-31,477701201
89,13815,477701201,동대산, , ,0.61,쉬움,11,8, , , , , ,2016-12-31,477701201
90,13816,477701201,동대산, , ,0.36,쉬움,6,4, , , , , ,2016-12-31,477701201
91,13817,477701201,동대산, , ,0.82,쉬움,14,10, , , , , ,2016-12-31,477701201
92,13818,477701201,동대산,쟁암리구간, ,0.18,쉬움,3,2, , , , , ,2016-12-31,477701201
93,13819,477701201,동대산, , ,0.55,쉬움,10,7, , , , , ,2016-12-31,477701201
94,13820,477701201,동대산, , ,0.8,쉬움,14,10, , , , , ,2016-12-31,477701201
95,13821,477701201,동대산,쟁암리구간, ,0.55,쉬움,10,7, , , , , ,2016-12-31,477701201
96,13822,477701201,동대산, , ,0.09,쉬움,2,1, , , , , ,2016-12-31,477701201
97,13823,477701201,동대산, , ,0.6,쉬움,11,7, , , , , ,2016-12-31,477701201
98,13824,477701201,동대산, , ,0.09,쉬움,2,1, , , , , ,2016-12-31,477701201
99,13825,477701201,동대산, , ,0.45,쉬움,8,6, , , , , ,2016-12-31,477701201
100,13826,477701201,동대산, , ,0.79,쉬움,14,10, , , , , ,2016-12-31,477701201
101,13827,477701201,동대산, , ,0.2,쉬움,4,2, , , , , ,2016-12-31,477701201
102,13828,477701201,동대산, , ,0.62,쉬움,11,8, , , , , ,2016-12-31,477701201
103,13829,477701201,동대산, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,477701201
104,13830,477701201,동대산, , ,0.25,쉬움,4,3, , , , , ,2016-12-31,477701201
105,13831,477701201,동대산, , ,0.82,쉬움,14,10, , , , , ,2016-12-31,477701201
106,13832,477701201,동대산, , ,0.21,쉬움,4,3, , , , , ,2016-12-31,477701201
107,13833,477701201,동대산,사암리구간, ,1.23,쉬움,22,15, , , , , ,2016-12-31,477701201
108,13834,477701201,동대산,도천리구간, ,0.05,쉬움,1,1, , , , , ,2016-12-31,477701201
109,13835,477701201,동대산, , ,0.16,쉬움,3,2, , , , , ,2016-12-31,477701201
110,13836,477701201,동대산, , ,0.76,쉬움,13,9, , , , , ,2016-12-31,477701201
111,13837,477701201,동대산,사암리구간, ,0.98,쉬움,17,12, , , , , ,2016-12-31,477701201
112,13838,477701201,동대산,사암리구간, ,1.03,쉬움,39,27, , , , , ,2016-12-31,477701201
