FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,14061,312000201,동화산,무룡동구간, ,2.41,쉬움,60,42, , , , , ,2016-12-31,312000201
1,14062,312000201,동화산,송정동구간, ,1.42,쉬움,25,18, , , , , ,2016-12-31,312000201
2,14063,312000201,동화산,화봉동구간, ,0.24,쉬움,4,3, , , , , ,2016-12-31,312000201
3,14064,312000201,동화산,화봉동구간, ,0.29,쉬움,5,4, , , , , ,2016-12-31,312000201
4,14065,312000201,동화산,신현동구간, ,2.17,쉬움,38,27, , , , , ,2016-12-31,312000201
5,14066,312000201,동화산,연암동구간, ,0.06,쉬움,1,1, , , , , ,2016-12-31,312000201
6,14067,312000201,동화산,화봉동구간, ,1.15,쉬움,20,14, , , , , ,2016-12-31,312000201
7,14068,312000201,동화산,화봉동구간, ,1.53,쉬움,27,19, , , , , ,2016-12-31,312000201
8,14069,312000201,동화산,화봉동구간, ,0.71,쉬움,13,9, , , , , ,2016-12-31,312000201
9,14070,312000201,동화산,송정동구간, ,1.48,쉬움,26,18, , , , , ,2016-12-31,312000201
10,14071,312000201,동화산,송정동구간, ,0.7,쉬움,12,9, , , , , ,2016-12-31,312000201
