FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,14816,415904001,마등산, , ,0.13,쉬움,2,2, , , , , ,2016-12-31,2133990600
1,14817,415904001,마등산, , ,0.03,쉬움,1,0, , , , , ,2016-12-31,2133990600
2,14818,415904001,마등산,통삼리구간, ,0.5,쉬움,9,6, , , , , ,2016-12-31,2133990600
3,14819,415904001,마등산, , ,0.93,쉬움,16,11, , , , , ,2016-12-31,2133990600
4,14820,415904001,마등산, , ,0.09,쉬움,2,1, , , , , ,2016-12-31,2133990600
5,14821,415904001,마등산, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,2133990600
6,14822,415904001,마등산, , ,0.03,쉬움,1,0, , , , , ,2016-12-31,2133990600
7,14823,415904001,마등산, , ,0.05,쉬움,1,1, , , , , ,2016-12-31,2133990600
8,14824,415904001,마등산, , ,0.27,쉬움,5,3, , , , , ,2016-12-31,2133990600
9,14825,415904001,마등산, , ,1.43,쉬움,25,18, , , , , ,2016-12-31,2133990600
10,14826,415904001,마등산, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,2133990600
11,14827,415904001,마등산, , ,0.27,쉬움,5,3, , , , , ,2016-12-31,2133990600
12,14828,415904001,마등산, , ,0.11,쉬움,2,1, , , , , ,2016-12-31,2133990600
13,14829,415904001,마등산, , ,0.1,쉬움,2,1, , , , , ,2016-12-31,2133990600
14,14830,415904001,마등산, , ,0.17,쉬움,3,2, , , , , ,2016-12-31,2133990600
15,14831,415904001,마등산, , ,0.15,쉬움,3,2, , , , , ,2016-12-31,2133990600
16,14832,415904001,마등산, , ,0.12,쉬움,2,1, , , , , ,2016-12-31,2133990600
17,14833,415904001,마등산,장지리구간, ,0.28,쉬움,5,3, , , , , ,2016-12-31,2133990600
18,14834,415904001,마등산, , ,0.19,쉬움,3,2, , , , , ,2016-12-31,2133990600
19,14835,415904001,마등산, , ,0.1,쉬움,2,1, , , , , ,2016-12-31,2133990600
20,14836,415904001,마등산, , ,0.11,쉬움,2,1, , , , , ,2016-12-31,2133990600
21,14837,415904001,마등산, , ,0.24,쉬움,4,3, , , , , ,2016-12-31,2133990600
22,14838,415904001,마등산,장지리구간, ,0.14,쉬움,2,2, , , , , ,2016-12-31,2133990600
23,14839,415904001,마등산,장지리구간, ,0.51,쉬움,9,6, , , , , ,2016-12-31,2133990600
24,14840,415904001,마등산, , ,0.27,쉬움,5,3, , , , , ,2016-12-31,2133990600
25,14841,415904001,마등산, , ,0.42,쉬움,7,5, , , , , ,2016-12-31,2133990600
26,14842,415904001,마등산,원동구간, ,0.11,쉬움,2,1, , , , , ,2016-12-31,2133990600
27,14843,415904001,마등산, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,2133990600
28,14844,415904001,마등산,원동구간, ,0.08,쉬움,1,1, , , , , ,2016-12-31,2133990600
29,14845,415904001,마등산, , ,0.18,쉬움,3,2, , , , , ,2016-12-31,2133990600
30,14846,415904001,마등산, , ,0.02,쉬움,1,0, , , , , ,2016-12-31,2133990600
31,14847,415904001,마등산, , ,0.02,쉬움,1,0, , , , , ,2016-12-31,2133990600
32,14848,415904001,마등산, , ,0.02,쉬움,1,0, , , , , ,2016-12-31,2133990600
33,14849,415904001,마등산, , ,0.18,쉬움,3,2, , , , , ,2016-12-31,2133990600
34,14850,415904001,마등산,원동구간, ,0.07,쉬움,1,1, , , , , ,2016-12-31,2133990600
35,14851,415904001,마등산, , ,0.05,쉬움,1,1, , , , , ,2016-12-31,2133990600
36,14852,415904001,마등산, , ,0.02,쉬움,1,0, , , , , ,2016-12-31,2133990600
37,14853,415904001,마등산, , ,0.03,쉬움,1,0, , , , , ,2016-12-31,2133990600
38,14854,415904001,마등산, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,2133990600
39,14855,415904001,마등산, , ,0.05,쉬움,1,1, , , , , ,2016-12-31,2133990600
40,14856,415904001,마등산, , ,0.03,쉬움,1,0, , , , , ,2016-12-31,2133990600
41,14857,415904001,마등산, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,2133990600
42,14858,415904001,마등산, , ,0.01,쉬움,1,0, , , , , ,2016-12-31,2133990600
43,14859,415904001,마등산, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,2133990600
44,14860,415904001,마등산, , ,0.29,쉬움,5,4, , , , , ,2016-12-31,2133990600
45,14861,415904001,마등산, , ,0.02,쉬움,1,0, , , , , ,2016-12-31,2133990600
46,14862,415904001,마등산, , ,0.02,쉬움,1,0, , , , , ,2016-12-31,2133990600
47,14863,415904001,마등산, , ,0.01,쉬움,1,0, , , , , ,2016-12-31,2133990600
48,14864,415904001,마등산, , ,0.08,쉬움,1,1, , , , , ,2016-12-31,2133990600
49,14865,415904001,마등산,원동구간, ,0.35,쉬움,6,4, , , , , ,2016-12-31,2133990600
50,14866,415904001,마등산, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,2133990600
51,14867,415904001,마등산, , ,0.2,쉬움,4,2, , , , , ,2016-12-31,2133990600
