FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,14895,416103001,마락산,초부리구간, ,0.69,쉬움,12,9, , , , , ,2016-12-31,414610801
1,14896,416103001,마락산, , ,1.16,쉬움,20,14, , , , , ,2016-12-31,414610801
2,14897,416103001,마락산,초부리구간, ,0.2,쉬움,4,2, , , , , ,2016-12-31,414610801
3,14898,416103001,마락산,초부리구간, ,0.23,쉬움,4,3, , , , , ,2016-12-31,414610801
4,14899,416103001,마락산,초부리구간, ,0.16,쉬움,3,2, , , , , ,2016-12-31,414610801
5,14900,416103001,마락산, , ,1.41,쉬움,25,17, , , , , ,2016-12-31,414610801
6,14901,416103001,마락산,초부리구간, ,0.16,쉬움,3,2, , , , , ,2016-12-31,414610801
7,14902,416103001,마락산, , ,0.54,쉬움,10,7, , , , , ,2016-12-31,414610801
8,14903,416103001,마락산, , ,0.19,쉬움,3,2, , , , , ,2016-12-31,414610801
9,14904,416103001,마락산,초부리구간, ,0.17,쉬움,3,2, , , , , ,2016-12-31,414610801
10,14905,416103001,마락산,초부리구간, ,0.36,쉬움,6,4, , , , , ,2016-12-31,414610801
11,14906,416103001,마락산,초부리구간, ,1.28,쉬움,24,17, , , , , ,2016-12-31,414610801
