FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,14925,462300601,마로산,용강리구간, ,0.99,쉬움,17,12, , , , , ,2016-12-31,462300601
1,14926,462300601,마로산,용강리구간, ,0.6,쉬움,11,7, , , , , ,2016-12-31,462300601
2,14927,462300601,마로산,용강리구간, ,0.7,쉬움,12,9, , , , , ,2016-12-31,462300601
3,14928,462300601,마로산,죽림리구간, ,0.08,쉬움,1,1, , , , , ,2016-12-31,462300601
4,14929,462300601,마로산,죽림리구간, ,0.94,쉬움,18,12, , , , , ,2016-12-31,462300601
5,14930,462300601,마로산,죽림리구간, ,0.81,쉬움,14,10, , , , , ,2016-12-31,462300601
6,14931,462300601,마로산,우산리구간, ,0.44,쉬움,8,5, , , , , ,2016-12-31,462300601
7,14932,462300601,마로산,용강리구간, ,0.1,쉬움,2,1, , , , , ,2016-12-31,462300601
8,14933,462300601,마로산,죽림리구간, ,1.31,쉬움,23,16, , , , , ,2016-12-31,462300601
9,14934,462300601,마로산,죽림리구간, ,1.88,쉬움,33,23, , , , , ,2016-12-31,462300601
10,14935,462300601,마로산,사곡리구간, ,0.16,쉬움,3,2, , , , , ,2016-12-31,462300601
11,14936,462300601,마로산,죽림리구간, ,0.01,쉬움,1,0, , , , , ,2016-12-31,462300601
12,14937,462300601,마로산,죽림리구간, ,0.02,쉬움,1,0, , , , , ,2016-12-31,462300601
13,14938,462300601,마로산,죽림리구간, ,0.1,쉬움,2,1, , , , , ,2016-12-31,462300601
