FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,15205,482202901,마파산,영운리구간, ,0.12,쉬움,2,1, , , , , ,2016-12-31,482200701
1,15206,482202901,마파산,영운리구간, ,0.59,쉬움,10,7, , , , , ,2016-12-31,482200701
2,15207,482202901,마파산, , ,0.69,쉬움,12,9, , , , , ,2016-12-31,482200701
3,15208,482202901,마파산, , ,0.57,쉬움,10,7, , , , , ,2016-12-31,482200701
4,15209,482202901,마파산, , ,0.53,쉬움,9,7, , , , , ,2016-12-31,482200701
5,15210,482202901,마파산, , ,0.26,쉬움,5,3, , , , , ,2016-12-31,482200701
6,15211,482202901,마파산, , ,0.16,쉬움,3,2, , , , , ,2016-12-31,482200701
7,15212,482202901,마파산, , ,0.14,쉬움,2,2, , , , , ,2016-12-31,482200701
8,15213,482202901,마파산,영운리구간, ,0.08,쉬움,1,1, , , , , ,2016-12-31,482200701
9,15214,482202901,마파산, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,482200701
10,15215,482202901,마파산,영운리구간, ,0.05,중간,1,1, , , , , ,2016-12-31,482200701
