FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,15216,414604001,마평동산,마평동구간, ,0.29,쉬움,5,4, , , , , ,2016-12-31,414610901
1,15217,414604001,마평동산, , ,0.87,쉬움,15,11, , , , , ,2016-12-31,414610901
2,15218,414604001,마평동산, , ,0.2,쉬움,4,2, , , , , ,2016-12-31,414610901
3,15219,414604001,마평동산, , ,0.26,쉬움,5,3, , , , , ,2016-12-31,414610901
4,15220,414604001,마평동산, , ,0.01,쉬움,1,0, , , , , ,2016-12-31,414610901
5,15221,414604001,마평동산, , ,0.19,쉬움,3,2, , , , , ,2016-12-31,414610901
6,15222,414604001,마평동산, , ,0.1,쉬움,2,1, , , , , ,2016-12-31,414610901
7,15223,414604001,마평동산, , ,0.02,쉬움,1,0, , , , , ,2016-12-31,414610901
8,15224,414604001,마평동산, , ,0.21,쉬움,4,3, , , , , ,2016-12-31,414610901
9,15225,414604001,마평동산, , ,0.09,쉬움,2,1, , , , , ,2016-12-31,414610901
10,15226,414604001,마평동산, , ,0.41,쉬움,7,5, , , , , ,2016-12-31,414610901
11,15227,414604001,마평동산, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,414610901
12,15228,414604001,마평동산, , ,0.24,쉬움,4,3, , , , , ,2016-12-31,414610901
13,15229,414604001,마평동산,마평동구간, ,0.01,쉬움,1,0, , , , , ,2016-12-31,414610901
14,15230,414604001,마평동산, , ,0.1,쉬움,2,1, , , , , ,2016-12-31,414610901
15,15231,414604001,마평동산,마평동구간, ,0.25,쉬움,4,3, , , , , ,2016-12-31,414610901
16,15232,414604001,마평동산,마평동구간, ,0.3,쉬움,5,4, , , , , ,2016-12-31,414610901
