FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,15308,467100701,만덕산,용대리구간, ,0.03,쉬움,1,0, , , , , ,2016-12-31,467100701
1,15309,467100701,만덕산,운암리구간, ,0.28,쉬움,5,3, , , , , ,2016-12-31,467100701
2,15310,467100701,만덕산,용대리구간, ,1.11,쉬움,33,23, , , , , ,2016-12-31,467100701
3,15311,467100701,만덕산,용대리구간, ,0.74,쉬움,13,9, , , , , ,2016-12-31,467100701
4,15312,467100701,만덕산,용대리구간, ,0.12,쉬움,2,1, , , , , ,2016-12-31,467100701
5,15313,467100701,만덕산,운암리구간, ,0.34,쉬움,6,4, , , , , ,2016-12-31,467100701
6,15314,467100701,만덕산,운암리구간, ,0.57,쉬움,10,7, , , , , ,2016-12-31,467100701
7,15315,467100701,만덕산,운암리구간, ,0.84,쉬움,16,11, , , , , ,2016-12-31,467100701
8,15316,467100701,만덕산,용대리구간, ,0.06,쉬움,1,1, , , , , ,2016-12-31,467100701
9,15317,467100701,만덕산,용대리구간, ,0.09,쉬움,2,1, , , , , ,2016-12-31,467100701
10,15318,467100701,만덕산,용대리구간, ,1.19,쉬움,21,15, , , , , ,2016-12-31,467100701
11,15319,467100701,만덕산,운암리구간, ,0.52,쉬움,9,6, , , , , ,2016-12-31,467100701
12,15320,467100701,만덕산,용대리구간, ,0.38,쉬움,7,5, , , , , ,2016-12-31,467100701
13,15321,467100701,만덕산,용대리구간, ,0.31,쉬움,5,4, , , , , ,2016-12-31,467100701
14,15322,467100701,만덕산,용대리구간, ,2.96,쉬움,89,62, , , , , ,2016-12-31,467100701
