FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,15848,451302001,망경산,도암리구간, ,0.26,쉬움,5,3, , , , , ,2016-12-31,451302001
1,15849,451302001,망경산,창오리구간, ,0.15,쉬움,3,2, , , , , ,2016-12-31,451302001
2,15850,451302001,망경산,창오리구간, ,0.6,쉬움,11,7, , , , , ,2016-12-31,451302001
3,15851,451302001,망경산,여방리구간, ,2.07,쉬움,37,26, , , , , ,2016-12-31,451302001
4,15852,451302001,망경산,여방리구간, ,0.26,쉬움,5,3, , , , , ,2016-12-31,451302001
5,15853,451302001,망경산,창오리구간, ,0.39,쉬움,7,5, , , , , ,2016-12-31,451302001
6,15854,451302001,망경산,여방리구간, ,0.43,쉬움,8,5, , , , , ,2016-12-31,451302001
7,15855,451302001,망경산,여방리구간, ,0.03,쉬움,1,0, , , , , ,2016-12-31,451302001
8,15856,451302001,망경산,여방리구간, ,0.7,쉬움,12,9, , , , , ,2016-12-31,451302001
9,15857,451302001,망경산,여방리구간, ,0.5,쉬움,9,6, , , , , ,2016-12-31,451302001
10,15858,451302001,망경산,도암리구간, ,0.38,쉬움,7,5, , , , , ,2016-12-31,451302001
11,15859,451302001,망경산,창오리구간, ,0.05,쉬움,1,1, , , , , ,2016-12-31,451302001
12,15860,451302001,망경산,창오리구간, ,0.31,쉬움,5,4, , , , , ,2016-12-31,451302001
13,15861,451302001,망경산,창오리구간, ,0.24,쉬움,4,3, , , , , ,2016-12-31,451302001
14,15862,451302001,망경산,창오리구간, ,0.18,쉬움,3,2, , , , , ,2016-12-31,451302001
15,15863,451302001,망경산,창오리구간, ,0.19,쉬움,3,2, , , , , ,2016-12-31,451302001
16,15864,451302001,망경산,창오리구간, ,0.26,쉬움,5,3, , , , , ,2016-12-31,451302001
17,15865,451302001,망경산,도암리구간, ,0.15,쉬움,3,2, , , , , ,2016-12-31,451302001
18,15866,451302001,망경산,창오리구간, ,0.26,쉬움,5,3, , , , , ,2016-12-31,451302001
19,15867,451302001,망경산,도암리구간, ,0.88,쉬움,16,11, , , , , ,2016-12-31,451302001
20,15868,451302001,망경산,고봉리구간, ,0.88,쉬움,16,11, , , , , ,2016-12-31,451302001
21,15869,451302001,망경산,창오리구간, ,1.05,쉬움,19,13, , , , , ,2016-12-31,451302001
