FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,16343,483302501,매봉산,화제리구간, ,5.79,쉬움,102,72, , , , , ,2016-12-31,483300601
1,16344,483302501,매봉산,내포리구간, ,0.32,쉬움,6,4, , , , , ,2016-12-31,483300601
2,16345,483302501,매봉산,내포리구간, ,2.71,쉬움,48,33, , , , , ,2016-12-31,483300601
3,16346,483302501,매봉산, , ,2.49,쉬움,44,31, , , , , ,2016-12-31,2810151600
4,16347,483302501,매봉산,어곡동구간, ,1.99,쉬움,75,52, , , , , ,2016-12-31,2810151600
5,16348,483302501,매봉산, , ,1.28,쉬움,23,16, , , , , ,2016-12-31,2810151600
6,16349,483302501,매봉산, , ,1.22,쉬움,22,15, , , , , ,2016-12-31,2810151600
7,16350,483302501,매봉산, , ,0.49,쉬움,9,6, , , , , ,2016-12-31,2810151600
8,16351,483302501,매봉산, , ,0.41,쉬움,7,5, , , , , ,2016-12-31,2810151600
9,16352,483302501,매봉산,교동구간, ,3.23,쉬움,121,85, , , , , ,2016-12-31,2810151600
10,16353,483302501,매봉산,어곡동구간, ,1.67,쉬움,42,29, , , , , ,2016-12-31,2810151600
11,16354,483302501,매봉산,어곡동구간, ,2.35,쉬움,41,29, , , , , ,2016-12-31,2810151600
12,16355,483302501,매봉산,교동구간, ,0.67,쉬움,12,8, , , , , ,2016-12-31,2810151600
13,16356,483302501,매봉산, , ,0.14,쉬움,2,2, , , , , ,2016-12-31,2810151600
14,16357,483302501,매봉산, , ,0.09,쉬움,2,1, , , , , ,2016-12-31,2810151600
15,16358,483302501,매봉산,교동구간, ,0.33,쉬움,6,4, , , , , ,2016-12-31,2810151600
16,16359,483302501,매봉산,교동구간, ,0.29,쉬움,5,4, , , , , ,2016-12-31,2810151600
17,16360,483302501,매봉산, , ,0.68,쉬움,12,8, , , , , ,2016-12-31,2810151600
18,16361,483302501,매봉산, , ,0.83,쉬움,15,10, , , , , ,2016-12-31,2810151600
19,16362,483302501,매봉산, , ,0.11,쉬움,2,1, , , , , ,2016-12-31,2810151600
20,16363,483302501,매봉산, , ,0.1,쉬움,2,1, , , , , ,2016-12-31,2810151600
21,16364,483302501,매봉산, , ,0.26,쉬움,5,3, , , , , ,2016-12-31,2810151600
22,16365,483302501,매봉산,어곡동구간, ,0.33,쉬움,6,4, , , , , ,2016-12-31,2810151600
23,16366,483302501,매봉산, , ,0.42,쉬움,7,5, , , , , ,2016-12-31,2810151600
24,16367,483302501,매봉산, , ,0.15,쉬움,3,2, , , , , ,2016-12-31,2810151600
25,16368,483302501,매봉산, , ,0.02,쉬움,1,0, , , , , ,2016-12-31,2810151600
26,16369,483302501,매봉산,어곡동구간, ,0.44,쉬움,8,5, , , , , ,2016-12-31,2810151600
27,16370,483302501,매봉산, , ,0.09,쉬움,2,1, , , , , ,2016-12-31,2810151600
28,16371,483302501,매봉산, , ,0.22,쉬움,4,3, , , , , ,2016-12-31,2810151600
29,16372,483302501,매봉산, , ,0.27,쉬움,5,3, , , , , ,2016-12-31,2810151600
30,16373,483302501,매봉산, , ,0.62,쉬움,11,8, , , , , ,2016-12-31,2810151600
31,16374,483302501,매봉산,화제리구간, ,1.32,쉬움,23,16, , , , , ,2016-12-31,2810151600
32,16375,483302501,매봉산, , ,0.35,쉬움,6,4, , , , , ,2016-12-31,2810151600
33,16376,483302501,매봉산, , ,0.44,쉬움,8,5, , , , , ,2016-12-31,2810151600
34,16377,483302501,매봉산, , ,0.12,쉬움,2,1, , , , , ,2016-12-31,2810151600
35,16378,483302501,매봉산, , ,0.1,쉬움,2,1, , , , , ,2016-12-31,2810151600
36,16379,483302501,매봉산, , ,0.29,쉬움,5,4, , , , , ,2016-12-31,2810151600
37,16380,483302501,매봉산, , ,0.07,중간,1,1, , , , , ,2016-12-31,2810151600
38,16381,483302501,매봉산, , ,0.04,중간,1,0, , , , , ,2016-12-31,2810151600
39,16382,483302501,매봉산, , ,0.16,쉬움,3,2, , , , , ,2016-12-31,2810151600
40,16383,483302501,매봉산,내포리구간, ,3.0,쉬움,53,37, , , , , ,2016-12-31,2810151600
41,16384,483302501,매봉산,어곡동구간, ,2.52,쉬움,44,31, , , , , ,2016-12-31,2810151600
42,16385,483302501,매봉산,내포리구간, ,3.58,쉬움,63,44, , , , , ,2016-12-31,2810151600
43,16386,483302501,매봉산,내포리구간, ,1.11,쉬움,20,14, , , , , ,2016-12-31,2810151600
44,16387,483302501,매봉산,화제리구간, ,0.98,쉬움,17,12, , , , , ,2016-12-31,2810151600
