FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,17236,431502001,무등산,토교리구간, ,0.87,쉬움,15,11,점토질, , , , ,2016-12-31,431502001
1,17237,431502001,무등산,무도리구간, ,0.65,쉬움,11,8,점토질, , , , ,2016-12-31,431502001
2,17238,431502001,무등산,무도리구간, ,0.14,쉬움,2,2,점토질, , , , ,2016-12-31,431502001
3,17239,431502001,무등산,토교리구간, ,0.11,쉬움,2,1,점토질, , , , ,2016-12-31,431502001
4,17240,431502001,무등산,토교리구간, ,0.09,쉬움,2,1,점토질, , , , ,2016-12-31,431502001
5,17241,431502001,무등산,무도리구간, ,1.1,쉬움,19,14,점토질, , , , ,2016-12-31,431502001
6,17242,431502001,무등산,무도리구간, ,0.69,쉬움,12,9,점토질, , , , ,2016-12-31,431502001
7,17243,431502001,무등산,토교리구간, ,0.54,쉬움,10,7,점토질, , , , ,2016-12-31,431502001
8,17244,431502001,무등산,무도리골안고개-무도리절골구간, ,0.33,쉬움,6,4,점토질, , , , ,2016-12-31,431502001
9,17245,431502001,무등산,무도리구간, ,0.29,쉬움,5,4,점토질, , , , ,2016-12-31,431502001
10,17246,431502001,무등산,무도리골안고개-무도리절골구간, ,0.1,쉬움,2,1,점토질, , , , ,2016-12-31,431502001
11,17247,431502001,무등산,무도리골안고개-무도리절골구간, ,0.12,쉬움,2,1,점토질, , , , ,2016-12-31,431502001
12,17248,431502001,무등산,무도리골안고개-무도리절골구간, ,0.02,쉬움,1,0,점토질, , , , ,2016-12-31,431502001
13,17249,431502001,무등산,무도리구간, ,0.73,쉬움,13,9,점토질, , , , ,2016-12-31,431502001
14,17250,431502001,무등산,무도리골안고개-무도리절골구간, ,1.48,쉬움,26,18,점토질, , , , ,2016-12-31,431502001
15,17251,431502001,무등산,토교리구간, ,0.25,쉬움,4,3,점토질, , , , ,2016-12-31,431502001
16,17252,431502001,무등산,무도리골안고개-무도리절골구간, ,0.07,쉬움,1,1,점토질, , , , ,2016-12-31,431502001
17,17253,431502001,무등산,무도리골안고개-무도리절골구간, ,0.07,쉬움,1,1,점토질, , , , ,2016-12-31,431502001
18,17254,431502001,무등산,무도리골안고개-무도리절골구간, ,0.31,쉬움,5,4,점토질, , , , ,2016-12-31,431502001
19,17255,431502001,무등산,무도리골안고개-무도리절골구간, ,0.2,쉬움,4,2,점토질, , , , ,2016-12-31,431502001
20,17256,431502001,무등산,무도리골안고개-무도리절골구간, ,0.49,쉬움,9,6,점토질, , , , ,2016-12-31,431502001
21,17257,431502001,무등산,무도리골안고개-무도리절골구간, ,0.05,쉬움,1,1,점토질, , , , ,2016-12-31,431502001
22,17258,431502001,무등산,무도리골안고개-무도리절골구간, ,0.05,쉬움,1,1,점토질, , , , ,2016-12-31,431502001
23,17259,431502001,무등산,무도리구간, ,0.41,쉬움,7,5,점토질, , , , ,2016-12-31,431502001
24,17260,431502001,무등산,무도리골안고개-무도리절골구간, ,0.19,쉬움,3,2,점토질, , , , ,2016-12-31,431502001
25,17261,431502001,무등산,무도리골안고개-무도리절골구간, ,0.01,쉬움,1,0,점토질, , , , ,2016-12-31,431502001
26,17262,431502001,무등산,무도리골안고개-무도리절골구간, ,0.39,쉬움,7,5,점토질, , , , ,2016-12-31,431502001
27,17263,431502001,무등산,무도리골안고개-무도리절골구간, ,0.32,쉬움,6,4,점토질, , , , ,2016-12-31,431502001
28,17264,431502001,무등산,무도리골안고개-무도리절골구간, ,0.08,쉬움,1,1,점토질, , , , ,2016-12-31,431502001
29,17265,431502001,무등산,무도리구간, ,0.05,쉬움,1,1,점토질, , , , ,2016-12-31,431502001
30,17266,431502001,무등산,무도리구간, ,0.08,쉬움,1,1,점토질, , , , ,2016-12-31,431502001
31,17267,431502001,무등산,무도리구간, ,0.08,쉬움,1,1,점토질, , , , ,2016-12-31,431502001
32,17268,431502001,무등산,무도리구간, ,0.22,쉬움,4,3,점토질, , , , ,2016-12-31,431502001
33,17269,431502001,무등산,무도리구간, ,0.15,쉬움,3,2,점토질, , , , ,2016-12-31,431502001
34,17270,431502001,무등산,토교리구간, ,0.34,쉬움,6,4,점토질, , , , ,2016-12-31,431502001
35,17271,431502001,무등산,무도리구간, ,0.21,쉬움,4,3,점토질, , , , ,2016-12-31,431502001
36,17272,431502001,무등산,무도리구간, ,0.05,쉬움,1,1,점토질, , , , ,2016-12-31,431502001
37,17273,431502001,무등산,무도리구간, ,0.05,쉬움,1,1,점토질, , , , ,2016-12-31,431502001
38,17274,431502001,무등산,무도리구간, ,0.41,쉬움,7,5,점토질, , , , ,2016-12-31,431502001
39,17275,431502001,무등산,무도리골안고개-무도리절골구간, ,1.12,쉬움,20,14,점토질, , , , ,2016-12-31,431502001
40,17276,431502001,무등산,무도리구간, ,0.05,쉬움,1,1,점토질, , , , ,2016-12-31,431502001
41,17277,431502001,무등산,무도리구간, ,0.51,쉬움,9,6,점토질, , , , ,2016-12-31,431502001
42,17278,431502001,무등산,토교리구간, ,0.08,쉬움,1,1,점토질, , , , ,2016-12-31,431502001
