FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,17415,412202301,무성산,옥길리구간, ,0.09,쉬움,2,1, , , , , ,2016-12-31,412200901
1,17416,412202301,무성산,옥길리구간, ,0.17,쉬움,3,2, , , , , ,2016-12-31,412200901
2,17417,412202301,무성산, , ,0.12,쉬움,2,1, , , , , ,2016-12-31,412200901
3,17418,412202301,무성산,후사리구간, ,0.11,쉬움,2,1, , , , , ,2016-12-31,412200901
4,17419,412202301,무성산, , ,0.18,쉬움,3,2, , , , , ,2016-12-31,412200901
5,17420,412202301,무성산, , ,0.09,쉬움,2,1, , , , , ,2016-12-31,412200901
6,17421,412202301,무성산, , ,0.09,쉬움,2,1, , , , , ,2016-12-31,412200901
7,17422,412202301,무성산, , ,0.26,쉬움,5,3, , , , , ,2016-12-31,412200901
8,17423,412202301,무성산,옥길리구간, ,0.2,쉬움,4,2, , , , , ,2016-12-31,412200901
9,17424,412202301,무성산, , ,0.26,쉬움,5,3, , , , , ,2016-12-31,412200901
10,17425,412202301,무성산, , ,0.29,쉬움,5,4, , , , , ,2016-12-31,412200901
11,17426,412202301,무성산,후사리구간, ,0.06,쉬움,1,1, , , , , ,2016-12-31,412200901
12,17427,412202301,무성산,후사리구간, ,0.08,쉬움,1,1, , , , , ,2016-12-31,412200901
13,17428,412202301,무성산, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,412200901
14,17429,412202301,무성산,옥길리구간, ,0.1,쉬움,2,1, , , , , ,2016-12-31,412200901
15,17430,412202301,무성산, , ,0.01,쉬움,1,0, , , , , ,2016-12-31,412200901
16,17431,412202301,무성산,후사리구간, ,0.33,쉬움,6,4, , , , , ,2016-12-31,412200901
17,17432,412202301,무성산, , ,0.15,쉬움,3,2, , , , , ,2016-12-31,412200901
18,17433,412202301,무성산,후사리구간, ,0.09,쉬움,2,1, , , , , ,2016-12-31,412200901
19,17434,412202301,무성산,옥길리구간, ,0.48,쉬움,8,6, , , , , ,2016-12-31,412200901
20,17435,412202301,무성산, , ,0.3,쉬움,5,4, , , , , ,2016-12-31,412200901
21,17436,412202301,무성산,후사리구간, ,0.34,쉬움,6,4, , , , , ,2016-12-31,412200901
