FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,17941,481500901,무학산,완월동구간, ,0.34,쉬움,6,4, , , , , ,2016-12-31,481250601
1,17942,481500901,무학산,완월동구간, ,0.18,중간,3,2, , , , , ,2016-12-31,481250601
2,17943,481500901,무학산,자산동구간, ,0.55,쉬움,10,7, , , , , ,2016-12-31,481250601
3,17944,481500901,무학산,자산동구간, ,0.64,쉬움,11,8, , , , , ,2016-12-31,481250601
4,17945,481500901,무학산,완월동구간, ,0.26,쉬움,5,3, , , , , ,2016-12-31,481250601
5,17946,481500901,무학산,교방동구간, ,0.81,쉬움,17,12, , , , , ,2016-12-31,481250601
6,17947,481500901,무학산,교방동구간, ,0.74,쉬움,13,9, , , , , ,2016-12-31,481250601
7,17948,481500901,무학산, , ,0.35,쉬움,6,4, , , , , ,2016-12-31,481270301
8,17949,481500901,무학산, , ,0.1,쉬움,2,1, , , , , ,2016-12-31,481270301
9,17950,481500901,무학산,감천리구간, ,0.1,쉬움,2,1, , , , , ,2016-12-31,481270301
10,17951,481500901,무학산,감천리구간, ,0.5,쉬움,9,6, , , , , ,2016-12-31,481270301
11,17952,481500901,무학산,회원동구간, ,2.08,쉬움,37,26, , , , , ,2016-12-31,481270301
12,17953,481500901,무학산,회원동구간, ,0.52,쉬움,9,6, , , , , ,2016-12-31,481270301
13,17954,481500901,무학산,감천리구간, ,1.25,쉬움,47,33, , , , , ,2016-12-31,481270301
14,17955,481500901,무학산,두척동구간, ,1.35,쉬움,24,17, , , , , ,2016-12-31,481270301
15,17956,481500901,무학산,회원동구간, ,0.55,쉬움,10,7, , , , , ,2016-12-31,481270301
16,17957,481500901,무학산,두척동구간, ,0.13,쉬움,2,2, , , , , ,2016-12-31,481270301
17,17958,481500901,무학산, , ,0.27,쉬움,5,3, , , , , ,2016-12-31,481270301
18,17959,481500901,무학산,두척동구간, ,0.2,중간,4,2, , , , , ,2016-12-31,481270301
19,17960,481500901,무학산,삼계리구간, ,0.97,쉬움,17,12, , , , , ,2016-12-31,481270301
20,17961,481500901,무학산, , ,0.71,쉬움,13,9, , , , , ,2016-12-31,481270301
21,17962,481500901,무학산,두척동구간, ,0.35,쉬움,6,4, , , , , ,2016-12-31,481270301
22,17963,481500901,무학산,두척동구간, ,1.3,쉬움,28,20, , , , , ,2016-12-31,481270301
23,17964,481500901,무학산,완월동구간, ,1.69,쉬움,30,21, , , , , ,2016-12-31,2806020900
24,17965,481500901,무학산, , ,0.72,쉬움,13,9, , , , , ,2016-12-31,2806020900
25,17966,481500901,무학산, , ,0.69,쉬움,12,9, , , , , ,2016-12-31,2806020900
26,17967,481500901,무학산, , ,0.82,쉬움,14,10, , , , , ,2016-12-31,2806020900
27,17968,481500901,무학산, , ,1.12,쉬움,24,17, , , , , ,2016-12-31,2806020900
28,17969,481500901,무학산,교방동구간, ,0.71,쉬움,13,9, , , , , ,2016-12-31,2806020900
29,17970,481500901,무학산, , ,0.55,쉬움,10,7, , , , , ,2016-12-31,2806020900
