FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,18091,317104401,묵장산,만화리구간, ,0.44,쉬움,8,6, , , , , ,2016-12-31,317101601
1,18092,317104401,묵장산, , ,7.9,쉬움,139,98, , , , , ,2016-12-31,317101601
2,18093,317104401,묵장산, , ,0.56,쉬움,10,7, , , , , ,2016-12-31,317101601
3,18094,317104401,묵장산, , ,0.19,쉬움,3,2, , , , , ,2016-12-31,317101601
4,18095,317104401,묵장산, , ,0.22,쉬움,4,3, , , , , ,2016-12-31,317101601
5,18096,317104401,묵장산, , ,0.52,쉬움,9,6, , , , , ,2016-12-31,317101601
6,18097,317104401,묵장산, , ,0.28,쉬움,5,3, , , , , ,2016-12-31,317101601
7,18098,317104401,묵장산, , ,0.28,쉬움,5,3, , , , , ,2016-12-31,317101601
8,18099,317104401,묵장산, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,317101601
9,18100,317104401,묵장산,구미리구간, ,2.66,쉬움,47,33, , , , , ,2016-12-31,317101601
10,18101,317104401,묵장산, , ,0.22,쉬움,4,3, , , , , ,2016-12-31,317101601
11,18102,317104401,묵장산, , ,0.36,쉬움,6,4, , , , , ,2016-12-31,317101601
12,18103,317104401,묵장산,석계리구간, ,1.87,쉬움,56,39, , , , , ,2016-12-31,471302201
13,18104,317104401,묵장산,석계리구간, ,2.33,쉬움,87,61, , , , , ,2016-12-31,471302201
14,18105,317104401,묵장산,냉천리구간, ,6.75,쉬움,119,83, , , , , ,2016-12-31,471302201
15,18106,317104401,묵장산,녹동리구간, ,0.65,쉬움,11,8, , , , , ,2016-12-31,471302201
16,18107,317104401,묵장산,녹동리구간, ,1.97,쉬움,74,52, , , , , ,2016-12-31,471302201
17,18108,317104401,묵장산, , ,3.59,쉬움,63,44, , , , , ,2016-12-31,471302201
18,18109,317104401,묵장산, , ,1.26,쉬움,22,16, , , , , ,2016-12-31,471302201
19,18110,317104401,묵장산, , ,1.94,쉬움,34,24, , , , , ,2016-12-31,317101601
20,18111,317104401,묵장산, , ,0.6,쉬움,11,7, , , , , ,2016-12-31,471302201
21,18112,317104401,묵장산,월평리구간, ,6.19,쉬움,232,162, , , , , ,2016-12-31,317101601
