FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,18161,277104104,문산리뒷산,문산리구간, ,0.87,쉬움,15,11, , , , , ,2016-12-31,277104104
1,18162,277104104,문산리뒷산,문산리구간, ,0.2,쉬움,4,2, , , , , ,2016-12-31,277104104
2,18163,277104104,문산리뒷산,문산리구간, ,0.0,쉬움,1,0, , , , , ,2016-12-31,277104104
3,18164,277104104,문산리뒷산,동곡리구간, ,0.05,쉬움,1,1, , , , , ,2016-12-31,277104104
4,18165,277104104,문산리뒷산,문산리구간, ,0.47,쉬움,8,6, , , , , ,2016-12-31,277104104
5,18166,277104104,문산리뒷산,문산리구간, ,0.01,쉬움,1,0, , , , , ,2016-12-31,277104104
6,18167,277104104,문산리뒷산,문산리구간, ,0.17,쉬움,3,2, , , , , ,2016-12-31,277104104
7,18168,277104104,문산리뒷산,문산리구간, ,0.05,쉬움,1,1, , , , , ,2016-12-31,277104104
8,18169,277104104,문산리뒷산,문산리구간, ,0.0,쉬움,1,0, , , , , ,2016-12-31,277104104
9,18170,277104104,문산리뒷산,문산리구간, ,0.11,쉬움,2,1, , , , , ,2016-12-31,277104104
10,18171,277104104,문산리뒷산,문산리구간, ,0.15,쉬움,3,2, , , , , ,2016-12-31,277104104
11,18172,277104104,문산리뒷산,동곡리구간, ,0.14,쉬움,2,2, , , , , ,2016-12-31,277104104
12,18173,277104104,문산리뒷산,동곡리구간, ,0.26,쉬움,5,3, , , , , ,2016-12-31,277104104
13,18174,277104104,문산리뒷산,문산리구간, ,1.13,쉬움,20,14, , , , , ,2016-12-31,277104104
14,18175,277104104,문산리뒷산,문산리구간, ,0.48,쉬움,8,6, , , , , ,2016-12-31,277104104
15,18176,277104104,문산리뒷산,문산리구간, ,0.93,쉬움,16,11, , , , , ,2016-12-31,277104104
