FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,18182,317101801,문수산, , ,0.53,쉬움,9,7, , , , , ,2016-12-31,1704121400
1,18183,317101801,문수산,무거동구간, ,1.86,쉬움,47,33, , , , , ,2016-12-31,1704121400
2,18184,317101801,문수산,율리구간, ,1.01,쉬움,18,12, , , , , ,2016-12-31,1704121400
3,18185,317101801,문수산, , ,1.27,쉬움,22,16, , , , , ,2016-12-31,1704121400
4,18186,317101801,문수산,천상리구간, ,2.36,쉬움,42,29, , , , , ,2016-12-31,1704121400
5,18187,317101801,문수산,율리구간, ,1.42,쉬움,36,25, , , , , ,2016-12-31,1704121400
6,18188,317101801,문수산,율리구간, ,1.01,쉬움,30,21, , , , , ,2016-12-31,1704121400
7,18189,317101801,문수산, , ,0.38,쉬움,7,5, , , , , ,2016-12-31,1704121400
8,18190,317101801,문수산, , ,0.32,쉬움,6,4, , , , , ,2016-12-31,1704121400
9,18191,317101801,문수산, , ,0.76,쉬움,13,9, , , , , ,2016-12-31,1704121400
10,18192,317101801,문수산, , ,0.78,쉬움,14,10, , , , , ,2016-12-31,1704121400
11,18193,317101801,문수산, , ,0.47,쉬움,8,6, , , , , ,2016-12-31,1704121400
12,18194,317101801,문수산, , ,0.12,쉬움,2,1, , , , , ,2016-12-31,1704121400
13,18195,317101801,문수산, , ,0.28,쉬움,5,3, , , , , ,2016-12-31,1704121400
14,18196,317101801,문수산,무거동구간, ,2.47,쉬움,62,43, , , , , ,2016-12-31,1704121400
15,18197,317101801,문수산,굴화리구간, ,3.98,쉬움,70,49, , , , , ,2016-12-31,1704121400
16,18198,317101801,문수산,굴화리구간, ,2.74,쉬움,48,34, , , , , ,2016-12-31,1704121400
17,18199,317101801,문수산,천상리구간, ,3.19,쉬움,56,39, , , , , ,2016-12-31,1704121400
