FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,19456,471900901,미석산,해평리구간, ,0.51,쉬움,10,7, , , , , ,2016-12-31,471900901
1,19457,471900901,미석산,해평리구간, ,0.83,쉬움,16,11, , , , , ,2016-12-31,471900901
2,19458,471900901,미석산, , ,0.09,쉬움,2,1, , , , , ,2016-12-31,471900901
3,19459,471900901,미석산,낙성리구간, ,0.62,쉬움,11,8, , , , , ,2016-12-31,471900901
4,19460,471900901,미석산,해평리구간, ,0.61,쉬움,11,8, , , , , ,2016-12-31,471900901
5,19461,471900901,미석산, , ,0.54,쉬움,10,7, , , , , ,2016-12-31,471900901
6,19462,471900901,미석산, , ,0.55,쉬움,10,7, , , , , ,2016-12-31,471900901
7,19463,471900901,미석산,금호리구간, ,0.55,쉬움,10,7, , , , , ,2016-12-31,471900901
8,19464,471900901,미석산, , ,0.35,쉬움,6,4, , , , , ,2016-12-31,471900901
9,19465,471900901,미석산,금호리구간, ,0.26,쉬움,5,3, , , , , ,2016-12-31,471900901
10,19466,471900901,미석산, , ,0.13,쉬움,2,2, , , , , ,2016-12-31,471900901
11,19467,471900901,미석산,금호리구간, ,0.15,쉬움,3,2, , , , , ,2016-12-31,471900901
12,19468,471900901,미석산,금호리구간, ,0.49,쉬움,9,6, , , , , ,2016-12-31,471900901
