FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,19612,477701901,바데산, , ,0.57,쉬움,10,7, , , , , ,2016-12-31,471130601
1,19613,477701901,바데산,사암리구간, ,2.27,쉬움,40,28, , , , , ,2016-12-31,477701901
2,19614,477701901,바데산, , ,0.99,쉬움,17,12, , , , , ,2016-12-31,477701901
3,19615,477701901,바데산, , ,0.21,쉬움,4,3, , , , , ,2016-12-31,477701901
4,19616,477701901,바데산, , ,0.01,쉬움,1,0, , , , , ,2016-12-31,477701901
5,19617,477701901,바데산,옥산리구간, ,0.3,중간,6,4, , , , , ,2016-12-31,477701901
6,19618,477701901,바데산, , ,0.76,쉬움,13,9, , , , , ,2016-12-31,477701901
7,19619,477701901,바데산, , ,0.72,쉬움,13,9, , , , , ,2016-12-31,477701901
8,19620,477701901,바데산, , ,0.9,쉬움,16,11, , , , , ,2016-12-31,477701901
9,19621,477701901,바데산, , ,0.02,쉬움,1,0, , , , , ,2016-12-31,477701901
10,19622,477701901,바데산, , ,0.2,쉬움,4,2, , , , , ,2016-12-31,477701901
11,19623,477701901,바데산, , ,0.99,쉬움,17,12, , , , , ,2016-12-31,477701901
12,19624,477701901,바데산, , ,0.38,쉬움,7,5, , , , , ,2016-12-31,477701901
13,19625,477701901,바데산, , ,1.21,쉬움,21,15, , , , , ,2016-12-31,477701901
14,19626,477701901,바데산, , ,0.09,쉬움,2,1, , , , , ,2016-12-31,477701901
15,19627,477701901,바데산, , ,0.66,쉬움,12,8, , , , , ,2016-12-31,477701901
16,19628,477701901,바데산, , ,0.46,쉬움,8,6, , , , , ,2016-12-31,477701901
17,19629,477701901,바데산,옥산리구간, ,0.52,쉬움,9,6, , , , , ,2016-12-31,477701901
18,19630,477701901,바데산,옥산리구간, ,0.22,쉬움,4,3, , , , , ,2016-12-31,477701901
19,19631,477701901,바데산, , ,0.19,쉬움,3,2, , , , , ,2016-12-31,477701901
20,19632,477701901,바데산, , ,0.76,쉬움,13,9, , , , , ,2016-12-31,477701901
21,19633,477701901,바데산, , ,0.37,쉬움,7,5, , , , , ,2016-12-31,477701901
22,19634,477701901,바데산,옥산리구간, ,0.46,쉬움,8,6, , , , , ,2016-12-31,477701901
23,19635,477701901,바데산,옥산리구간, ,0.74,쉬움,13,9, , , , , ,2016-12-31,477701901
24,19636,477701901,바데산, , ,0.55,쉬움,10,7, , , , , ,2016-12-31,477701901
25,19637,477701901,바데산,옥산리구간, ,0.48,쉬움,8,6, , , , , ,2016-12-31,477701901
26,19638,477701901,바데산,옥산리구간, ,0.29,쉬움,5,4, , , , , ,2016-12-31,477701901
27,19639,477701901,바데산, , ,0.43,쉬움,8,5, , , , , ,2016-12-31,477701901
28,19640,477701901,바데산,옥산리구간, ,0.16,쉬움,3,2, , , , , ,2016-12-31,477701901
29,19641,477701901,바데산,옥산리구간, ,0.14,쉬움,2,2, , , , , ,2016-12-31,477701901
30,19642,477701901,바데산,옥산리구간, ,0.49,쉬움,9,6, , , , , ,2016-12-31,477701901
31,19643,477701901,바데산, , ,0.13,쉬움,2,2, , , , , ,2016-12-31,477701901
32,19644,477701901,바데산, , ,0.65,쉬움,11,8, , , , , ,2016-12-31,477701901
33,19645,477701901,바데산, , ,0.1,쉬움,2,1, , , , , ,2016-12-31,477701901
34,19646,477701901,바데산,옥산리구간, ,0.62,쉬움,11,8, , , , , ,2016-12-31,477701901
35,19647,477701901,바데산, , ,0.12,쉬움,2,1, , , , , ,2016-12-31,477701901
36,19648,477701901,바데산,옥산리구간, ,0.73,쉬움,13,9, , , , , ,2016-12-31,477701901
37,19649,477701901,바데산,옥산리구간, ,0.36,쉬움,6,4, , , , , ,2016-12-31,477701901
38,19650,477701901,바데산,흥기리구간, ,0.62,쉬움,11,8, , , , , ,2016-12-31,477701901
39,19651,477701901,바데산,옥산리구간, ,0.75,쉬움,16,11, , , , , ,2016-12-31,477701901
40,19652,477701901,바데산, , ,0.34,쉬움,6,4, , , , , ,2016-12-31,477701901
41,19653,477701901,바데산,옥산리구간, ,0.51,쉬움,9,6, , , , , ,2016-12-31,477701901
42,19654,477701901,바데산, , ,0.47,쉬움,8,6, , , , , ,2016-12-31,477701901
43,19655,477701901,바데산,옥산리구간, ,0.77,쉬움,14,10, , , , , ,2016-12-31,477701901
44,19656,477701901,바데산, , ,0.5,쉬움,9,6, , , , , ,2016-12-31,477701901
45,19657,477701901,바데산, , ,1.11,쉬움,20,14, , , , , ,2016-12-31,477701901
46,19658,477701901,바데산, , ,0.41,쉬움,7,5, , , , , ,2016-12-31,477701901
47,19659,477701901,바데산,옥산리구간, ,0.35,쉬움,6,4, , , , , ,2016-12-31,477701901
48,19660,477701901,바데산, , ,0.35,쉬움,6,4, , , , , ,2016-12-31,477701901
49,19661,477701901,바데산, , ,0.8,쉬움,14,10, , , , , ,2016-12-31,477701901
50,19662,477701901,바데산, , ,0.36,쉬움,6,4, , , , , ,2016-12-31,477701901
51,19663,477701901,바데산, , ,0.56,쉬움,10,7, , , , , ,2016-12-31,477701901
52,19664,477701901,바데산, , ,0.03,쉬움,1,0, , , , , ,2016-12-31,477701901
53,19665,477701901,바데산, , ,0.94,쉬움,17,12, , , , , ,2016-12-31,477701901
54,19666,477701901,바데산, , ,0.29,쉬움,5,4, , , , , ,2016-12-31,477701901
55,19667,477701901,바데산, , ,0.88,쉬움,16,11, , , , , ,2016-12-31,477701901
56,19668,477701901,바데산,옥산리구간, ,0.22,쉬움,4,3, , , , , ,2016-12-31,477701901
