FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,20318,265000201,배산, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,1212070200
1,20319,265000201,배산, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,1212070200
2,20320,265000201,배산, , ,0.1,쉬움,2,1, , , , , ,2016-12-31,1212070200
3,20321,265000201,배산, , ,0.12,쉬움,2,1, , , , , ,2016-12-31,1212070200
4,20322,265000201,배산, , ,0.11,쉬움,2,1, , , , , ,2016-12-31,1212070200
5,20323,265000201,배산, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,1212070200
6,20324,265000201,배산, , ,0.17,쉬움,3,2, , , , , ,2016-12-31,1212070200
7,20325,265000201,배산, , ,0.18,쉬움,3,2, , , , , ,2016-12-31,1212070200
8,20326,265000201,배산, , ,0.34,쉬움,6,4, , , , , ,2016-12-31,1212070200
9,20327,265000201,배산, , ,0.22,쉬움,4,3, , , , , ,2016-12-31,1212070200
10,20328,265000201,배산, , ,0.21,쉬움,4,3, , , , , ,2016-12-31,1212070200
11,20329,265000201,배산, , ,0.25,쉬움,4,3, , , , , ,2016-12-31,1212070200
12,20330,265000201,배산, , ,0.39,쉬움,7,5, , , , , ,2016-12-31,1212070200
13,20331,265000201,배산, , ,0.21,쉬움,4,3, , , , , ,2016-12-31,1212070200
14,20332,265000201,배산, , ,0.1,쉬움,2,1, , , , , ,2016-12-31,1212070200
15,20333,265000201,배산, , ,0.2,쉬움,4,2, , , , , ,2016-12-31,1212070200
16,20334,265000201,배산,연산동구간, ,0.16,쉬움,3,2, , , , , ,2016-12-31,1212070200
17,20335,265000201,배산,연산동구간, ,0.24,쉬움,4,3, , , , , ,2016-12-31,1212070200
18,20336,265000201,배산, , ,0.17,쉬움,3,2, , , , , ,2016-12-31,1212070200
19,20337,265000201,배산, , ,0.11,쉬움,2,1, , , , , ,2016-12-31,1212070200
20,20338,265000201,배산, , ,0.14,쉬움,2,2, , , , , ,2016-12-31,1212070200
21,20339,265000201,배산,연산동구간, ,0.09,쉬움,2,1, , , , , ,2016-12-31,1212070200
22,20340,265000201,배산,연산동구간, ,0.13,쉬움,2,2, , , , , ,2016-12-31,1212070200
23,20341,265000201,배산, , ,0.25,쉬움,4,3, , , , , ,2016-12-31,1212070200
24,20342,265000201,배산, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,1212070200
25,20343,265000201,배산, , ,0.05,쉬움,1,1, , , , , ,2016-12-31,1212070200
26,20344,265000201,배산, , ,0.19,쉬움,3,2, , , , , ,2016-12-31,1212070200
27,20345,265000201,배산, , ,0.23,쉬움,4,3, , , , , ,2016-12-31,1212070200
28,20346,265000201,배산, , ,0.03,쉬움,1,0, , , , , ,2016-12-31,1212070200
29,20347,265000201,배산,연산동구간, ,0.11,쉬움,2,1, , , , , ,2016-12-31,1212070200
30,20348,265000201,배산,연산동구간, ,0.11,쉬움,2,1, , , , , ,2016-12-31,1212070200
31,20349,265000201,배산,연산동구간, ,0.09,쉬움,2,1, , , , , ,2016-12-31,1212070200
32,20350,265000201,배산, , ,0.09,쉬움,2,1, , , , , ,2016-12-31,1212070200
33,20351,265000201,배산, , ,0.05,쉬움,1,1, , , , , ,2016-12-31,1212070200
34,20352,265000201,배산, , ,0.13,쉬움,2,2, , , , , ,2016-12-31,1212070200
35,20353,265000201,배산,연산동구간, ,0.11,쉬움,2,1, , , , , ,2016-12-31,1212070200
36,20354,265000201,배산,연산동구간, ,0.09,쉬움,2,1, , , , , ,2016-12-31,1212070200
37,20355,265000201,배산, , ,0.17,쉬움,3,2, , , , , ,2016-12-31,1212070200
38,20356,265000201,배산, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,1212070200
39,20357,265000201,배산,연산동구간, ,0.05,쉬움,1,1, , , , , ,2016-12-31,1212070200
40,20358,265000201,배산,망미동구간, ,0.07,중간,1,1, , , , , ,2016-12-31,1212070200
41,20359,265000201,배산,망미동구간, ,0.09,쉬움,2,1, , , , , ,2016-12-31,1212070200
42,20360,265000201,배산, , ,0.1,쉬움,2,1, , , , , ,2016-12-31,1212070200
43,20361,265000201,배산, , ,0.12,쉬움,2,1, , , , , ,2016-12-31,1212070200
44,20362,265000201,배산, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,1212070200
