FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,20539,113800101,백련산,응암동구간, ,0.11,쉬움,2,1,흙길, , , , ,2016-12-31,113800101
1,20540,113800101,백련산,응암동구간, ,0.21,쉬움,4,3,시멘트계단, , , , ,2016-12-31,113800101
2,20541,113800101,백련산,홍은동구간, ,0.08,쉬움,1,1,흙길, , , , ,2016-12-31,113800101
3,20542,113800101,백련산,응암동구간, ,0.02,쉬움,1,0,흙길, , , , ,2016-12-31,113800101
4,20543,113800101,백련산,응암동구간, ,0.08,쉬움,1,1,흙길, , , , ,2016-12-31,113800101
5,20544,113800101,백련산,응암동구간, ,0.12,쉬움,2,1,흙길, , , , ,2016-12-31,113800101
6,20545,113800101,백련산,응암동구간, ,0.04,쉬움,1,0,시멘트계단, , , , ,2016-12-31,113800101
7,20546,113800101,백련산,응암동구간, ,0.02,쉬움,1,0,흙길, , , , ,2016-12-31,113800101
8,20547,113800101,백련산,응암동구간, ,0.05,쉬움,1,1,흙길, , , , ,2016-12-31,113800101
9,20548,113800101,백련산,응암동구간, ,0.02,쉬움,1,0,흙길, , , , ,2016-12-31,113800101
10,20549,113800101,백련산,홍은동구간, ,0.06,쉬움,1,1,흙길, , , , ,2016-12-31,113800101
11,20550,113800101,백련산,응암동구간, ,0.02,쉬움,1,0,흙길, , , , ,2016-12-31,113800101
12,20551,113800101,백련산,응암동구간, ,0.16,쉬움,3,2,흙길, , , , ,2016-12-31,113800101
13,20552,113800101,백련산,응암동구간, ,0.05,쉬움,1,1,흙길, , , , ,2016-12-31,113800101
14,20553,113800101,백련산,응암동구간, ,0.05,쉬움,1,1,흙길, , , , ,2016-12-31,113800101
15,20554,113800101,백련산,응암동구간, ,0.05,쉬움,1,1,흙길, , , , ,2016-12-31,113800101
16,20555,113800101,백련산,응암동구간, ,0.11,쉬움,2,1,흙길, , , , ,2016-12-31,113800101
17,20556,113800101,백련산,응암동구간, ,0.07,쉬움,1,1,흙길, , , , ,2016-12-31,113800101
18,20557,113800101,백련산,응암동구간, ,0.08,쉬움,1,1,흙길, , , , ,2016-12-31,113800101
19,20558,113800101,백련산,응암동구간, ,0.14,쉬움,2,2,흙길, , , , ,2016-12-31,113800101
20,20559,113800101,백련산,응암동구간, ,0.05,쉬움,1,1,흙길, , , , ,2016-12-31,113800101
21,20560,113800101,백련산,응암동구간, ,0.03,쉬움,1,0,흙길, , , , ,2016-12-31,113800101
22,20561,113800101,백련산,응암동구간, ,0.03,중간,1,0,흙길, , , , ,2016-12-31,113800101
23,20562,113800101,백련산,응암동구간, ,0.06,쉬움,1,1,흙길, , , , ,2016-12-31,113800101
24,20563,113800101,백련산,응암동구간, ,0.03,쉬움,1,0,흙길, , , , ,2016-12-31,113800101
25,20564,113800101,백련산,응암동구간, ,0.06,쉬움,1,1,흙길, , , , ,2016-12-31,113800101
26,20565,113800101,백련산,응암동구간, ,0.02,쉬움,1,0,흙길, , , , ,2016-12-31,113800101
27,20566,113800101,백련산,응암동구간, ,0.04,쉬움,1,0,흙길, , , , ,2016-12-31,113800101
28,20567,113800101,백련산,응암동구간, ,0.06,쉬움,1,1,흙길, , , , ,2016-12-31,113800101
29,20568,113800101,백련산,응암동구간, ,0.02,쉬움,1,0,시멘트계단, , , , ,2016-12-31,113800101
30,20569,113800101,백련산,응암동구간, ,0.09,쉬움,2,1,흙길, , , , ,2016-12-31,113800101
31,20570,113800101,백련산,응암동구간, ,0.07,쉬움,1,1,흙길, , , , ,2016-12-31,113800101
32,20571,113800101,백련산,홍은동구간, ,0.18,쉬움,3,2,흙길, , , , ,2016-12-31,113800101
33,20572,113800101,백련산,응암동구간, ,0.01,쉬움,1,0,흙길, , , , ,2016-12-31,113800101
34,20573,113800101,백련산,응암동구간, ,0.1,쉬움,2,1,흙길, , , , ,2016-12-31,113800101
35,20574,113800101,백련산,응암동구간, ,0.08,쉬움,1,1,흙길, , , , ,2016-12-31,113800101
36,20575,113800101,백련산,응암동구간, ,0.02,쉬움,1,0,흙길, , , , ,2016-12-31,113800101
37,20576,113800101,백련산,응암동구간, ,0.02,쉬움,1,0,흙길, , , , ,2016-12-31,113800101
38,20577,113800101,백련산,응암동구간, ,0.15,쉬움,3,2,흙길/시멘트길, , , , ,2016-12-31,113800101
39,20578,113800101,백련산,응암동구간, ,0.07,쉬움,1,1,흙길/시멘트길, , , , ,2016-12-31,113800101
40,20579,113800101,백련산,응암동구간, ,0.08,중간,1,1,흙길, , , , ,2016-12-31,113800101
41,20580,113800101,백련산,응암동구간, ,0.01,쉬움,1,0,흙길, , , , ,2016-12-31,113800101
42,20581,113800101,백련산,응암동구간, ,0.05,쉬움,1,1,흙길, , , , ,2016-12-31,113800101
43,20582,113800101,백련산,홍은동구간, ,0.06,쉬움,1,1,흙길, , , , ,2016-12-31,113800101
44,20583,113800101,백련산,응암동구간, ,0.08,쉬움,1,1,흙길, , , , ,2016-12-31,113800101
45,20584,113800101,백련산,응암동구간, ,0.06,쉬움,1,1,흙길, , , , ,2016-12-31,113800101
46,20585,113800101,백련산,응암동구간, ,0.07,쉬움,1,1,흙길, , , , ,2016-12-31,113800101
47,20586,113800101,백련산,응암동구간, ,0.04,쉬움,1,0,흙길, , , , ,2016-12-31,113800101
48,20587,113800101,백련산,응암동구간, ,0.02,중간,1,0,흙길, , , , ,2016-12-31,113800101
