FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,21004,413602501,백봉산,호평동구간, ,2.25,쉬움,40,28, , , , , ,2016-12-31,2111101400
1,21005,413602501,백봉산, , ,0.47,쉬움,8,6, , , , , ,2016-12-31,2111101400
2,21006,413602501,백봉산, , ,2.12,쉬움,37,26, , , , , ,2016-12-31,2111101400
3,21007,413602501,백봉산,평내동구간, ,0.18,쉬움,3,2, , , , , ,2016-12-31,2111101400
4,21008,413602501,백봉산,평내동구간, ,0.82,쉬움,14,10, , , , , ,2016-12-31,2111101400
5,21009,413602501,백봉산, , ,0.59,쉬움,10,7, , , , , ,2016-12-31,2111101400
6,21010,413602501,백봉산, , ,0.18,쉬움,3,2, , , , , ,2016-12-31,2111101400
7,21011,413602501,백봉산, , ,0.57,쉬움,10,7, , , , , ,2016-12-31,2111101400
8,21012,413602501,백봉산,월문리구간, ,4.13,쉬움,73,51, , , , , ,2016-12-31,2111101400
9,21013,413602501,백봉산, , ,1.46,쉬움,26,18, , , , , ,2016-12-31,2111101400
10,21014,413602501,백봉산,창현리구간, ,5.04,쉬움,89,62, , , , , ,2016-12-31,2111101400
11,21015,413602501,백봉산,금곡동구간, ,0.11,쉬움,2,1, , , , , ,2016-12-31,2111101400
12,21016,413602501,백봉산,금곡동구간, ,0.53,쉬움,9,7, , , , , ,2016-12-31,2111101400
13,21017,413602501,백봉산, , ,0.49,쉬움,9,6, , , , , ,2016-12-31,2111101400
14,21018,413602501,백봉산,금곡동구간, ,1.01,쉬움,18,12, , , , , ,2016-12-31,2111101400
