FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,21134,488701501,백암산, , ,0.49,쉬움,9,6, , , , , ,2016-12-31,488701501
1,21135,488701501,백암산, , ,1.66,쉬움,29,21, , , , , ,2016-12-31,488701501
2,21136,488701501,백암산, , ,0.6,쉬움,11,7, , , , , ,2016-12-31,488701501
3,21137,488701501,백암산, , ,0.15,쉬움,3,2, , , , , ,2016-12-31,488701501
4,21138,488701501,백암산, , ,1.05,쉬움,19,13, , , , , ,2016-12-31,488701501
5,21139,488701501,백암산, , ,0.85,쉬움,15,11, , , , , ,2016-12-31,488701501
6,21140,488701501,백암산, , ,0.09,쉬움,2,1, , , , , ,2016-12-31,488701501
7,21141,488701501,백암산, , ,0.08,쉬움,1,1, , , , , ,2016-12-31,488701501
8,21142,488701501,백암산, , ,0.12,쉬움,2,1, , , , , ,2016-12-31,488701501
9,21143,488701501,백암산, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,488701501
10,21144,488701501,백암산,대덕리구간, ,2.69,쉬움,101,71, , , , , ,2016-12-31,488701501
