FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,21152,265300101,백양산, , ,0.05,쉬움,1,1, , , , , ,2016-12-31,262300401
1,21153,265300101,백양산, , ,0.16,쉬움,3,2, , , , , ,2016-12-31,262300401
2,21154,265300101,백양산, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,262300401
3,21155,265300101,백양산,개금동구간, ,0.27,쉬움,5,3, , , , , ,2016-12-31,262300401
4,21156,265300101,백양산, , ,0.59,쉬움,11,8, , , , , ,2016-12-31,262300401
5,21157,265300101,백양산,개금동구간, ,0.51,쉬움,10,7, , , , , ,2016-12-31,262300401
6,21158,265300101,백양산,개금동구간, ,0.02,쉬움,1,0, , , , , ,2016-12-31,262300401
7,21159,265300101,백양산, , ,0.42,쉬움,7,5, , , , , ,2016-12-31,262300401
8,21160,265300101,백양산,개금동구간, ,0.27,쉬움,5,3, , , , , ,2016-12-31,262300401
9,21161,265300101,백양산, , ,0.73,쉬움,13,9, , , , , ,2016-12-31,262300401
10,21162,265300101,백양산, , ,0.28,쉬움,5,3, , , , , ,2016-12-31,262300401
11,21163,265300101,백양산, , ,0.26,쉬움,5,3, , , , , ,2016-12-31,262300401
12,21164,265300101,백양산, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,262300401
13,21165,265300101,백양산, , ,0.16,쉬움,3,2, , , , , ,2016-12-31,262300401
14,21166,265300101,백양산, , ,0.2,쉬움,4,2, , , , , ,2016-12-31,262300401
15,21167,265300101,백양산, , ,0.03,쉬움,1,0, , , , , ,2016-12-31,262300401
16,21168,265300101,백양산, , ,0.17,쉬움,3,2, , , , , ,2016-12-31,262300401
17,21169,265300101,백양산, , ,0.38,쉬움,7,5, , , , , ,2016-12-31,262300401
18,21170,265300101,백양산, , ,0.16,쉬움,3,2, , , , , ,2016-12-31,262300401
19,21171,265300101,백양산, , ,0.19,쉬움,3,2, , , , , ,2016-12-31,262300401
20,21172,265300101,백양산, , ,0.26,쉬움,5,3, , , , , ,2016-12-31,262300401
21,21173,265300101,백양산, , ,0.87,쉬움,15,11, , , , , ,2016-12-31,262300401
22,21174,265300101,백양산, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,262300401
23,21175,265300101,백양산, , ,0.25,쉬움,4,3, , , , , ,2016-12-31,262300401
24,21176,265300101,백양산, , ,0.69,쉬움,12,9, , , , , ,2016-12-31,262300401
25,21177,265300101,백양산, , ,0.34,쉬움,6,4, , , , , ,2016-12-31,262300401
