FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,21966,281100101,백운산,운남동구간, ,1.62,쉬움,35,24, , , , , ,2016-12-31,1410530100
1,21967,281100101,백운산,운서동구간, ,0.5,쉬움,9,7, , , , , ,2016-12-31,1410530100
2,21968,281100101,백운산,운서동구간, ,1.13,쉬움,20,14, , , , , ,2016-12-31,1410530100
3,21969,281100101,백운산,운남동구간, ,1.86,쉬움,33,23, , , , , ,2016-12-31,1410530100
4,21970,281100101,백운산,운서동구간, ,0.27,쉬움,5,3, , , , , ,2016-12-31,1410530100
5,21971,281100101,백운산,운서동구간, ,0.2,쉬움,4,2, , , , , ,2016-12-31,1410530100
6,21972,281100101,백운산,운서동구간, ,0.35,쉬움,6,4, , , , , ,2016-12-31,1410530100
7,21973,281100101,백운산, , ,0.24,쉬움,4,3, , , , , ,2016-12-31,1410530100
8,21974,281100101,백운산,운서동구간, ,0.1,쉬움,2,1, , , , , ,2016-12-31,1410530100
9,21975,281100101,백운산,운서동구간, ,0.41,쉬움,7,5, , , , , ,2016-12-31,1410530100
