FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,22225,448100801,백월산,모곡리구간, ,0.43,쉬움,8,5, , , , , ,2016-12-31,448100801
1,22226,448100801,백월산,모곡리구간, ,0.04,쉬움,1,0, , , , , ,2016-12-31,448100801
2,22227,448100801,백월산,모곡리구간, ,0.03,쉬움,1,0, , , , , ,2016-12-31,448100801
3,22228,448100801,백월산,대리구간, ,0.46,쉬움,8,6, , , , , ,2016-12-31,448100801
4,22229,448100801,백월산,대리구간, ,1.12,쉬움,20,14, , , , , ,2016-12-31,448100801
5,22230,448100801,백월산,대리구간, ,1.12,쉬움,20,14, , , , , ,2016-12-31,448100801
6,22231,448100801,백월산,대리구간, ,2.32,쉬움,41,29, , , , , ,2016-12-31,448100801
7,22232,448100801,백월산,모곡리구간, ,0.13,쉬움,2,2, , , , , ,2016-12-31,448100801
8,22233,448100801,백월산,모곡리구간, ,0.03,쉬움,1,0, , , , , ,2016-12-31,448100801
9,22234,448100801,백월산,영양리구간, ,0.71,쉬움,13,9, , , , , ,2016-12-31,448100801
10,22235,448100801,백월산,모곡리구간, ,0.58,쉬움,10,7, , , , , ,2016-12-31,448100801
11,22236,448100801,백월산,대리구간, ,0.93,쉬움,16,11, , , , , ,2016-12-31,448100801
12,22237,448100801,백월산,대리구간, ,1.06,쉬움,19,13, , , , , ,2016-12-31,448100801
13,22238,448100801,백월산,대리구간, ,1.14,쉬움,20,14, , , , , ,2016-12-31,448100801
14,22239,448100801,백월산,대리구간, ,0.47,쉬움,8,6, , , , , ,2016-12-31,448100801
15,22240,448100801,백월산,시목리구간, ,3.69,쉬움,79,55, , , , , ,2016-12-31,448100801
16,22241,448100801,백월산,대리구간, ,0.77,쉬움,14,10, , , , , ,2016-12-31,448100801
17,22242,448100801,백월산,대리구간, ,1.51,쉬움,27,19, , , , , ,2016-12-31,448100801
18,22243,448100801,백월산,모곡리구간, ,0.04,쉬움,1,0, , , , , ,2016-12-31,448100801
