FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,22707,471901101,베틀산,동곡리구간, ,4.77,쉬움,84,59, , , , , ,2016-12-31,471901101
1,22708,471901101,베틀산,도중리구간, ,1.96,쉬움,35,24, , , , , ,2016-12-31,471901101
2,22709,471901101,베틀산, , ,0.16,쉬움,3,2, , , , , ,2016-12-31,471901101
3,22710,471901101,베틀산,백현리구간, ,0.88,쉬움,16,11, , , , , ,2016-12-31,471901101
4,22711,471901101,베틀산,금산리구간, ,0.91,쉬움,20,14, , , , , ,2016-12-31,471901101
5,22712,471901101,베틀산, , ,0.32,쉬움,6,4, , , , , ,2016-12-31,471901101
6,22713,471901101,베틀산, , ,0.75,쉬움,13,9, , , , , ,2016-12-31,471901101
7,22714,471901101,베틀산,금산리구간, ,0.65,쉬움,11,8, , , , , ,2016-12-31,471901101
8,22715,471901101,베틀산,금산리구간, ,0.29,쉬움,5,4, , , , , ,2016-12-31,471901101
9,22716,471901101,베틀산, , ,0.32,쉬움,6,4, , , , , ,2016-12-31,471901101
10,22717,471901101,베틀산, , ,0.19,쉬움,3,2, , , , , ,2016-12-31,471901101
11,22718,471901101,베틀산, , ,0.19,쉬움,3,2, , , , , ,2016-12-31,471901101
12,22719,471901101,베틀산, , ,0.16,쉬움,3,2, , , , , ,2016-12-31,471901101
13,22720,471901101,베틀산,금산리구간,"금산리 입구-->큰상어굴,작은 상어굴-->동화사-->좌베틀산-->베틀산-->우베틀산-->금산리 도요암 구간",1.09,쉬움,19,13, , , , , ,2016-12-31,471901101
14,22721,471901101,베틀산, , ,0.14,쉬움,2,2, , , , , ,2016-12-31,471901101
