FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,23023,468801301,병풍산, , ,0.56,쉬움,10,7, , , , , ,2016-12-31,2617051600
1,23024,468801301,병풍산, , ,0.7,쉬움,12,9, , , , , ,2016-12-31,2617051600
2,23025,468801301,병풍산, , ,1.01,쉬움,18,12, , , , , ,2016-12-31,2617051600
3,23026,468801301,병풍산,궁산리구간, ,3.37,쉬움,59,42, , , , , ,2016-12-31,2617051600
4,23027,468801301,병풍산,월성리구간, ,3.42,쉬움,128,90, , , , , ,2016-12-31,2617051600
5,23028,468801301,병풍산, , ,0.17,쉬움,3,2, , , , , ,2016-12-31,2617051600
6,23029,468801301,병풍산, , ,0.22,쉬움,4,3, , , , , ,2016-12-31,2617051600
7,23030,468801301,병풍산,월성리구간, ,0.92,중간,28,19, , , , , ,2016-12-31,2617051600
8,23031,468801301,병풍산,궁산리구간, ,1.97,쉬움,35,24, , , , , ,2016-12-31,2617051600
9,23032,468801301,병풍산, , ,1.26,쉬움,22,16, , , , , ,2016-12-31,2617051600
10,23033,468801301,병풍산,용흥리구간, ,1.8,쉬움,32,22, , , , , ,2016-12-31,2617051600
11,23034,468801301,병풍산, , ,1.05,쉬움,19,13, , , , , ,2016-12-31,2617051600
12,23035,468801301,병풍산,대방리구간, ,2.61,쉬움,65,46, , , , , ,2016-12-31,2617051600
13,23036,468801301,병풍산,대방리구간, ,0.71,쉬움,13,9, , , , , ,2016-12-31,2617051600
14,23037,468801301,병풍산,대방리구간, ,1.55,쉬움,29,20, , , , , ,2016-12-31,2617051600
15,23038,468801301,병풍산,대방리구간, ,0.09,쉬움,2,1, , , , , ,2016-12-31,2617051600
16,23039,468801301,병풍산,평장리구간, ,0.51,쉬움,9,6, , , , , ,2016-12-31,2617051600
17,23040,468801301,병풍산,평장리구간, ,0.64,쉬움,12,8, , , , , ,2016-12-31,2617051600
18,23041,468801301,병풍산, , ,0.05,쉬움,1,1, , , , , ,2016-12-31,2617051600
19,23042,468801301,병풍산, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,2617051600
20,23043,468801301,병풍산, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,2617051600
21,23044,468801301,병풍산, , ,0.48,쉬움,8,6, , , , , ,2016-12-31,2617051600
22,23045,468801301,병풍산, , ,0.17,쉬움,3,2, , , , , ,2016-12-31,2617051600
23,23046,468801301,병풍산,평장리구간, ,0.92,쉬움,16,11, , , , , ,2016-12-31,2617051600
24,23047,468801301,병풍산, , ,0.25,쉬움,4,3, , , , , ,2016-12-31,2617051600
25,23048,468801301,병풍산, , ,0.02,쉬움,1,0, , , , , ,2016-12-31,2617051600
26,23049,468801301,병풍산,평장리구간, ,0.08,쉬움,1,1, , , , , ,2016-12-31,2617051600
27,23050,468801301,병풍산, , ,0.05,쉬움,1,1, , , , , ,2016-12-31,2617051600
28,23051,468801301,병풍산, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,2617051600
29,23052,468801301,병풍산, , ,0.05,쉬움,1,1, , , , , ,2016-12-31,2617051600
30,23053,468801301,병풍산, , ,0.02,쉬움,1,0, , , , , ,2016-12-31,2617051600
31,23054,468801301,병풍산, , ,0.87,쉬움,15,11, , , , , ,2016-12-31,2617051600
32,23055,468801301,병풍산, , ,0.62,쉬움,11,8, , , , , ,2016-12-31,2617051600
33,23056,468801301,병풍산, , ,0.46,쉬움,8,6, , , , , ,2016-12-31,2617051600
34,23057,468801301,병풍산,대방리구간, ,0.13,쉬움,2,2, , , , , ,2016-12-31,2617051600
35,23058,468801301,병풍산, , ,0.08,쉬움,1,1, , , , , ,2016-12-31,2617051600
36,23059,468801301,병풍산, , ,0.52,쉬움,9,6, , , , , ,2016-12-31,2617051600
37,23060,468801301,병풍산, , ,0.24,쉬움,4,3, , , , , ,2016-12-31,2617051600
38,23061,468801301,병풍산, , ,0.55,쉬움,10,7, , , , , ,2016-12-31,2617051600
39,23062,468801301,병풍산, , ,0.17,쉬움,3,2, , , , , ,2016-12-31,2617051600
40,23063,468801301,병풍산, , ,0.21,쉬움,4,3, , , , , ,2016-12-31,2617051600
41,23064,468801301,병풍산, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,2617051600
42,23065,468801301,병풍산, , ,0.12,쉬움,2,1, , , , , ,2016-12-31,2617051600
43,23066,468801301,병풍산, , ,0.13,쉬움,2,2, , , , , ,2016-12-31,2617051600
44,23067,468801301,병풍산, , ,0.14,쉬움,2,2, , , , , ,2016-12-31,2617051600
45,23068,468801301,병풍산, , ,0.03,쉬움,1,0, , , , , ,2016-12-31,2617051600
46,23069,468801301,병풍산, , ,0.02,쉬움,1,0, , , , , ,2016-12-31,2617051600
47,23070,468801301,병풍산, , ,0.08,쉬움,1,1, , , , , ,2016-12-31,2617051600
48,23071,468801301,병풍산, , ,0.03,쉬움,1,0, , , , , ,2016-12-31,2617051600
49,23072,468801301,병풍산, , ,0.03,쉬움,1,0, , , , , ,2016-12-31,2617051600
50,23073,468801301,병풍산, , ,0.02,쉬움,1,0, , , , , ,2016-12-31,2617051600
51,23074,468801301,병풍산, , ,0.02,쉬움,1,0, , , , , ,2016-12-31,2617051600
52,23075,468801301,병풍산, , ,0.25,쉬움,4,3, , , , , ,2016-12-31,2617051600
53,23076,468801301,병풍산,행성리구간, ,3.74,쉬움,66,46, , , , , ,2016-12-31,2617051600
