FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,24134,468100801,보은산, , ,0.68,쉬움,12,8, , , , , ,2016-12-31,2601010800
1,24135,468100801,보은산, , ,0.38,쉬움,7,5, , , , , ,2016-12-31,2601010800
2,24136,468100801,보은산, , ,1.46,쉬움,26,18, , , , , ,2016-12-31,2601010800
3,24137,468100801,보은산, , ,0.25,쉬움,4,3, , , , , ,2016-12-31,2601010800
4,24138,468100801,보은산,파산리구간, ,1.25,쉬움,47,33, , , , , ,2016-12-31,2601010800
5,24139,468100801,보은산, , ,0.39,쉬움,7,5, , , , , ,2016-12-31,2601010800
6,24140,468100801,보은산, , ,0.8,쉬움,14,10, , , , , ,2016-12-31,2601010800
7,24141,468100801,보은산, , ,0.39,쉬움,7,5, , , , , ,2016-12-31,2601010800
8,24142,468100801,보은산,파산리구간, ,0.08,쉬움,1,1, , , , , ,2016-12-31,2601010800
9,24143,468100801,보은산, , ,0.73,쉬움,13,9, , , , , ,2016-12-31,2601010800
10,24144,468100801,보은산, , ,0.2,쉬움,4,2, , , , , ,2016-12-31,2601010800
11,24145,468100801,보은산, , ,0.17,쉬움,3,2, , , , , ,2016-12-31,2601010800
12,24146,468100801,보은산, , ,0.26,쉬움,5,3, , , , , ,2016-12-31,2601010800
13,24147,468100801,보은산, , ,0.18,쉬움,3,2, , , , , ,2016-12-31,2601010800
14,24148,468100801,보은산,평기리구간, ,0.65,쉬움,12,9, , , , , ,2016-12-31,2601010800
15,24149,468100801,보은산, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,2601010800
16,24150,468100801,보은산,남성리구간, ,0.28,쉬움,5,3, , , , , ,2016-12-31,2601010800
17,24151,468100801,보은산,서성리구간, ,0.25,쉬움,4,3, , , , , ,2016-12-31,2601010800
18,24152,468100801,보은산, , ,0.17,쉬움,3,2, , , , , ,2016-12-31,2601010800
19,24153,468100801,보은산, , ,0.45,쉬움,8,6, , , , , ,2016-12-31,2601010800
20,24154,468100801,보은산,남성리구간, ,0.19,쉬움,3,2, , , , , ,2016-12-31,2601010800
21,24155,468100801,보은산, , ,0.17,쉬움,3,2, , , , , ,2016-12-31,2601010800
22,24156,468100801,보은산, , ,0.38,쉬움,7,5, , , , , ,2016-12-31,2601010800
23,24157,468100801,보은산, , ,0.22,쉬움,4,3, , , , , ,2016-12-31,2601010800
24,24158,468100801,보은산,남성리구간, ,0.21,쉬움,4,3, , , , , ,2016-12-31,2601010800
25,24159,468100801,보은산, , ,0.39,쉬움,7,5, , , , , ,2016-12-31,2601010800
26,24160,468100801,보은산, , ,0.2,쉬움,4,2, , , , , ,2016-12-31,2601010800
27,24161,468100801,보은산, , ,0.23,쉬움,4,3, , , , , ,2016-12-31,2601010800
28,24162,468100801,보은산, , ,0.45,쉬움,8,6, , , , , ,2016-12-31,2601010800
29,24163,468100801,보은산, , ,0.33,쉬움,6,4, , , , , ,2016-12-31,2601010800
30,24164,468100801,보은산,동성리구간, ,0.5,쉬움,9,6, , , , , ,2016-12-31,2601010800
31,24165,468100801,보은산, , ,0.45,쉬움,8,6, , , , , ,2016-12-31,2601010800
32,24166,468100801,보은산,파산리구간, ,1.79,쉬움,32,22, , , , , ,2016-12-31,2601010800
33,24167,468100801,보은산, , ,2.12,쉬움,37,26, , , , , ,2016-12-31,2601010800
