FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,24175,488802201,보해산,꼬리밭길구간, ,0.85,중간,32,22, , , , , ,2016-12-31,2802120700
1,24176,488802201,보해산,남산2구길구간, ,2.05,쉬움,36,25, , , , , ,2016-12-31,2802120700
2,24177,488802201,보해산,양암길구간, ,0.79,중간,30,21, , , , , ,2016-12-31,2802120700
3,24178,488802201,보해산,양암길구간, ,0.46,쉬움,8,6, , , , , ,2016-12-31,2802120700
4,24179,488802201,보해산,회남재길구간, ,1.01,쉬움,19,13, , , , , ,2016-12-31,2802120700
5,24180,488802201,보해산,회남재길구간, ,0.92,쉬움,16,11, , , , , ,2016-12-31,2802120700
6,24181,488802201,보해산,원보광길구간, ,1.51,쉬움,27,19, , , , , ,2016-12-31,2802120700
7,24182,488802201,보해산,회남재길구간, ,0.93,쉬움,16,11, , , , , ,2016-12-31,2802120700
8,24183,488802201,보해산,원남산길구간, ,2.24,쉬움,84,59, , , , , ,2016-12-31,2802120700
9,24184,488802201,보해산,회남재길구간, ,0.89,쉬움,16,11, , , , , ,2016-12-31,2802120700
10,24185,488802201,보해산,회남재길구간, ,1.36,쉬움,24,17, , , , , ,2016-12-31,2802120700
11,24186,488802201,보해산,거기길구간, ,2.5,쉬움,44,31, , , , , ,2016-12-31,2802120700
12,24187,488802201,보해산,회남재길구간, ,0.25,쉬움,4,3, , , , , ,2016-12-31,2802120700
13,24188,488802201,보해산,외장포길구간, ,3.31,쉬움,58,41, , , , , ,2016-12-31,2802120700
14,24189,488802201,보해산,용산길구간, ,0.34,쉬움,6,4, , , , , ,2016-12-31,2802120700
15,24190,488802201,보해산,용산길구간, ,1.99,쉬움,75,52, , , , , ,2016-12-31,2802120700
