FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,25748,421301601,봉화산,무실동구간, ,3.69,쉬움,79,55, , , , , ,2016-12-31,421301601
1,25749,421301601,봉화산,무실동구간, ,0.54,쉬움,10,7, , , , , ,2016-12-31,421301601
2,25750,421301601,봉화산,무실동구간, ,0.68,쉬움,13,9, , , , , ,2016-12-31,421301601
3,25751,421301601,봉화산, , ,0.27,쉬움,5,3, , , , , ,2016-12-31,421301601
4,25752,421301601,봉화산,무실동구간, ,0.13,쉬움,2,2, , , , , ,2016-12-31,421301601
5,25753,421301601,봉화산, , ,0.66,쉬움,12,8, , , , , ,2016-12-31,421301601
6,25754,421301601,봉화산, , ,0.19,쉬움,3,2, , , , , ,2016-12-31,421301601
7,25755,421301601,봉화산, , ,0.11,쉬움,2,1, , , , , ,2016-12-31,421301601
8,25756,421301601,봉화산, , ,0.1,쉬움,2,1, , , , , ,2016-12-31,421301601
9,25757,421301601,봉화산, , ,0.54,쉬움,10,7, , , , , ,2016-12-31,421301601
10,25758,421301601,봉화산,단계동구간, ,0.26,쉬움,5,3, , , , , ,2016-12-31,421301601
11,25759,421301601,봉화산, , ,0.23,쉬움,4,3, , , , , ,2016-12-31,421301601
12,25760,421301601,봉화산,단계동구간, ,0.34,쉬움,6,4, , , , , ,2016-12-31,421301601
13,25761,421301601,봉화산, , ,0.13,쉬움,2,2, , , , , ,2016-12-31,421301601
14,25762,421301601,봉화산,단계동구간, ,0.21,쉬움,4,3, , , , , ,2016-12-31,421301601
15,25763,421301601,봉화산,단계동구간, ,0.25,쉬움,4,3, , , , , ,2016-12-31,421301601
