FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,26048,461505101,봉화산죽도봉,조곡동구간, ,0.11,쉬움,2,1, , , , , ,2016-12-31,461505101
1,26049,461505101,봉화산죽도봉,조곡동구간, ,0.14,쉬움,2,2, , , , , ,2016-12-31,461505101
2,26050,461505101,봉화산죽도봉,조곡동구간, ,0.27,쉬움,5,3, , , , , ,2016-12-31,461505101
3,26051,461505101,봉화산죽도봉,조곡동구간, ,0.22,쉬움,4,3, , , , , ,2016-12-31,461505101
4,26052,461505101,봉화산죽도봉,조곡동구간, ,0.05,쉬움,1,1, , , , , ,2016-12-31,461505101
5,26053,461505101,봉화산죽도봉,조곡동구간, ,0.33,쉬움,6,4, , , , , ,2016-12-31,461505101
6,26054,461505101,봉화산죽도봉,조곡동구간, ,0.24,쉬움,4,3, , , , , ,2016-12-31,461505101
7,26055,461505101,봉화산죽도봉,조곡동구간, ,0.09,쉬움,2,1, , , , , ,2016-12-31,461505101
8,26056,461505101,봉화산죽도봉,조곡동구간, ,0.07,쉬움,1,1, , , , , ,2016-12-31,461505101
9,26057,461505101,봉화산죽도봉,조곡동구간, ,0.39,쉬움,7,5, , , , , ,2016-12-31,461505101
10,26058,461505101,봉화산죽도봉,생목동구간, ,0.37,쉬움,7,5, , , , , ,2016-12-31,461505101
11,26059,461505101,봉화산죽도봉,조곡동구간, ,0.09,쉬움,2,1, , , , , ,2016-12-31,461505101
12,26060,461505101,봉화산죽도봉,조곡동구간, ,0.18,쉬움,3,2, , , , , ,2016-12-31,461505101
13,26061,461505101,봉화산죽도봉,조곡동구간, ,0.21,쉬움,4,3, , , , , ,2016-12-31,461505101
14,26062,461505101,봉화산죽도봉,조곡동구간, ,0.66,쉬움,12,9, , , , , ,2016-12-31,461505101
15,26063,461505101,봉화산죽도봉,조곡동구간, ,0.18,쉬움,3,2, , , , , ,2016-12-31,461505101
16,26064,461505101,봉화산죽도봉,조곡동구간, ,0.01,쉬움,1,0, , , , , ,2016-12-31,461505101
17,26065,461505101,봉화산죽도봉,조곡동구간, ,0.27,쉬움,5,3, , , , , ,2016-12-31,461505101
18,26066,461505101,봉화산죽도봉,조곡동구간, ,0.26,쉬움,5,3, , , , , ,2016-12-31,461505101
19,26067,461505101,봉화산죽도봉,조곡동구간, ,0.03,쉬움,1,0, , , , , ,2016-12-31,461505101
20,26068,461505101,봉화산죽도봉,조곡동구간, ,0.19,쉬움,3,2, , , , , ,2016-12-31,461505101
21,26069,461505101,봉화산죽도봉,용당동구간, ,0.04,쉬움,1,0, , , , , ,2016-12-31,461505101
