FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,26230,441501701,봉황산,웅진동구간, ,0.17,쉬움,3,2, , , , , ,2016-12-31,441501701
1,26231,441501701,봉황산,봉황동구간, ,0.22,쉬움,4,3, , , , , ,2016-12-31,441501701
2,26232,441501701,봉황산,반죽동구간, ,0.36,쉬움,6,4, , , , , ,2016-12-31,441501701
3,26233,441501701,봉황산,웅진동구간, ,0.27,쉬움,5,3, , , , , ,2016-12-31,441501701
4,26234,441501701,봉황산,웅진동구간, ,0.12,쉬움,2,1, , , , , ,2016-12-31,441501701
5,26235,441501701,봉황산,웅진동구간, ,0.33,쉬움,6,4, , , , , ,2016-12-31,441501701
6,26236,441501701,봉황산,봉황동구간, ,0.09,쉬움,2,1, , , , , ,2016-12-31,441501701
7,26237,441501701,봉황산,봉황동구간, ,0.02,쉬움,1,0, , , , , ,2016-12-31,441501701
8,26238,441501701,봉황산,봉황동구간, ,0.33,쉬움,6,4, , , , , ,2016-12-31,441501701
9,26239,441501701,봉황산,봉황동구간, ,0.02,쉬움,1,0, , , , , ,2016-12-31,441501701
10,26240,441501701,봉황산,봉황동구간, ,0.05,쉬움,1,1, , , , , ,2016-12-31,441501701
11,26241,441501701,봉황산,봉황동구간, ,0.03,쉬움,1,0, , , , , ,2016-12-31,441501701
12,26242,441501701,봉황산,봉황동구간, ,0.04,쉬움,1,0, , , , , ,2016-12-31,441501701
13,26243,441501701,봉황산,봉황동구간, ,0.02,쉬움,1,0, , , , , ,2016-12-31,441501701
14,26244,441501701,봉황산,봉황동구간, ,0.03,쉬움,1,0, , , , , ,2016-12-31,441501701
15,26245,441501701,봉황산,봉황동구간, ,0.02,쉬움,1,0, , , , , ,2016-12-31,441501701
16,26246,441501701,봉황산,반죽동구간, ,0.31,쉬움,5,4, , , , , ,2016-12-31,441501701
17,26247,441501701,봉황산,반죽동구간, ,0.2,쉬움,4,2, , , , , ,2016-12-31,441501701
18,26248,441501701,봉황산,반죽동구간, ,0.12,쉬움,2,1, , , , , ,2016-12-31,441501701
19,26249,441501701,봉황산,봉황동구간, ,0.07,쉬움,1,1, , , , , ,2016-12-31,441501701
20,26250,441501701,봉황산,반죽동구간, ,0.15,쉬움,3,2, , , , , ,2016-12-31,441501701
21,26251,441501701,봉황산,반죽동구간, ,0.15,쉬움,3,2, , , , , ,2016-12-31,441501701
22,26252,441501701,봉황산,반죽동구간, ,0.15,쉬움,3,2, , , , , ,2016-12-31,441501701
23,26253,441501701,봉황산,반죽동구간, ,0.11,쉬움,2,1, , , , , ,2016-12-31,441501701
24,26254,441501701,봉황산,반죽동구간, ,0.04,쉬움,1,0, , , , , ,2016-12-31,441501701
25,26255,441501701,봉황산,반죽동구간, ,0.04,쉬움,1,0, , , , , ,2016-12-31,441501701
26,26256,441501701,봉황산,반죽동구간, ,0.04,쉬움,1,0, , , , , ,2016-12-31,441501701
27,26257,441501701,봉황산,반죽동구간, ,0.05,쉬움,1,1, , , , , ,2016-12-31,441501701
28,26258,441501701,봉황산,웅진동구간, ,0.05,쉬움,1,1, , , , , ,2016-12-31,441501701
29,26259,441501701,봉황산,반죽동구간, ,0.17,쉬움,3,2, , , , , ,2016-12-31,441501701
30,26260,441501701,봉황산,웅진동구간, ,0.05,쉬움,1,1, , , , , ,2016-12-31,441501701
31,26261,441501701,봉황산,웅진동구간, ,0.16,쉬움,3,2, , , , , ,2016-12-31,441501701
32,26262,441501701,봉황산,웅진동구간, ,0.02,쉬움,1,0, , , , , ,2016-12-31,441501701
33,26263,441501701,봉황산,웅진동구간, ,0.07,쉬움,1,1, , , , , ,2016-12-31,441501701
34,26264,441501701,봉황산,봉황동구간, ,0.01,쉬움,1,0, , , , , ,2016-12-31,441501701
35,26265,441501701,봉황산,봉황동구간, ,0.06,쉬움,1,1, , , , , ,2016-12-31,441501701
36,26266,441501701,봉황산,봉황동구간, ,0.01,쉬움,1,0, , , , , ,2016-12-31,441501701
37,26267,441501701,봉황산,봉황동구간, ,0.05,쉬움,1,1, , , , , ,2016-12-31,441501701
