FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,26449,431102501,부모산,비하동구간, ,0.71,쉬움,13,9, , , , , ,2016-12-31,431102501
1,26450,431102501,부모산,비하동구간, ,0.29,쉬움,5,4, , , , , ,2016-12-31,431102501
2,26451,431102501,부모산,비하동구간, ,0.18,쉬움,3,2, , , , , ,2016-12-31,431102501
3,26452,431102501,부모산,학천리구간, ,0.16,쉬움,3,2, , , , , ,2016-12-31,431102501
4,26453,431102501,부모산,학천리구간, ,0.22,쉬움,4,3, , , , , ,2016-12-31,431102501
5,26454,431102501,부모산,휴암동구간, ,0.68,쉬움,12,8, , , , , ,2016-12-31,431102501
6,26455,431102501,부모산,지동동구간, ,0.5,쉬움,9,6, , , , , ,2016-12-31,431102501
7,26456,431102501,부모산,지동동구간, ,0.55,쉬움,10,7, , , , , ,2016-12-31,431102501
8,26457,431102501,부모산,비하동구간, ,0.16,쉬움,3,2, , , , , ,2016-12-31,431102501
9,26458,431102501,부모산,비하동구간, ,0.16,쉬움,3,2, , , , , ,2016-12-31,431102501
10,26459,431102501,부모산,비하동구간, ,0.36,쉬움,6,4, , , , , ,2016-12-31,431102501
11,26460,431102501,부모산,비하동구간, ,1.05,쉬움,20,14, , , , , ,2016-12-31,431102501
12,26461,431102501,부모산,비하동구간, ,1.01,쉬움,18,12, , , , , ,2016-12-31,431102501
13,26462,431102501,부모산,학천리구간, ,0.47,쉬움,8,6, , , , , ,2016-12-31,431102501
14,26463,431102501,부모산,학천리구간, ,0.12,쉬움,2,1, , , , , ,2016-12-31,431102501
15,26464,431102501,부모산,학천리구간, ,0.1,쉬움,2,1, , , , , ,2016-12-31,431102501
16,26465,431102501,부모산,학천리구간, ,0.26,쉬움,5,3, , , , , ,2016-12-31,431102501
17,26466,431102501,부모산,비하동구간, ,0.21,쉬움,4,3, , , , , ,2016-12-31,431102501
18,26467,431102501,부모산,지동동구간, ,0.5,쉬움,9,6, , , , , ,2016-12-31,431102501
19,26468,431102501,부모산,비하동구간, ,0.21,쉬움,4,3, , , , , ,2016-12-31,431102501
20,26469,431102501,부모산,비하동구간, ,1.22,쉬움,22,15, , , , , ,2016-12-31,431102501
21,26470,431102501,부모산,비하동구간, ,0.16,쉬움,3,2, , , , , ,2016-12-31,431102501
22,26471,431102501,부모산,지동동구간, ,0.11,쉬움,2,1, , , , , ,2016-12-31,431102501
23,26472,431102501,부모산,비하동구간, ,0.25,쉬움,4,3, , , , , ,2016-12-31,431102501
24,26473,431102501,부모산,비하동구간, ,0.3,쉬움,5,4, , , , , ,2016-12-31,431102501
25,26474,431102501,부모산,지동동구간, ,0.22,쉬움,4,3, , , , , ,2016-12-31,431102501
26,26475,431102501,부모산,비하동구간, ,0.04,쉬움,1,0, , , , , ,2016-12-31,431102501
27,26476,431102501,부모산,비하동구간, ,0.15,쉬움,3,2, , , , , ,2016-12-31,431102501
28,26477,431102501,부모산,비하동구간, ,0.26,쉬움,5,3, , , , , ,2016-12-31,431102501
